source_id	evidence_grade	verification	citation_and_locator	what_it_supports	limit	disposition
SRC-BOND-SIO-2024-CLASSIFIERS	DIRECT_SCHOLARLY_CORE	VERIFIED_OFFICIAL_FULL_TEXT	Francis Bond and Joanna Ut-Seong Sio. 2024. A Construction-based Approach to Cantonese Classifiers. Proceedings of HPSG 31, pp. 60-75; DOI https://doi.org/10.21248/hpsg.2024.4; pp. 61-67, Table 1, examples 1 and 3-5, Figure 2	Directly distinguishes Cantonese D-(X)-C-N, X-C-N, and C-N profiles and models demonstrative, numeral, classifier, and noun contributions separately.	The paper addresses constructional structure and interpretation, not a complete item-level classifier-noun compatibility lexicon; its semantic cardinality-one analysis must not be converted into an unpronounced surface numeral.	SUPPORT_CONSTRUCTION_PROFILE_SEPARATION_ONLY
SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	REFERENCE_GRAMMAR_CORE	VERIFIED_AUTHORITATIVE_EDUCATIONAL_FULL_TEXT	Stephen Matthews and Virginia Yip. Cantonese: A Comprehensive Grammar, multimedia Chapter 6 The noun phrase; https://www.cuhk.edu.hk/lin/cbrc/CantoneseGrammar/multimedia/06.htm; sections 6.1.1-6.2.4 and 6.3.2	Directly illustrates demonstrative-classifier-noun phrases, classifier-noun phrases, measure and quantity expressions, alternative classifiers, possessive-classifier structures, and plural or quantity material including 啲.	The chapter supplies structural and category contrasts but not a binary universal compatibility table, exhaustive lexical preferences, corpus frequency, or every regional and register-conditioned pairing.	SUPPORT_CLASSIFIER_MEASURE_AND_DI_PROFILE_BOUNDARIES
SRC-TSE-LI-LEUNG-2007-GO3	DIRECT_SCHOLARLY_CORE	VERIFIED_PEER_REVIEWED_FULL_TEXT	Shek Kam Tse, Hui Li, and Shing On Leung. 2007. The acquisition of Cantonese classifiers by preschool children in Hong Kong. Journal of Child Language 34(3):495-517; DOI https://doi.org/10.1017/S0305000906007975; classifier typology and discussion of go3	Documents the complex Cantonese classifier inventory and reports that general go3 can replace many sortal classifiers but not mensural classifiers, with strong developmental preference for go3.	Child production and acquisition patterns do not by themselves establish adult pair-level preference, categorical acceptability, or unrestricted substitution in every register and construction.	SUPPORT_GENERAL_CLASSIFIER_SUBSTITUTION_AS_SEPARATE_STATUS
SRC-GLOSSIKA-W19-CLASSIFIERS	ATTESTATION_ONLY	VERIFIED_CHECKED_AUTHORIZED_PEDAGOGICAL_SOURCE	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W19-20260726/source.json items I001-I014 and classifier-compatibility-audit.json; source date 2026-07-26	Preserves the fourteen pedagogical unit-word forms 個, 隻, 架, 間, 本, 枝, 碗, 杯, 對, 張, 件, 部, 把, and 條 with source Jyutping and broad English profiles.	The lesson labels are pedagogical simplifications; they do not establish exhaustive noun compatibility, unrestricted productivity, pair preference, adult judgments, or the correctness of the source reading 架 gaa2.	PRESERVE_SOURCE_INVENTORY_AND_TRIGGER_BOUNDED_REVIEW
CORPUS-HKCANCOR-UWNM-R1	PRIMARY_CORPUS_ATTESTATION	VERIFIED_DETERMINISTIC_PYCANTONESE_5_0_0_QUERY	HKCanCor through PyCantonese 5.0.0; 58 files, 16,162 utterances, 153,656 words; PR #362 temporary inspection run 30593432223; exact unit-word plus next lexical token query; 3,664 high-recall rows	Directly attests bounded project pairs and counts including 間公司 34, 本書 16, 啲魚 16, 隻狗 12, 架車 11, 個問題 11, 件衫 4, 間屋 4, 條街 4, 張紙 3, 條魚 3, 支筆 2, 啲書 2, 啲水 2, 個醫生 2, 部車 1, 把刀 1, and 個老師 1.	The high-recall query takes the next lexical token and includes possessions, ellipsis, repairs, non-NP material, and repeated tokens; counts establish occurrence only, not preference, grammaticality, population distribution, or absence from Cantonese. Zero hits are not negative evidence.	SUPPORT_EXACT_ATTESTATION_AND_CONTEXT_ONLY
SRC-WORDSHK-ZI1-ORTHOGRAPHY	LEXICAL_OR_PRONUNCIATION_ONLY	VERIFIED_SPECIALIST_CANTONESE_DICTIONARY_ENTRIES	Words.hk 粵典 entries 枝 and 支; https://words.hk/zidin/%E6%9E%9D and https://words.hk/zidin/%E6%94%AF; entries checked 2026-07-31	Directly records 枝 zi1 and 支 zi1 as classifier spellings for long thin objects, exemplifies 一枝鉛筆 and 一支光管, and separately records additional 支 senses for fleets, songs, and bottles.	Dictionary entries support lexical identity, pronunciation, examples, and sense separation; they do not establish a universal orthographic alias, parser normalization rule, corpus frequency, or free interchange in every lexicalized extension.	SUPPORT_EXPLICIT_ZI1_SURFACE_RECONCILIATION_WITHOUT_BLIND_ALIAS
SRC-WORDSHK-GAA2-GAA3	LEXICAL_OR_PRONUNCIATION_ONLY	VERIFIED_SPECIALIST_CANTONESE_DICTIONARY_ENTRY	Words.hk 粵典 entry 架; https://words.hk/zidin/%E6%9E%B6; noun sense gaa2 and classifier sense gaa3; examples 一架車, 一架火車, 三架電風扇	Directly distinguishes noun 架 gaa2 frame or rack from classifier 架 gaa3 for vehicles and machines, independently resolving the Week 19 reading discrepancy.	The entry does not establish the preferred classifier for every vehicle or device, equal distribution with 部, or a complete machine subclass inventory.	RETAIN_GAA3_CLASSIFIER_AND_QUARANTINE_SOURCE_GAA2_READING
SRC-WORDSHK-BOU6-DEVICES	LEXICAL_OR_PRONUNCIATION_ONLY	VERIFIED_SPECIALIST_CANTONESE_DICTIONARY_ENTRIES	Words.hk 粵典 entries 部, 電話, 機, 機器, and vehicle/device entries; https://words.hk/zidin/%E9%83%A8, https://words.hk/zidin/%E9%9B%BB%E8%A9%B1, https://words.hk/zidin/%E6%A9%9F, https://words.hk/zidin/%E6%A9%9F%E5%99%A8	Directly records 部 bou6 for vehicles and machines, gives 一部電話, and records 機器 with 架, 部, or 台 while generic 機 and electronic devices centrally take 部.	Lexical listings demonstrate available pairings and polysemy but do not quantify preferences, prove free interchange, or settle all phone, machine, aircraft, and vehicle subtypes.	SUPPORT_BOUNDED_GAA3_BOU6_PAIR_ROWS_AND_RETAIN_OVERLAP_LIMITS
SRC-WORDSHK-CONTAINER-MEASURES	LEXICAL_OR_PRONUNCIATION_ONLY	VERIFIED_SPECIALIST_CANTONESE_DICTIONARY_ENTRIES	Words.hk 粵典 entries 碗, 飯, 茶, 杯, and physical cup; https://words.hk/zidin/%E7%A2%97, https://words.hk/zidin/%E9%A3%AF, https://words.hk/zidin/%E8%8C%B6, https://words.hk/zidin/%E6%9D%AF	Directly records 碗 as a food-quantity unit with 兩碗飯, 茶 with 杯 or 壺, and the physical cup noun itself with classifier 隻, supporting container-content versus physical-container separation.	Dictionary examples do not establish every possible content coercion, serving convention, preference between 杯 and 碗, or the acceptability of unusual but contextually possible container contents.	SUPPORT_MEASURE_RELATION_AND_PHYSICAL_CONTAINER_BOUNDARY
SRC-WORDSHK-BAA2	LEXICAL_OR_PRONUNCIATION_ONLY	VERIFIED_SPECIALIST_CANTONESE_DICTIONARY_ENTRY	Words.hk 粵典 entry 把; https://words.hk/zidin/%E6%8A%8A; classifier sense baa2 and examples including 一把較剪	Directly records 把 baa2 for handled, graspable, bundled, action, and fire units; the project corpus independently contains 把刀.	The entry contains several distinct senses and does not license a single undifferentiated handled-object class or every English object described as having a handle.	SUPPORT_BOUNDED_BAA2_KNIFE_AND_SCISSORS_ROWS
SRC-WORDSHK-TIU4	LEXICAL_OR_PRONUNCIATION_ONLY	VERIFIED_SPECIALIST_CANTONESE_DICTIONARY_ENTRIES	Words.hk 粵典 entries 條, 魚, and 街; https://words.hk/zidin/%E6%A2%9D, https://words.hk/zidin/%E9%AD%9A, https://words.hk/zidin/%E8%A1%97; examples 一條魚, 一條街, and 三條樹枝	Directly records 條 tiu4 for long, narrow, thin, or conventional extended entities and gives the exact bounded project nouns 魚, 街, and 樹枝.	The semantic description is a tendency plus lexical convention, not a geometric algorithm that licenses every elongated noun.	SUPPORT_BOUNDED_TIU4_PAIR_ROWS
SRC-WORDSHK-BOUNDED-PAIRS	LEXICAL_OR_PRONUNCIATION_ONLY	VERIFIED_SPECIALIST_CANTONESE_DICTIONARY_ENTRIES	Words.hk 粵典 entries 個, 位, 老師, 醫生 or 西醫, 蘋果, 對, 鞋, 筷子, 間, and 餐廳; representative URLs https://words.hk/zidin/%E5%80%8B, https://words.hk/zidin/%E4%BD%8D, https://words.hk/zidin/%E8%98%8B%E6%9E%9C, https://words.hk/zidin/%E5%B0%8D, https://words.hk/zidin/%E9%A4%90%E5%BB%B3	Directly records 個 as a general classifier, 位 as polite person counting, 老師 with 個 or 位, 蘋果 with 個 or 隻, 對 for paired objects such as shoes and chopsticks, and 餐廳 with 間.	Grouped dictionary evidence supports only the listed bounded rows; it does not erase honorific conditions, pair-versus-single semantics, general-classifier variation, or alternative lexical choices.	SUPPORT_REVIEWED_BOUNDED_PAIRS_ONLY
