packet_id	canonical_family_id	canonical_family	packet_mode	packet_status	development_seed_surface_count	exact_positive_min	positive_variant_min	negative_near_miss_min	ambiguity_pair_min	context_pair_min	native_review_item_min	render_review_case_min	prospective_held_out_min	research_question_min	requires_external_exact_examples	requires_native_review	requires_render_review	requires_prospective_held_out	held_out_selection_state	implementation_authorized	primary_cp022_package	blocking_condition
EP-R36-I01	I01	ClauseSpan	STRUCTURAL_EQUIVALENCE_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	7	4	0	4	0	0	0	8	4	0	YES	NO	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	Populate and freeze packet before code change.
EP-R36-I02	I02	ClauseRelationGraph	STRUCTURAL_EQUIVALENCE_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	8	4	0	4	0	0	0	8	4	0	YES	NO	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	Populate and freeze packet before code change.
EP-R36-I03	I03	ParticleScope	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	18	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change.
EP-R36-I04	I04	NominalAndMeasureSpan	STRUCTURAL_EQUIVALENCE_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	12	4	0	4	0	0	0	8	4	0	YES	NO	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	Populate and freeze packet before code change.
EP-R36-I05	I05	DiscourseRoleStructure	SPLIT_PACKET_CLEANUP_PLUS_RESEARCH_GAP	SCHEMA_FROZEN_BLUEPRINT_ONLY	1	8	4	8	4	2	6	8	8	2	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-I06	I06	CopularComposition	SPLIT_PACKET_CLEANUP_PLUS_RESEARCH_GAP	SCHEMA_FROZEN_BLUEPRINT_ONLY	3	8	4	8	4	2	6	8	8	2	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-I07	I07	ComplementGrouping	RESEARCH_GAP_PACKET_NO_IMPLEMENTATION	SCHEMA_FROZEN_BLUEPRINT_ONLY	0	0	0	0	0	0	0	0	0	3	NO	NO	NO	NO	NOT_SELECTED_NOT_OPENED	NO	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-I08	I08	ParserDiagnosticDisposition	STRUCTURAL_EQUIVALENCE_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	12	4	0	4	0	0	0	8	4	0	YES	NO	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	Populate and freeze packet before code change.
EP-R36-L01	L01	CoverbAndParticipantRelations	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	9	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	Populate and freeze packet before code change.
EP-R36-L02	L02	ConditionalRelations	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	4	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	Populate and freeze packet before code change.
