id	ordinal	item_type	turn	speaker	vocabulary_ordinal	source_cantonese	source_jyutping	source_english	source_hash	previous_turn_id	next_turn_id	deduplication_relation	ingress_classification	runtime_lexical_owners	canonical_exact_owners	supporting_exact_owners	review_flags	review_state
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I001	1	dialog_turn	1	阿珊		哇,呢個蛋糕好靚呀!	/Aa3 Saan1: Waa1, ni1 go3 daan6 gou1 hou2 leng3 aa3!/		sha256:25f9ce3a662a1385ea457d08688353bdb2e33efb81fc4611d724d66c0067f609		GLOSSIKA-YUEHK-A1-DLG-002-20251207-I002	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I002	2	dialog_turn	2	店員		係呀,呢個係我哋新款。	/Dim3 Jyun4: Hai6 aa3, ni1 go3 hai6 ngo5 dei6 san1 fun2./		sha256:f1feee3dbba9a5cf2abfa69884b108a03b4a963695d6303213a9a0f235ef4fa8	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I001	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I003	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I003	3	dialog_turn	3	阿珊		好似好好食咁,幾錢呀?	/Aa3 Saan1: Hou2 ci5 hou2 hou2 sik6 gam2, gei2 cin2 aa3?/		sha256:f9c1bca6cc17cfcbef0332b9f401503bd328be15bed62944edeea74c50ec25e0	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I002	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I004	no_project_match	naturalness_review_candidate				naturalness_review_candidate|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I004	4	dialog_turn	4	店員		呢個一百八十蚊。	/Dim3 Jyun4: Ni1 go3 jat1 baak3 baat3 sap6 man1./		sha256:3eac99622b37471f247af1c4ab0a9e929efd851ddd0bd6df911ab8c3b5b9c45b	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I003	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I005	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I005	5	dialog_turn	5	阿珊		有啲貴喎,值唔值呀?	/Aa3 Saan1: Jau5 di1 gwai3 wo3, zik6 m4 zik6 aa3?/		sha256:57abcf0e0e92bcca1905140b9912a7e3d7f3b82ce078e782cd5b6102034f0881	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I004	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I006	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I006	6	dialog_turn	6	店員		好值呀!用咗好多材料。	/Dim3 Jyun4: Hou2 zik6 aa3! Jung6 zo2 hou2 do1 coi4 liu2./		sha256:d0a4ffcdcfa79637876463e26583e720418d8239af3d181fa0b674c5081f27e4	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I005	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I007	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I007	7	dialog_turn	7	阿珊		有啲咩材料呀?	/Aa3 Saan1: Jau5 di1 me1 coi4 liu2 aa3?/		sha256:058abdbcad60120b245cc212aeaf712e11b3f96925ba1cf668902dd2ed886d8a	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I006	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I008	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I008	8	dialog_turn	8	店員		有新鮮士多啤梨,仲有忌廉同朱古力。	/Dim3 Jyun4: Jau5 san1 sin1 si6 do1 be1 lei2, zung6 jau5 gei6 lim4 tung4 zyu1 gu2 lik1./		sha256:c3d2a5262aaa4c890e365858c66a36b22b4e56af2c99a189c7d809f116285909	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I007	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I009	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I009	9	dialog_turn	9	阿珊		士多啤梨新鮮㗎咩?	/Aa3 Saan1: Si6 do1 be1 lei2 san1 sin1 gaa3 me1?/		sha256:47f0afad58435992ce00d594237e61e026b9eff1729d0a633cfc61f5e69c0246	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I008	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I010	no_project_match	naturalness_review_candidate				naturalness_review_candidate|particle_cluster_context|biased_question_context|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I010	10	dialog_turn	10	店員		新鮮呀!今朝先到㗎。	/Dim3 Jyun4: San1 sin1 aa3! Gam1 ziu1 sin1 dou3 gaa3./		sha256:72b50a640853a04761f56241ba6eb2649a05c521c9494bfbaf3266df9bbc232d	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I009	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I011	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I011	11	dialog_turn	11	阿珊		咁呢個值啦!你哋仲有冇其他款式呀?	/Aa3 Saan1: Gam2 ni1 go3 zik6 laa1! Nei5 dei6 zung6 jau5 mou5 kei4 taa1 fun2 sik1 aa3?/		sha256:d81da242e1eef946009516ab592d9c33a912338bf4146dd6cd2cbc4f2085e149	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I010	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I012	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I012	12	dialog_turn	12	店員		有呀,你想睇咩蛋糕呀?	/Dim3 Jyun4: Jau5 aa3, nei5 soeng2 tai2 me1 daan6 gou1 aa3?/		sha256:438779d5c44e95229244ebc0c8b16235d693e611762f27d09140057ab2ac7dc6	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I011	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I013	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I013	13	dialog_turn	13	阿珊		有冇芒果蛋糕呀?	/Aa3 Saan1: Jau5 mou5 mong1 gwo2 daan6 gou1 aa3?/		sha256:88b9eae56c498340a84e68dd2ae8c578ac999fb1b78d03b5b8244f18b7d53d18	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I012	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I014	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I014	14	dialog_turn	14	店員		有呀,嗰個係芒果蛋糕。	/Dim3 Jyun4: Jau5 aa3, go2 go3 hai6 mong1 gwo2 daan6 gou1./		sha256:8ec9fff55477ac700efcfff9a65337a5ad9111d484f51e580e590300a4d0ca58	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I013	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I015	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I015	15	dialog_turn	15	阿珊		嗰個幾錢呀?	/Aa3 Saan1: Go2 go3 gei2 cin2 aa3?/		sha256:c3b66573fcba7d13ed686f0345f654143acc98030cb8850bdf5014525e008882	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I014	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I016	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I016	16	dialog_turn	16	店員		嗰個平啲,一百二十蚊。	/Dim3 Jyun4: Go2 go3 peng4 di1, jat1 baak3 ji6 sap6 man1./		sha256:f443d0fba90917d72de7eb7c251ebe7ddd64d8917d8c50360e573d2e32c8fde8	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I015	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I017	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
