runtime_label	canonical_family_id	canonical_family	target_action	target_node_or_family	accepted_tree_occurrence_count	runtime_code_reference_count	assigned_work_package	evaluation_packet_id	implementation_status	intended_semantic_change	compatibility_alias_required	held_out_state	source_boundary
SubjectPredicateClause	I01	ClauseSpan	RETAIN_INTERNAL	ClauseSpan	120	81	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I01	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep as transparent clause-span structure only; preserve the typed predicate child and prevent the broad wrapper from licensing valency, word order, omission, or predicate subtype.
NeedsContext	I08	ParserDiagnosticDisposition	DIAGNOSTIC_ONLY	ParserDiagnosticDisposition	73	39	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I08	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Retain as a disposition only; require explicit reason codes, missing slots, antecedent status, and candidate analyses. Never treat it as a linguistic construction.
ClauseRelationMember	I02	ClauseRelationGraph	RETAIN_INTERNAL	ClauseRelationGraph	57	9	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I02	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep internal and non-learner-facing; inherit all semantic status from the parent relation or context diagnostic.
ClauseLinkingSequence	I02	ClauseRelationGraph	RETAIN_INTERNAL	ClauseRelationGraph	47	36	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I02	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep as an internal wrapper; do not assign conditional, causal, temporal, sequential, concessive, or topic-chain meaning from the wrapper name alone.
HeadNP	I04	NominalAndMeasureSpan	RENAME_INTERNAL	NominalAndMeasureSpan	31	35	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R37-I04	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	SELECTED_HASHED_LOCKED	Rename to a neutral nominal-span wrapper; do not let it independently license argument status, definiteness, ellipsis, or standalone utterance use.
ClauseRelation	I02	ClauseRelationGraph	RETAIN_INTERNAL	ClauseRelationGraph	27	21	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I02	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep the container, but require every relation subtype and linker interpretation to inherit an independently mapped language claim and negative boundary.
DiscourseParticleFrame	I03	ParticleScope	RENAME_INTERNAL	ParticleScope	19	33	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I03	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Retain only as an internal particle-scope wrapper; rename away from a standalone construction claim and require each particle/cluster subtype to inherit mapped evidence.
MalformedCandidate	I08	ParserDiagnosticDisposition	DIAGNOSTIC_ONLY	ParserDiagnosticDisposition	15	20	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I08	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Retain only with enumerated conflict codes and neutral wording; never equate MalformedCandidate with ungrammatical Cantonese.
MeasureExpression	I04	NominalAndMeasureSpan	RETAIN_INTERNAL	NominalAndMeasureSpan	12	11	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R37-I04	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	SELECTED_HASHED_LOCKED	Keep as an overt span container; inherit age, price, area, and length licensing from mapped nominal-predication subtypes.
FocusParticleFrame	I03	ParticleScope	RENAME_INTERNAL	ParticleScope	8	17	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I03	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Retain as internal scope/coverage structure only; require an overt licensed host and independently mapped restrictive-particle subtype.
PolarQuestionFrame	I03	ParticleScope	RENAME_INTERNAL	ParticleScope	6	19	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I03	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Retain only as an internal question-scope wrapper; each final-particle profile must inherit mapped language evidence and competing-analysis notes.
