boundary_id	profile_id	positive_or_target	competitor_or_control	decisive_dimension	current_evidence	future_decision_rule
d8f3e053-7c2c-4b4e-8f71-50dd849092c7	PVA-HOI1	佢睇開中醫嘅／我哋做開呢行／佢用開嗰隻牌子	佢開門／間舖冇開	Local host and role of 開	Direct grammar and lexical sources distinguish postverbal habitual 開 from lexical 開; one source places both in the same sentence.	Require a preceding lexical host and a supported established-pattern interpretation; do not classify from the graph 開 alone.
1c2d28ac-d651-4521-a0e0-bc7d43b6f682	PVA-HOI1	V開 established pattern	V過 prior experience	Viewpoint contribution	Predecessor sources explicitly separate habitual establishment from experiential aspect.	A prior occurrence or experience alone is insufficient; test recurrence or established association independently.
15949815-5b59-4738-9959-5584207b5364	PVA-HOI1	V開 established pattern	V緊 progressive	Reference interval	Progressive locates an event in progress; habitual 開 profiles a recurring or established pattern.	Do not infer habit from ongoingness or ongoingness from habit; allow higher composition only after controlled evidence.
9ed29b66-e89d-44fc-976a-f7aaed96f544	PVA-HOI1	去開嗰間餐廳	打開／行開啲／講開	Lexical/resultative/directional/discourse subtype	The predecessor report quarantines each neighbor and documents different local structure and function.	Code local host, complement, clause position, and discourse relation before any habitual disposition.
4560c4ed-17c0-4452-8b3b-cba1aadbaeb7	PVA-HOI1	Matrix or modifier V開	未／冇／唔 plus V開; V開咗	Polarity and aspect stacking	Only a narrow 未 incompatibility and generated runtime probes exist.	Treat every polarity or stacking pattern as unresolved until directly sourced or controlled; no generic inheritance.
052b7e5d-e418-4acb-a2a3-943374d30738	PVA-LOKHEOI	講落去／蝕落去／凍落去	行落去／飛落去／擰本書落去	Temporal continuation versus spatial path	Direct sources independently attest nonmotion continuation and literal self/caused motion.	Require evidence for an extendable temporal situation and inspect mover, path, location, endpoint, and deictic context before choosing a profile.
0c36ed3e-c7df-4bb1-af16-56f8f22203e1	PVA-LOKHEOI	佢會一直講落去	講落去故事／講落故事去	Adjacency and object placement	Yiu marks the latter two bad for the intended continuative reading while accepting objectless 講落去.	Retain the documented continuative adjacency guard; code alternative object strategies separately rather than repairing generated forms.
5de6f2ab-19b1-4c1f-807d-46b5273f4f2b	PVA-LOKHEOI	做住落去	V住 only	Maintained state versus forward continuation	The checked source directly attests co-occurrence, showing non-equivalence.	Represent 住 and 落去 as separate potential contributions; do not deduplicate one into the other.
34227137-2f36-4e96-847c-e827fd984578	PVA-LOKHEOI	捱得落去	Literal directional potential	Potential structure plus semantic host	The source attests a continuative potential profile, while motion-compatible forms remain ambiguous.	Require host semantics and context; do not make 得 an automatic continuative trigger.
03e05843-3dd4-466f-a162-e791bc892ed0	PVA-LOKHEOI	再凍落去，啲花就會死／件事發展落去…	Generic clause relation	Internal aspect versus higher consequence/projection	Sources support continuation plus a following relation; runtime broad parents mask the child.	Preserve an independently justified continuative child under any higher clause relation.
db61d484-a34e-4a26-acb1-6ae1bdd71b5a	PVA-HEILAI	喊起上嚟／嘈起嚟／光起嚟	行上嚟／跳咗起嚟／拎起本書嚟	Onset/manifestation versus upward or deictic motion	Primary and reference sources directly distinguish nonmotion onset from literal self/caused motion.	Inspect physical mover/theme, path and deictic endpoint, predicate semantics, trigger context, and interpretation evidence.
2c3a1b95-d1fc-4750-8439-f2485319dd56	PVA-HEILAI	學起法文嚟／打起網球上嚟／發起脾氣上嚟	打網球起上嚟／打起上嚟網球／發脾氣起上嚟	Source-backed discontinuity versus competing orders	Primary and reference sources establish V起O(上)嚟; controls are source-incompatible but not independently judged.	Recognize only source-backed order as a positive candidate; retain other orders as judgment targets, not categorical negatives.
38f79f64-48c6-4a99-bd0b-c3129378429a	PVA-HEILAI	Dynamic onset	State/property manifestation or generic when reading	Event boundary versus characteristic manifestation	Sources attest both, but translations and discourse profiles differ.	Code onset, manifestation, generic-when, and ambiguous readings separately before identity unification or splitting.
4846d59b-1966-4a2b-a86b-73f2d1fd4825	PVA-HEILAI	起嚟	起上嚟	Short versus long variant	Sources describe related forms but do not prove free alternation across all predicates, regions, objects, or registers.	Collect matched variants by predicate and context; no automatic aliasing.
7144460e-bdc7-4be6-8b28-5ae3592eebfb	PVA-HEILAI	Onset/manifestation	睇起嚟／講起嚟	Appearance/evaluation and discourse-topic functions	Predecessor evidence explicitly quarantines these neighboring profiles.	Use discourse function, host lexeme, clause position, and paraphrase evidence; do not infer onset from the sequence 起嚟 alone.
f435ae5c-d3ce-48c9-8759-907046bb1d86	PVA-SHARED	Profile-specific local dependency	Full root coverage or a tail DirectionalMotionVP	Span coverage versus semantic coverage	All three audits show broad parents or direction tails masking the missing target relation.	Runtime observations may locate collisions only; acceptance requires independent linguistic evidence and a typed local child.
