runtime_label	claim_layer	current_linguistic_status	runtime_embedded_status	status_alignment	linguistic_confidence_state	implementation_lifecycle	runtime_code_reference_count	accepted_fixture_count	accepted_fixture_origin_count	visible_or_focused_test_status	render_review_status	held_out_status	regression_status	code_document_alignment_status	productive_acceptance_eligible	note
ANotAQuestion	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	11	10	16	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Runtime metadata and current governance agree in v0.5.184.
AcceptabilityANotA	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported	runtime_referenced_without_accepted_fixtures	3	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Runtime metadata and current governance agree in v0.5.184.
AcceptabilityClause	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported	runtime_referenced_without_accepted_fixtures	6	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Runtime metadata and current governance agree in v0.5.184.
ActionStativeVP	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	4	3	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Runtime metadata and current governance agree in v0.5.184.
ApproximateQuantity	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported	runtime_referenced_with_accepted_fixtures	7	3	7	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Runtime metadata and current governance agree in v0.5.184.
AssociativeNP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported	runtime_referenced_without_accepted_fixtures	4	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Runtime metadata and current governance agree in v0.5.184.
CausativeResultFrame	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported	runtime_referenced_without_accepted_fixtures	4	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Runtime metadata and current governance agree in v0.5.184.
CausativeResultPredicate	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported	runtime_referenced_without_accepted_fixtures	4	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Runtime metadata and current governance agree in v0.5.184.
ChangeIntoPredicate	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported	runtime_referenced_without_accepted_fixtures	4	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Runtime metadata and current governance agree in v0.5.184.
ClassifierObjectNP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported	runtime_referenced_with_accepted_fixtures	8	4	3	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Runtime metadata and current governance agree in v0.5.184.
