review_index	item_id	source_id	source_title	source_hash	ordinal	speaker	traditional	jyutping	previous_turn_id	previous_speaker	previous_traditional	next_turn_id	next_speaker	next_traditional	runtime_labels	review_class	review_subtype	terminal_disposition	linked_slots	routed_issue	confidence	rationale	nonfabrication_rule
1	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I002	GLOSSIKA-YUEHK-A1-DLG-001-20251130	學跳舞	sha256:c5c5e039a54760a276a2de0a09c9041da1817b328e5a979f4261e5d01f89d4a9	2	阿文	識少少啫,跳得唔係好好。	Aa3 Man4: Sik1 siu2 siu2 ze1, tiu3 dak1 m4 hai6 hou2 hou2.	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I001	美美	喂,阿文,你識唔識跳舞呀?	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I003	美美	你識跳咩舞呀?	NeedsContext	multi_clause_member_local	skill_answer_plus_overt_evaluation	context_licensed	answer_domain|speaker_continuity		high	The first member 識少少啫 answers the preceding skill question; 跳得唔係好好 remains overt and independently interpretable. Context links the answer domain without inserting a hidden predicate.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
2	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I020	GLOSSIKA-YUEHK-A1-DLG-001-20251130	學跳舞	sha256:e96409082202dea50746cc89f2125ce0d4a407e570d430816ab8e6f255c6017f	20	阿文	得呀,幾時去呀?	Aa3 Man4: Dak1 aa3, gei2 si4 heoi3 aa3?	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I019	美美	去跳舞學校睇吓課程。	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I021	美美	聽日得唔得呀?	ClauseRelationGraph|DirectionalMotionVP|NeedsContext|TemporalClause	multi_clause_member_local	acceptance_plus_temporal_continuation_question	context_licensed	proposal_domain|motion_event_domain		high	得呀 accepts the immediately preceding proposal to visit the dance school; 幾時去 asks the time of that overtly established event.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
3	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I022	GLOSSIKA-YUEHK-A1-DLG-001-20251130	學跳舞	sha256:ffadbbf0052fc2febd5c75995cb701ed19b83fb1541d068c60cd97be7a9034e0	22	阿文	得呀,聽日下晝得唔得呀?	Aa3 Man4: Dak1 aa3, ting1 jat6 haa6 zau3 dak1 m4 dak1 aa3?	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I021	美美	聽日得唔得呀?	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I023	美美	得呀!咁我哋約幾點呀?	ClauseRelationGraph|NeedsContext|TemporalClause	multi_clause_member_local	acceptance_plus_refined_time_question	context_licensed	proposal_domain|scheduled_event_domain		high	The first 得呀 accepts tomorrow; the second member proposes a narrower time for the same visit. Only relation metadata is linked.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
4	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I023	GLOSSIKA-YUEHK-A1-DLG-001-20251130	學跳舞	sha256:6f233dfc1a936ed541f1da2302383895531176b621a7a4af708dab774598c18d	23	美美	得呀!咁我哋約幾點呀?	Mei5 Mei5: Dak1 aa3! Gam2 ngo5 dei6 joek3 gei2 dim2 aa3?	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I022	阿文	得呀,聽日下晝得唔得呀?	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I024	阿文	三點得唔得呀?	NeedsContext	multi_clause_member_local	acceptance_plus_scheduling_question	context_licensed	proposal_domain		high	得呀 accepts the afternoon proposal; the following scheduling question is overt and keeps its own structure.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
5	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I025	GLOSSIKA-YUEHK-A1-DLG-001-20251130	學跳舞	sha256:023127ec12946e6d3b3afc8517d5021f9dac726d4c4bd5facb4a5d4606500b41	25	美美	得呀!喺邊度見呀?	Mei5 Mei5: Dak1 aa3! Hai2 bin1 dou6 gin3 aa3?	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I024	阿文	三點得唔得呀?	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I026	阿文	喺學校門口見啦。	CoverbFrame|LocativePlacePhrase|LocativeWhQuestion|NeedsContext	multi_clause_member_local	acceptance_plus_location_question	context_licensed	proposal_domain|meeting_event_domain		high	得呀 accepts three o'clock; 喺邊度見 asks the meeting location for the established plan.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
6	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I027	GLOSSIKA-YUEHK-A1-DLG-002-20251207	讚吓個蛋糕	sha256:f5113f657d5742b956e63f3e18ec2ee96c9622b581c9b95e346555309b69bec8	27	阿珊	哦!要呀!寫「生日快樂」,得唔得呀?		GLOSSIKA-YUEHK-A1-DLG-002-20251207-I026	店員	即係喺蛋糕上面寫生日快樂之類。	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I028	店員	得呀,冇問題。要幾多支蠟燭呀?	AcceptabilityANotA|ClauseRelationGraph|NeedsContext|TopicComment	multi_clause_member_local	service_selection_plus_acceptability_question	context_licensed	service_option_domain		high	要呀 selects the birthday-message service described in the immediately preceding explanation; the quoted message and 得唔得 question are overt.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
7	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I028	GLOSSIKA-YUEHK-A1-DLG-002-20251207	讚吓個蛋糕	sha256:15e1fa4b932264d554a338d63122e22893681f3d2bc38181328477e6fabb4e6b	28	店員	得呀,冇問題。要幾多支蠟燭呀?		GLOSSIKA-YUEHK-A1-DLG-002-20251207-I027	阿珊	哦!要呀!寫「生日快樂」,得唔得呀?	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I029	阿珊	要五支,得唔得呀?	ClauseRelationGraph|DegreeStativePredicate|FormulaDiscourseUnit|ModalVP|NeedsContext	multi_clause_member_local	acceptance_formula_plus_quantity_question	context_licensed	request_domain		high	得呀 answers the message request; 冇問題 is formulaic and the candle question is independently overt.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
8	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I030	GLOSSIKA-YUEHK-A1-DLG-002-20251207	讚吓個蛋糕	sha256:6decfca0a50661890af1d158d14b4d9e94f71ead553b22f4646be5516a7871cf	30	店員	得呀!我哋送埋蠟燭畀你。		GLOSSIKA-YUEHK-A1-DLG-002-20251207-I029	阿珊	要五支,得唔得呀?	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I031	阿珊	多謝!你哋服務真係好好!	NeedsContext	multi_clause_member_local	acceptance_plus_transfer_statement	context_licensed	request_domain		high	得呀 accepts the request for five candles; the transfer statement is overt and independent.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
9	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I034	GLOSSIKA-YUEHK-A1-DLG-002-20251207	讚吓個蛋糕	sha256:cc3b814cdbd8173612d11ab7c160c9ea8e3aff07cd07bbb2b1650038026a4681	34	店員	得呀,你嚟攞就得喇。		GLOSSIKA-YUEHK-A1-DLG-002-20251207-I033	阿珊	聽日下晝三點鐘得唔得呀?	GLOSSIKA-YUEHK-A1-DLG-002-20251207-I035	阿珊	好呀!要唔要畀訂金呀?	ClauseRelationEdge|ClauseRelationGraph|ClauseRelationMemberSpan|DirectionalMotionVP|FormulaDiscourseUnit|NeedsContext	multi_clause_member_local	time_acceptance_plus_sufficiency_instruction	context_licensed	time_proposal_domain		high	得呀 accepts the proposed pickup time; 你嚟攞就得喇 is overt and does not need a fabricated complement.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
10	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I003	GLOSSIKA-YUEHK-A1-DLG-003-20251214	同朋友整湯圓慶祝冬至	sha256:32235bf80eeabe9ce0a26c3b7d1febc3f6ab17c08bf64a39aab8a16ab10fed00	3	阿明	會呀!你呢?		GLOSSIKA-YUEHK-A1-DLG-003-20251214-I002	小紅	係呀!你屋企會唔會食湯圓呀?	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I004	小紅	我哋每年都整㗎。	FragmentQuestion|NeedsContext	continuation_or_fragment_question	modal_answer_plus_reciprocal_question	context_licensed	polar_question_domain|reciprocal_question_domain		high	會呀 selects the positive alternative of the preceding 會唔會食湯圓 question; 你呢 asks the same domain about the other speaker.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
