rank	surface	contamination_type	cifu_marked_fragment	decision	surface_status	note
106	面	classifier	classifier for flat surfaces such as drums, mirrors, flags etc (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 面 lexical uses; do not import this Mandarin classifier.
158	走	lexical_sense	to walk (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 走 uses; do not assign Mandarin 'walk' sense.
178	公司	classifier	CL:家 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese organization noun; do not import Mandarin 家 classifier metadata.
390	頭	classifier	classifier for pigs or livestock (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 頭 lexical uses; do not import Mandarin livestock classifier.
425	覺	classifier	CL:場 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep independently supported Cantonese readings/senses; do not import Mandarin classifier.
501	地	classifier	CL:片 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 地 uses; do not import Mandarin 片 classifier metadata.
535	跟	lexical_sense	heel (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 跟 uses; do not assign Mandarin noun 'heel'.
562	海	classifier	CL:片 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 海 noun; do not import Mandarin 片 classifier metadata.
590	機	classifier	CL:臺/台 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 機 lexical uses; do not import Mandarin classifier metadata.
634	教	lexical_sense	to make / to cause / to tell (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 教 'teach/instruct' uses; Mandarin causative/tell senses require separate Cantonese evidence before any use.
673	把	grammatical_function	used before a direct object and a verb often carrying the sense of disposal (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep independently supported Cantonese 把 classifier/lexical uses; do not import Mandarin 把-disposal construction.
754	車	classifier	CL:輛 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 車 noun/readings; do not import Mandarin 輛 classifier metadata.
799	靠	lexical_sense	to fuck (vulgar) (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 靠 lean/rely/near uses where supported; do not import Mandarin vulgar sense.
959	腳	classifier	CL:雙 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 腳 noun; do not import Mandarin 雙 classifier metadata.
960	旗	classifier	CL:面 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 旗 noun; do not import Mandarin 面 classifier metadata.
981	門	classifier	CL:扇 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 門 lexical uses; do not import Mandarin 扇 classifier metadata.
995	口	classifier	classifier for things with mouths (people, domestic animals, cannons, wells etc) (Mandarin); classifier for bites or mouthfuls (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 口 noun and independently supported Cantonese measure uses; do not import these broad Mandarin classifier senses from Cifu.
1200	抹	classifier	classifier for wisps of cloud, light-beams etc (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 抹 verb/readings where supported; do not import this Mandarin classifier.
1399	片	classifier	classifier for CDs, movies, DVDs etc (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 片 readings and independently supported categories; do not import this Mandarin media classifier.
1532	罷	particle	final particle, same as 吧 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep independently supported Cantonese formal lexical 罷 uses; do not import Mandarin 吧-equivalent particle.
1729	響	classifier	classifier for noises (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese sound and locative 響 analyses; do not import Mandarin noise classifier.
1792	校	classifier	CL:所 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 校 lexical/bound uses where supported; do not import Mandarin 所 classifier metadata.
1995	嘴	classifier	CL:張 (Mandarin)	exclude_mandarin_analysis	retain_cantonese_surface	Keep Cantonese 嘴 noun; do not import Mandarin 張 classifier metadata.
