wave_id	runtime_label	canonical_family_id	canonical_family	target_action	target_node_or_family	accepted_tree_occurrence_count	runtime_code_reference_count	intended_semantic_change	allowed_diagnostic_change	compatibility_alias_required	required_packet_id	stop_condition
I1A-W1_INTERNAL_DUPLICATES	CopularIdentificationFrame	I06	CopularComposition	MERGE_INTERNAL_WRAPPER	CopularComposition	2	13	NONE	migration alias and internal-node provenance only	YES	EP-R36-I06	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1A-W1_INTERNAL_DUPLICATES	CopularRelationFrame	I06	CopularComposition	MERGE_INTERNAL_WRAPPER	CopularComposition	1	19	NONE	migration alias and internal-node provenance only	YES	EP-R36-I06	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1A-W1_INTERNAL_DUPLICATES	SubjectModalPredicateClause	I01	ClauseSpan	MERGE_INTERNAL_WRAPPER	SubjectPredicateClause	1	13	NONE	migration alias and internal-node provenance only	YES	EP-R36-I01	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1A-W1_INTERNAL_DUPLICATES	Comment	I05	DiscourseRoleStructure	MERGE_INTERNAL_WRAPPER	TopicComment	0	7	NONE	migration alias and internal-node provenance only	YES	EP-R36-I05	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1A-W1_INTERNAL_DUPLICATES	CoordinatedSubjectModalPredicateClause	I01	ClauseSpan	MERGE_INTERNAL_WRAPPER	SubjectPredicateClause	0	11	NONE	migration alias and internal-node provenance only	YES	EP-R36-I01	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1A-W1_INTERNAL_DUPLICATES	DemonstrativeHeadNP	L17	DemonstrativeNP	RETIRE	DemonstrativeNP	0	8	NONE	migration alias and internal-node provenance only	YES	EP-R36-L17	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1A-W1_INTERNAL_DUPLICATES	DirectionalCausedMotionVP	L33	DirectionalMotion	RETIRE	DirectionalMotion caused-motion subtype	0	6	NONE	migration alias and internal-node provenance only	YES	EP-R36-L33	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1A-W1_INTERNAL_DUPLICATES	LocativeModalPredicateClause	I01	ClauseSpan	MERGE_INTERNAL_WRAPPER	SubjectPredicateClause	0	12	NONE	migration alias and internal-node provenance only	YES	EP-R36-I01	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1A-W1_INTERNAL_DUPLICATES	ModifierPhrase	I04	NominalAndMeasureSpan	MERGE_INTERNAL_WRAPPER	ModifiedNP	0	7	NONE	migration alias and internal-node provenance only	YES	EP-R36-I04	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1A-W1_INTERNAL_DUPLICATES	TopicCommentClause	I05	DiscourseRoleStructure	RETIRE	DiscourseRoleStructure	0	6	NONE	migration alias and internal-node provenance only	YES	EP-R36-I05	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1A-W1_INTERNAL_DUPLICATES	TopicModalPredicateClause	I01	ClauseSpan	MERGE_INTERNAL_WRAPPER	SubjectPredicateClause	0	10	NONE	migration alias and internal-node provenance only	YES	EP-R36-I01	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W1_ACTIVE_TRANSPARENT_WRAPPERS	NegatedDirectionalMotionVP	L26	Negation	MERGE_TRANSPARENT_COMPOSITION	Negation + DirectionalMotionVP	10	12	NONE	migration alias and internal-node provenance only	YES	EP-R36-L26	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W1_ACTIVE_TRANSPARENT_WRAPPERS	LocativeExistentialClause	L39	ExistentialAndPresentationalClauses	MERGE_TRANSPARENT_COMPOSITION	ExistentialAndPresentationalClauses	6	15	NONE	migration alias and internal-node provenance only	YES	EP-R36-L39	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W1_ACTIVE_TRANSPARENT_WRAPPERS	ActionStativeVP	L42	StativePredication	MERGE_TRANSPARENT_COMPOSITION	typed predicate + quantity/duration complement	3	11	NONE	migration alias and internal-node provenance only	YES	EP-R36-L42	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W1_ACTIVE_TRANSPARENT_WRAPPERS	PerfectiveDirectionalVP	L13	AspectDirectionalComposition	MERGE_TRANSPARENT_COMPOSITION	PerfectiveVP + DirectionalMotion	2	8	NONE	migration alias and internal-node provenance only	YES	EP-R36-L13	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W1_ACTIVE_TRANSPARENT_WRAPPERS	ExperientialClause	L07	ExperientialAspect	MERGE_TRANSPARENT_COMPOSITION	ExperientialVP	1	8	NONE	migration alias and internal-node provenance only	YES	EP-R36-L07	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W1_ACTIVE_TRANSPARENT_WRAPPERS	ProgressiveDirectionalVP	L13	AspectDirectionalComposition	MERGE_TRANSPARENT_COMPOSITION	ProgressiveVP + DirectionalMotion	1	8	NONE	migration alias and internal-node provenance only	YES	EP-R36-L13	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W1_ACTIVE_TRANSPARENT_WRAPPERS	ProgressiveWhObjectQuestion	L25	TypedWhAndStanceQuestions	MERGE_TRANSPARENT_COMPOSITION	ProgressiveVP + typed wh object question	1	13	NONE	migration alias and internal-node provenance only	YES	EP-R36-L25	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	AdjectivalPredicateClause	L42	StativePredication	MERGE_TRANSPARENT_COMPOSITION	StativePredicate subtype	0	6	NONE	migration alias and internal-node provenance only	YES	EP-R36-L42	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	CausativeResultFrame	L15	ResultativeAndChangePredication	MERGE_TRANSPARENT_COMPOSITION	CausativeResultPredicate	0	10	NONE	migration alias and internal-node provenance only	YES	EP-R36-L15	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
