candidate_id	expert_class	semantic_subtype	composition_status	polarity_or_clause_profile	decision_confidence	decision_reason
jmd-f1ed9ebb1df6b28aa456	compositional_opportunity	bargainability_or_price_condition	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 平 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-091371c6b3729d5f052c	compositional_opportunity	access_or_participation	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 去 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-396ba45226c2535178c8	compositional_opportunity	access_to_viewing	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 睇 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-6385ccf63cabf0f24314	compositional_opportunity	access_to_viewing	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 睇 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-4df92e84dedc9b8e25c5	compositional_opportunity	participation_opportunity	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 參加 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-8003f2abe5bd40de1f24	compositional_opportunity	access_to_viewing	productive_preverbal_unit_plus_predicate	affirmative_surface_question	high	Full-context review: overt 有得 precedes predicate 睇 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-82d02d2e694ac3667241	elliptical_opportunity	reformulated_negative_availability	truncated_then_paraphrased	negative_self_repair	medium	冇得 is cut off and immediately paraphrased with 你唔可以; the availability meaning is recoverable, but no following predicate belongs to the target span.
jmd-21b76d38ad19eaf9d2f3	compositional_opportunity	choice_availability	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 揀 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-ffa9c2ac4b64809e0f1f	compositional_opportunity	choice_availability	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 揀 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-e6f23de440a829e7c6f6	ambiguous_boundary	ordering_or_sequence_availability	predicate_category_unresolved	affirmative_conditional_clause	medium	有得 precedes 順序 and a larger 連埋-number expression; the opportunity reading is plausible, but the exact predicate boundary and category are unresolved.
jmd-004028dccf785f70d9b9	compositional_opportunity	benefit_access	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 享用 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-a581f40a90aee290c9b9	repair_or_unusable	abandoned_negative_start	speech_repair	negative_repair	high	The first 冇得 is interrupted by a hyphen and immediately restarted; only the second occurrence supplies a reviewable predicate.
jmd-94b31e36615ce81607f1	compositional_opportunity	entitlement_or_permission	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 要求 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-1d7f3033a1bd3a2cf3f3	compositional_opportunity	practical_possibility	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 剪 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-c131987fb43bef23e8ef	compositional_opportunity	time_off_availability	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 放假 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-13309b00b0193de3ec7a	compositional_opportunity	calculability_or_compensation_availability	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 計 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-5c8bb69af902fff4d3f3	compositional_opportunity	calculability_or_compensation_availability	productive_preverbal_unit_plus_predicate	negative_surface_question	high	Full-context review: overt 冇得 precedes predicate 計 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-c93ea30d7e2dbf23b908	compositional_opportunity	calculability_or_compensation_availability	productive_preverbal_unit_plus_predicate	affirmative_surface_question	high	Full-context review: overt 有得 precedes predicate 計 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-5d765b9cb33dc411c3db	compositional_opportunity	development_prospect	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 發展 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-5f1cdc69d79b19147ef2	polar_opportunity_question	selection_opportunity	polarity_over_availability_unit	matrix_polar_question	high	Full-context review: overt 有 + 冇得 scopes over following material interview and asks whether the relevant opportunity or availability exists.
jmd-1ab3bba6002e4f4544ce	compositional_opportunity	selection_opportunity	productive_preverbal_unit_plus_predicate	affirmative_surface_question	high	Full-context review: overt 有得 precedes predicate in and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-f95fccb4087916e0d876	ambiguous_boundary	selection_opportunity	code_switched_nominal_or_predicate	affirmative_declarative	medium	有得 precedes English second interview material whose corpus category does not establish whether a verbal predicate, nominal complement, or zero verb is present.
jmd-5523326c043a266c8ddb	compositional_opportunity	development_prospect	productive_preverbal_unit_plus_predicate	affirmative_surface_question	high	Full-context review: overt 有得 precedes predicate 發展 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-43ee36eaca12bffbc7ab	ambiguous_boundary	development_prospect	postpredicate_disfluency	affirmative_declarative	medium	The intended 有得發展 reading is clear, but the following 得會 sequence is disfluent and prevents a confident full-span analysis.
jmd-124a5670569c52ef8d51	compositional_opportunity	permission_or_release	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 走 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-f46ba6c6b33356ebbff8	compositional_opportunity	reduction_possibility	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 減 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-6034c1a9770fae387160	compositional_opportunity	reduction_possibility	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 減 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-02ac16042696cf7e5b0c	ambiguous_boundary	lexically_uncertain_opportunity	predicate_lexeme_unresolved	affirmative_declarative	medium	The following predicate 掹 is explicitly queried by the interlocutor; the availability frame is plausible but the lexical interpretation is unresolved.
jmd-83a7242bcc1187597fc2	compositional_opportunity	food_access	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 食 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-c773cbe782777a53cb8e	compositional_opportunity	qualification_or_entitlement	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 攞 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-fcac1144f46a5cd37673	compositional_opportunity	qualification_or_entitlement	productive_preverbal_unit_plus_predicate	negative_surface_question	high	Full-context review: overt 冇得 precedes predicate 攞 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-4e89e2927579f71e3ccb	compositional_opportunity	qualification_or_entitlement	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 攞 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-ce0c6e1e3906479c6cd5	compositional_opportunity	qualification_or_entitlement	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 攞 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-2cdd3b4e0b7563421974	compositional_opportunity	qualification_or_entitlement	productive_preverbal_unit_plus_predicate	negative_surface_question	high	Full-context review: overt 冇得 precedes predicate 攞 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-22c3ad42032370521a4f	ambiguous_boundary	meal_access	noun_interposed_or_noncanonical_complement	affirmative_declarative	low	有得飯食 contains noun 飯 before 食 and does not match the directly supported 有得 + overt VP order without an additional analysis.
jmd-f17dfe94a04296e6304d	compositional_opportunity	education_access_or_qualification	productive_preverbal_unit_plus_predicate	affirmative_surface_question	high	Full-context review: overt 有得 precedes predicate 讀 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-3a071df46767b7e5de09	polar_opportunity_question	education_access_or_qualification	polarity_over_availability_unit	matrix_polar_question	high	Full-context review: overt 有 + 冇得 scopes over following material 讀 and asks whether the relevant opportunity or availability exists.
jmd-d716c29b53cbdeb49e5e	compositional_opportunity	payment_scheduling	productive_preverbal_unit_plus_predicate	affirmative_surface_question	high	Full-context review: overt 有得 precedes predicate 出糧 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-ddf2f730c1317ee62620	compositional_opportunity	limited_food_opportunity	preverbal_unit_plus_adverbial_predicate	negative_declarative	medium	Context supports inability to meaningfully try local food; 點 modifies the following 食 predicate rather than replacing it.
jmd-d128365280f3b1d5c20b	compositional_opportunity	food_access	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 食 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-b4dd753f1a06ba236d09	compositional_opportunity	permission_or_release	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 走 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-28d48e739daf79ab85f2	compositional_opportunity	event_possibility	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 爆冷 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-28a36dd4642059336c34	compositional_opportunity	education_access_or_qualification	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 讀 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-767274c418d1efcbd4a0	ambiguous_boundary	discount_availability	noun_or_property_predicate_unresolved	negative_declarative	medium	冇得特價 has a transparent no-discount interpretation, but HKCanCor tags 特價 as nominal and the exact predicate structure is unresolved.
jmd-b3c86a3df7459f6fb3bb	lexicalized_or_idiomatic	discourse_no_argument	semi_lexicalized_mou_dak_gong	negative_declarative	high	冇得講 functions as a discourse formula meaning there is no argument or nothing further to say, not ordinary denial of an externally available speaking event.
jmd-1f8659093041eb221aae	compositional_opportunity	work_or_role_opportunity	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 做 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-4603d2ccaab71614435a	lexicalized_or_idiomatic	discourse_no_argument	semi_lexicalized_mou_dak_gong	negative_question	high	In the 天意 context, 冇得講 is a conventional discourse evaluation rather than literal speech unavailability.
jmd-c2ea2da3e7aa22dfcd70	compositional_opportunity	use_opportunity	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 用 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
