runtime_label	lane	prior_claim_layer	runtime_state	runtime_code_reference_count	accepted_tree_occurrence_count	accepted_depth_profile	accepted_parent_profile	sample_surfaces	disposition_category	disposition_code	hidden_language_dependency	rationale	language_precondition	next_action	implementation_priority
ClauseLinkingSequence	LANE-02	representation	ACTIVE_ACCEPTED_TREE	17	47	"{""0"": 47}"	"{"""": 47}"	一見到佢，我笑。 | 一見到佢，我就笑。 | 人，人，人。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。 | 如果你去，我去。 | 如果你去，我就去。	KEEP_INTERNAL	KEEP_INTERNAL_DISCOURSE_WRAPPER_WITH_TYPED_RELATION_CHILD_AND_WRAPPER_COVERAGE	CONDITIONAL	The node is an active root/discourse accounting wrapper. It becomes defensible only when typed child relations, linkers, separators, and wrapper coverage remain visible.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Keep as an internal wrapper; do not assign conditional, causal, temporal, sequential, concessive, or topic-chain meaning from the wrapper name alone.	LOW
ClauseRelation	LANE-02	representation	ACTIVE_ACCEPTED_TREE	12	27	"{""1"": 27}"	"{""ClauseLinkingSequence"": 23, ""CognitionContentFrame"": 1, ""OpinionStanceFrame"": 2, ""ReportedSpeech"": 1}"	一見到佢，我笑。 | 一見到佢，我就笑。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。 | 如果你去，我去。 | 如果你去，我就去。 | 如果你覺得佢啱，我就同意。	KEEP_INTERNAL	KEEP_INTERNAL_TYPED_RELATION_NODE_REQUIRE_SOURCE_LINKED_SUBTYPE	YES	The node stores a typed relation and its two members. The subtype is language-sensitive even though the container is internal.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Keep the container, but require every relation subtype and linker interpretation to inherit an independently mapped language claim and negative boundary.	LOW
ClauseRelationMember	LANE-02	representation	ACTIVE_ACCEPTED_TREE	3	57	"{""1"": 3, ""2"": 54}"	"{""ClauseRelation"": 54, ""NeedsContext"": 3}"	一見到佢，我笑。 | 一見到佢，我就笑。 | 再做功課。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。 | 如果你去，我去。 | 如果你去，我就去。	KEEP_INTERNAL	KEEP_INTERNAL_RELATION_MEMBER_CONTAINER_NO_INDEPENDENT_LANGUAGE_STATUS	NO	This is a left/right member container inside ClauseRelation or an incomplete relation diagnostic. It adds no separate grammatical relation.	No independent language claim: internal container/disposition only.	Keep internal and non-learner-facing; inherit all semantic status from the parent relation or context diagnostic.	LOW
Comment	LANE-10	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	1	0	{}	{}		MERGE	MERGE_COMMENT_NODE_INTO_TOPICCOMMENT_PREDICATE_ROLE	NO	The standalone child node has no accepted-tree occurrence and merely rewraps comment material inside TopicComment.	No independent language claim: internal container/disposition only.	Remove as an active construction during remediation; preserve comment as a slot/role on the underlying predicate.	MEDIUM
CoordinatedSubjectModalPredicateClause	LANE-07	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	5	0	{}	{}		MERGE	MERGE_COORDINATED_NP_PLUS_MODAL_CLAUSE_RETIRE_COMBINED_WRAPPER	YES	The combined wrapper has no accepted-tree occurrence and duplicates coordination, modal VP, and clause composition.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Decompose into a sourced coordinated NP plus ordinary modal/clause structure; retire the combined label.	MEDIUM
CopularIdentificationFrame	LANE-10	representation	ACTIVE_ACCEPTED_TREE	7	2	"{""0"": 2}"	"{"""": 2}"	佢係老師。 | 呢個係問題。	MERGE	MERGE_TO_CANONICAL_COPULAR_CLAUSE_WITH_IDENTIFICATION_SUBTYPE	YES	The active label groups topic/NP, 係, and an NP complement. Identification versus classification is language-sensitive, not a free internal distinction.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Consolidate with a canonical copular-clause design; if the identification subtype survives, move its licensing claim to the language layer and source it explicitly.	MEDIUM
CopularRelationFrame	LANE-10	representation	ACTIVE_ACCEPTED_TREE	12	1	"{""1"": 1}"	"{""OpinionStanceFrame"": 1}"	我覺得係真嘅。	MERGE	MERGE_TO_CANONICAL_COPULAR_CLAUSE_COMPLEMENT_TYPE_AS_METADATA	YES	The active label differs from CopularIdentificationFrame mainly through slot affordances and complement typing.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Merge into canonical copular composition; preserve complement type and stance embedding as metadata rather than a parallel frame ontology.	MEDIUM
DefinitionComplement	LANE-10	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	2	0	{}	{}		KEEP_INTERNAL	KEEP_INTERNAL_BOUNDED_DEFINITION_COMPLEMENT_SPAN_ONLY	CONDITIONAL	The node is a transparent complement span created only inside the definition/explanatory frame.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Keep only as an internal child span; it may not independently license a definition reading or convert arbitrary text into an NP.	LOW
DefinitionExplanatoryFrame	LANE-10	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	7	0	{}	{}		NARROW_HEURISTIC	NARROW_EXACT_HAI6_COMPLEMENT_LAI4_GAA3_DEFINITION_PROFILE_OR_RECLASSIFY_LANGUAGE	YES	The rule recognizes an exact Cantonese 係…嚟㗎-style profile and suppresses motion analysis for 嚟. That matching condition is a language claim despite the representation-layer registry entry.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Keep quarantined. In consolidation, either merge it into sourced copular/identity/question components or reclassify the retained exact construction to the language layer before implementation.	HIGH
DiscourseParticleFrame	LANE-03	representation	ACTIVE_ACCEPTED_TREE	15	19	"{""0"": 19}"	"{"""": 19}"	你去啩？ | 你走啦。 | 你食飯啩。 | 你食飯喎。 | 佢走喇。 | 佢返咗屋企啩。 | 佢返咗屋企㗎喇。 | 佢會返嚟啩。	RENAME_INTERNAL	RENAME_INTERNAL_PARTICLE_SCOPE_WRAPPER_SUBTYPE_SEMANTICS_INHERIT_SOURCE_MAP	YES	The node transparently scopes visible sentence-final particles over a host, but particle force, order, and host compatibility are language-sensitive.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Retain only as an internal particle-scope wrapper; rename away from a standalone construction claim and require each particle/cluster subtype to inherit mapped evidence.	MEDIUM
