rank	surface	disposition	evidence	reason
38	一個	retire_invalid_atomic	#792 comment 5276016704	transparent numeral + classifier phrase; common surface remains structurally licensed
70	係咪	retire_invalid_atomic	#792 comment 5276016704	interrogative copular construction 係 + 咪; whole-surface pronunciation evidence does not establish atomic lexicality
121	落去	retire_invalid_atomic	#792 comment 5276016704	productive directional composition 落 + 去
139	兩個	retire_invalid_atomic	#792 authoritative blocked_atomic record	transparent numeral + classifier phrase
144	上去	retire_invalid_atomic	#792 comment 5276016704	productive directional composition 上 + 去
151	哩個	retire_invalid_atomic	#792 authoritative blocked_atomic record	transparent demonstrative + classifier sequence
156	有個	retire_invalid_atomic	#792 authoritative blocked_atomic record	productive predicate + classifier phrase; no whole-string lexical analysis justified
157	唔到	retire_invalid_atomic	#792 authoritative blocked_atomic record	productive negation + 到 construction; no whole-string lexical analysis justified
200	第一	retire_invalid_atomic	#792 comment 5276016704	productive ordinal 第 + 一
219	兜過	retire_invalid_atomic	#792 authoritative blocked_atomic record	productive verb + 過 sequence; no independent whole-string lexical analysis
223	冇乜	retire_invalid_atomic	#792 comment 5276016704	productive negative/existential + quantificational sequence
233	出嚟	retire_invalid_atomic	#792 comment 5276016704	productive directional composition 出 + 嚟
234	返去	retire_invalid_atomic	#792 comment 5276016704	productive return-directional composition 返 + 去
285	係噉	retire_invalid_atomic	#793 comment 5275326520	copular + manner/demonstrative discourse phrase; no single atomic POS
297	條線	retire_invalid_atomic	#793 comment 5275326520	transparent classifier + noun phrase
336	大樹	retire_invalid_atomic	#793 comment 5275326520	transparent property + noun phrase; no evidence requiring atomic lexicalization
350	扮汗	retire_invalid_atomic	#793 comment 5275326520	malformed/unsupported Cifu surface; do not fabricate a lexical whole
360	幾好	retire_invalid_atomic	#793 comment 5275326520	compositional degree phrase
364	貧大宅	retire_invalid_atomic	#793 comment 5275326520	malformed/unsupported segmentation artifact
404	出來	retire_invalid_atomic	#793 comment 5275326520	productive directional composition 出 + 來
406	你講	retire_invalid_atomic	#793 comment 5275326520	transparent pronoun + verb sequence
415	畫到	retire_invalid_atomic	#793 comment 5275326520	productive verb + 到 result/potential sequence
417	講呢	retire_invalid_atomic	#793 comment 5275326520	transparent verb + discourse/particle sequence
439	出去	retire_invalid_atomic	#793 comment 5275326520	productive directional composition 出 + 去
450	行到	retire_invalid_atomic	#793 comment 5275326520	productive motion verb + 到 sequence
451	杏堂	retire_invalid_atomic	#793 comment 5275326520	malformed/unsupported Cifu surface; no atomic lexical evidence
457	我講	retire_invalid_atomic	#793 comment 5275326520	transparent pronoun + verb sequence
458	尚健	retire_invalid_atomic	#793 comment 5275326520	malformed/unsupported Cifu surface; no atomic lexical evidence
463	入去	retire_invalid_atomic	#793 comment 5275326520	productive directional composition 入 + 去
472	條路線	retire_invalid_atomic	#793 comment 5275326520	transparent classifier + noun phrase
479	右行	retire_invalid_atomic	#793 comment 5275326520	productive direction + motion sequence; no independent atomic lexical evidence
490	一條	retire_invalid_atomic	#793 comment 5275326520	transparent numeral + classifier phrase
497	提碑	retire_invalid_atomic	#793 comment 5275326520	malformed/unsupported Cifu surface; do not fabricate a lexical whole
506	一次	retire_invalid_atomic	#794 comment 5269186956	compositional numeral + frequency/classifier phrase
522	成病	retire_invalid_atomic	#794 comment 5269186956	likely segmentation/compositional artifact; no supported atomic lexical identity
524	我話	retire_invalid_atomic	#794 comment 5269186956	transparent pronoun + verb phrase
543	憂店	retire_invalid_atomic	#794 comment 5269186956	unsupported Cifu surface with no independently supported lexical analysis
552	第二個	retire_invalid_atomic	#794 comment 5269186956	compositional ordinal + classifier/headless expression
557	點啊	retire_invalid_atomic	#794 comment 5269186956	compositional wh + particle expression
559	我會	retire_invalid_atomic	#794 comment 5269186956	transparent pronoun + modal phrase
592	右上	retire_invalid_atomic	#794 comment 5269186956	compositional directional phrase
600	落到	retire_invalid_atomic	#794 comment 5269186956	productive motion + 到 result/directional sequence
601	繞過	retire_invalid_atomic	#794 comment 5269186956	productive verb + path/result 過 sequence; no atomic POS justified
603	一種	retire_invalid_atomic	#794 comment 5269186956	transparent numeral + classifier phrase
613	講到	retire_invalid_atomic	#794 comment 5269186956	productive verb + 到 sequence
620	唔夠	retire_invalid_atomic	#794 comment 5269186956	productive negation + predicate sequence; no whole-string atomic analysis required
657	我見	retire_invalid_atomic	#794 comment 5269186956	transparent pronoun + verb phrase
662	貧大	retire_invalid_atomic	#794 comment 5269186956	unsupported/malformed Cifu surface with no independent lexical analysis
698	三個	retire_invalid_atomic	#794 comment 5269186956	transparent numeral + classifier phrase
702	行過	retire_invalid_atomic	#794 comment 5269186956	productive verb + 過 aspect/path sequence
710	點呀	retire_invalid_atomic	#794 comment 5269186956	compositional wh + particle expression
720	畫個	retire_invalid_atomic	#794 comment 5269186956	transparent verb + classifier phrase
740	個韻	retire_invalid_atomic	#794 comment 5269186956	unsupported classifier + noun fragment; no atomic lexical evidence
744	試過	retire_invalid_atomic	#794 comment 5269186956	productive verb + experiential 過 sequence
752	我個	retire_invalid_atomic	#795 accepted expert specification	compositional pronoun + classifier/genitive fragment
753	我想	retire_invalid_atomic	#795 accepted expert specification	transparent pronoun + cognition/modal verb clause fragment
761	幾個	retire_invalid_atomic	#795 accepted expert specification	compositional quantifier + classifier phrase
766	一份	retire_invalid_atomic	#795 accepted expert specification	transparent numeral + classifier/measure phrase
783	一年	retire_invalid_atomic	#795 accepted expert specification	transparent numeral + temporal measure phrase
790	我知	retire_invalid_atomic	#795 accepted expert specification	transparent pronoun + verb clause fragment
800	講下	retire_invalid_atomic	#795 accepted expert specification	productive verb + delimitative 下 sequence
801	○	retire_invalid_atomic	#795 accepted expert specification	nonlexical transcript/symbol token; not a Cantonese lexical item
818	講得	retire_invalid_atomic	#795 accepted expert specification	productive verb + 得 complement/potential sequence
