packet_id	candidate_id	mechanical_stratum	matched_form	expert_profile	aa77_relevance	decision_confidence	decision_reason	source_comparison_notes
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-5739dbc3da75449bdfee	place_left	有	place_initial_existential_positive	genuine	high	Overt spatial-domain expression 裏面 precedes 有 and an overt introduced nominal 啲乜嘢酒店; no hidden place or subject is needed.	Matches the overt place + 有 + introduced nominal core described by AA77 and Yip and Matthews; wh material remains inside the nominal.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-231e7033943cab8d5d89	place_left	冇	place_initial_negative_existential	genuine	high	Overt 裏邊 precedes negative existential 冇 and overt 乜嘢, with 食 modifying or continuing the introduced nominal domain.	Matches the negative place-first profile supported by Lam 2018; it must not be rewritten as positive 有 plus negation.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-e034846279ed4e6ed80b	place_left	有	place_initial_existential_positive	genuine	medium	公司 is interpreted in context as an institutional/spatial domain followed by 有 and overt Internet; an institutional possessor reading is a live alternative but does not require a hidden subject.	Supports AA77 only at the broader spatial-domain edge; the construction must preserve the location-versus-possessor ambiguity rather than universalize the analysis.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-55e6fac9a83cbc5c937d	place_left	冇	place_initial_negative_existential	genuine	high	Overt place 澳洲 precedes 冇 and overt 嘢; 睇 supplies a visible predicate or modifier for the unavailable things.	Direct negative AA77 profile; availability interpretation does not remove the overt place-first existential structure.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-b0ebb45afddf67750434	nominal_left_nominal_right	有	temporal_lexicalized_yau	false_positive	high	有一日 is a temporal expression meaning a future or possible day in this context, not possession or place-first existence.	Shared spelling is insufficient; this is outside the possession/existential contrast in Lam et al. 2024.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-29284514c40e616c2a12	nominal_left_nominal_right	冇	explicit_subject_negative_possession_or_ellipsis	ambiguous	low	The overt subject 佢 excludes direct AA77, but the quoted and truncated continuation does not securely distinguish possession, property, or ellipsis.	AA77 requires overt place + 冇 + introduced nominal; this item is retained as an unresolved non-AA77 boundary.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-3deb593663a589a7106d	nominal_left_nominal_right	有	explicit_subject_possession_or_inventory	sibling_profile	high	Overt subject 佢 possesses or has an inventory of 四款; there is no overt place expression.	Directly parallels the explicit-subject possessive use separated from existential 有 by Lam et al. 2024.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-b2ac5fbed67138b813e2	nominal_left_nominal_right	有	explicit_subject_temporal_availability	sibling_profile	medium	Overt subject 你 has or is allocated 一個禮拜六日 in a schedule; 中間 frames the discourse but is not the overt AA77 place argument.	A possession or availability reading with explicit subject is distinct from place-first existential introduction.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-3c4c43eab2436c21e85a	a_not_a_or_opportunity	有	opportunity_polar_yau_mou_dak	sibling_profile	high	有 is followed by the single HKCanCor token 冇得 and a predicate, forming an opportunity or availability polar question.	Lam et al. 2024 treats 有-得 and 冇-得 as units; the exact-token inventory captures only the 有 side of 有冇得.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-221eed29793946a8a1c4	a_not_a_or_opportunity	有	opportunity_polar_yau_mou_dak	sibling_profile	high	The question asks whether the subject/course can be studied at the institution through 有冇得讀, not whether an NP exists there.	The overt locative material belongs to the opportunity question and does not license AA77 by token proximity.
