runtime_label	lane	claim_layer	current_status	runtime_code_reference_count	accepted_tree_occurrence_count	sample_surfaces	canonical_family_id	canonical_family	family_type	consolidation_class	target_action	target_node_or_family	survives_as_public_construction	readiness_bucket	source_linked_disposition	target_boundary
ANotAQuestion	LANE-07	language	research_pending	18	10	有冇人做晒啊？ | 你有冇問問題啊？ | 你食唔食？ | 你食唔食飯？ | 你食唔食飯啦？ | 你食唔食飯啩？	L23	ANotAQuestions	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ANotAQuestions	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_SPLIT_REQUIRED	Split exact lexical A唔A, reduced-disyllabic forms, and suppletive 有冇+VP event questions before implementation; retain overt arms and do not encode discourse neutrality as a hard parse condition.
AcceptabilityANotA	LANE-07	language	unsupported_generalization	10	0		L23	ANotAQuestions	language_family	quarantined_exact_gap	QUARANTINE_EXACT_GAP	ANotAQuestions	CONDITIONAL_AFTER_REMEDIATION	E_NOT_IMPLEMENTATION_READY	GENERAL_ANOTA_FORM_LINKED_EXACT_CONSTRUCTION_GAP	Keep quarantined as a distinct node pending exact primary construction evidence; consider merging overt 得唔得 into lexical predicate A-not-A rather than assuming a special template.
AcceptabilityClause	LANE-07	language	unsupported_generalization	17	0		L27	AcceptabilityAndFreeChoice	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	AcceptabilityAndFreeChoice	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_DOU1_DAK1_ACCEPTABILITY_WITH_HOST_FREE_CHOICE_AND_FOCUS_SCOPE_SPLIT_REQUIRED	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
ActionStativeVP	LANE-10	language	research_pending	11	3	我寫三個字。 | 要等幾耐啊？ | 寫三個字。	L42	StativePredication	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	typed predicate + quantity/duration complement	NO	A_SAFE_STRUCTURAL_CLEANUP	MIXED_QUANTITY_SCALAR_COMPLEMENT_MISANALYSIS_MERGE_OR_RETIRE_REQUIRED	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
AdjectivalPredicateClause	LANE-10	language	unsupported_generalization	6	0		L42	StativePredication	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	StativePredicate subtype	NO	A_SAFE_STRUCTURAL_CLEANUP	LANGUAGE_FORM_SUPPORTED_DORMANT_LABEL_MERGE_OR_RETIRE	Merge with a theory-neutral SubjectPredicateClause property/stative subtype or retire the dormant duplicate; do not activate a broad bare-adjective template.
PassivePermissiveRelation	LANE-01	language	provisional	11	0		L01	CoverbAndParticipantRelations	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CoverbAndParticipantRelations	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_RECONSTRUCTED_PROVISIONAL	Use the cumulative R4 source matrix; retain SOURCE_RECONSTRUCTED_PROVISIONAL until behavior review.
ApproximateQuantity	LANE-10	language	unsupported_generalization	17	3	七杯度。 | 我飲七杯度喇。 | 飲七杯度喇。	L16	ClassifierAndQuantityNP	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	APPROXIMATION_MARKER_AND_POSITION_SPLIT_WITH_POSTCLASSIFIER_DOU6_SOURCE_GAP	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
AssociativeNP	LANE-06	language	unsupported_generalization	10	0		L18	AssociativeAndCoordinatedNP	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	AssociativeAndCoordinatedNP	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_SPLIT_REQUIRED	Split possessor/associative, relative, aboutness, and nominal-complement relations; do not infer one relation from 嘅.
BareClassifierNP	LANE-06	language	unsupported_generalization	6	0		L16	ClassifierAndQuantityNP	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	LANGUAGE_FORM_SUPPORTED_DORMANT_LABEL_REDEFINE_OR_RETIRE	Keep dormant; retire or redefine as a role-neutral alias for C-N, not classifier-alone ellipsis.
CausativeResultFrame	LANE-05	language	unsupported_generalization	10	0		L15	ResultativeAndChangePredication	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	CausativeResultPredicate	NO	A_SAFE_STRUCTURAL_CLEANUP	SOURCE_LINKED_CRC_FAMILY_WITH_EXACT_JING2_LAM3_ZO2_FRAME_LEXICAL_NARROWING_REQUIRED	Retain broad CRC linkage but narrow the exact 整冧咗 frame by lexeme, argument structure, speaker/register evidence, and negative boundaries.
