id	ordinal	item_type	source_display	duplicate_status	terminal_classification	evidence_use	discrepancy_status	accepted_duplicate_targets	review_note
GLOSSIKA-YUEHK-A1-W15-20260628-I001	1	sentence	唔使客氣。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I002	2	sentence	冇嘢。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I003	3	sentence	唔使唔該。	no_accepted_duplicate	naturalness_review_candidate	formula_and_register_unresolved_requires_independent_review			The formula and source register label remain unresolved after direct research; retain for independent corpus or speaker review without treating it as rejected.
GLOSSIKA-YUEHK-A1-W15-20260628-I004	4	sentence	小事啫，唔使客氣。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I005	5	sentence	恭喜恭喜！	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I006	6	sentence	生日快樂！	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I007	7	sentence	新年快樂，身體健康。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I008	8	sentence	祝你一切順利。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I009	9	lexical_entry	隔籬	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I010	10	lexical_entry	對面	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I011	11	lexical_entry	附近	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A later canonical lexicon scan identifies an exact existing owner; this package preserves provenance only and creates no new runtime entry.
GLOSSIKA-YUEHK-A1-W15-20260628-I012	12	lexical_entry	遠	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A later canonical lexicon scan identifies an exact existing owner; this package preserves provenance only and creates no new runtime entry.
GLOSSIKA-YUEHK-A1-W15-20260628-I013	13	lexical_entry	近	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A later canonical lexicon scan identifies an exact existing owner; this package preserves provenance only and creates no new runtime entry.
GLOSSIKA-YUEHK-A1-W15-20260628-I014	14	lexical_entry	上面	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A later canonical lexicon scan identifies an exact existing owner; this package preserves provenance only and creates no new runtime entry.
GLOSSIKA-YUEHK-A1-W15-20260628-I015	15	lexical_entry	下面	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I016	16	lexical_entry	入面	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A later canonical lexicon scan identifies an exact existing owner; this package preserves provenance only and creates no new runtime entry.
GLOSSIKA-YUEHK-A1-W15-20260628-I017	17	lexical_entry	外面	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I018	18	lexical_entry	地鐵站	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A later canonical lexicon scan identifies an exact existing owner; this package preserves provenance only and creates no new runtime entry.
GLOSSIKA-YUEHK-A1-W15-20260628-I019	19	lexical_entry	巴士站	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I020	20	lexical_entry	醫院	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A later canonical lexicon scan identifies an exact existing owner; this package preserves provenance only and creates no new runtime entry.
GLOSSIKA-YUEHK-A1-W15-20260628-I021	21	lexical_entry	公園	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A later canonical lexicon scan identifies an exact existing owner; this package preserves provenance only and creates no new runtime entry.
GLOSSIKA-YUEHK-A1-W15-20260628-I022	22	lexical_entry	教堂	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I023	23	lexical_entry	郵局	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I024	24	lexical_entry	街	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A later canonical lexicon scan identifies an exact existing owner; this package preserves provenance only and creates no new runtime entry.
GLOSSIKA-YUEHK-A1-W15-20260628-I025	25	lexical_entry	十字路口	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I026	26	lexical_entry	行人路	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I027	27	lexical_entry	噴泉	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I028	28	lexical_entry	雕像	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I029	29	lexical_entry	窄巷	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I030	30	lexical_entry	迴旋處	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I031	31	lexical_entry	天橋	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I032	32	lexical_entry	隧道	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I033	33	lexical_entry	橋	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I034	34	lexical_entry	廣場	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I035	35	lexical_entry	噴水池	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I036	36	lexical_entry	行人天橋	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I037	37	lexical_entry	戲票	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and possible later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W15-20260628-I038	38	lexical_entry	十萬	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress			Retained as a compositional numeral attestation; no opaque whole-form lexical entry or grammar inference is authorized.
GLOSSIKA-YUEHK-A1-W15-20260628-I039	39	lexical_entry	二十萬	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress			Retained as a compositional numeral attestation; no opaque whole-form lexical entry or grammar inference is authorized.
GLOSSIKA-YUEHK-A1-W15-20260628-I040	40	lexical_entry	三十萬	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress			Retained as a compositional numeral attestation; no opaque whole-form lexical entry or grammar inference is authorized.
GLOSSIKA-YUEHK-A1-W15-20260628-I041	41	lexical_entry	四十萬	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress			Retained as a compositional numeral attestation; no opaque whole-form lexical entry or grammar inference is authorized.
GLOSSIKA-YUEHK-A1-W15-20260628-I042	42	lexical_entry	五十萬	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress			Retained as a compositional numeral attestation; no opaque whole-form lexical entry or grammar inference is authorized.
GLOSSIKA-YUEHK-A1-W15-20260628-I043	43	lexical_entry	六十萬	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress			Retained as a compositional numeral attestation; no opaque whole-form lexical entry or grammar inference is authorized.
GLOSSIKA-YUEHK-A1-W15-20260628-I044	44	lexical_entry	七十萬	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress			Retained as a compositional numeral attestation; no opaque whole-form lexical entry or grammar inference is authorized.
GLOSSIKA-YUEHK-A1-W15-20260628-I045	45	lexical_entry	八十萬	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress			Retained as a compositional numeral attestation; no opaque whole-form lexical entry or grammar inference is authorized.
GLOSSIKA-YUEHK-A1-W15-20260628-I046	46	lexical_entry	九十萬	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress			Retained as a compositional numeral attestation; no opaque whole-form lexical entry or grammar inference is authorized.
GLOSSIKA-YUEHK-A1-W15-20260628-I047	47	lexical_entry	一百萬	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/compositional-lexical-phrases.js	A later canonical lexicon scan identifies an exact existing owner; this package preserves provenance only and creates no new runtime entry.
GLOSSIKA-YUEHK-A1-W15-20260628-I048	48	sentence	請問去地鐵站點行？	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I049	49	sentence	直行，然後轉左。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I050	50	sentence	超市喺邊度？	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I051	51	sentence	就喺前面，行兩分鐘就到。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I052	52	dialog_turn	唔該，請問附近有冇郵局？	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I053	53	dialog_turn	有，喺超市隔籬。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I054	54	dialog_turn	點行呀？	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I055	55	dialog_turn	直行，過咗紅綠燈就喺右手邊。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I056	56	sentence	你食飯咩？	no_accepted_duplicate	translation_discrepancy	source_translation_pragmatics_unresolved_not_adopted	requires_contextual_particle_and_translation_review		The Cantonese source is preserved, but the neutral English gloss does not encode final me1 discourse force; no replacement translation is asserted.
GLOSSIKA-YUEHK-A1-W15-20260628-I057	57	sentence	佢係唔係老師？	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I058	58	sentence	你叫咩名？	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I059	59	sentence	邊個嚟？	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I060	60	phonics_pair	些 / 四	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I061	61	phonics_pair	借 / 字	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I062	62	phonics_pair	靚 / 令	no_accepted_duplicate	pronunciation_discrepancy	source_pronunciation_discrepancy_unresolved_not_adopted	requires_independent_phonological_and_lexical_verification		The source pair remains visible but requires independent phonological and lexical verification before any pronunciation-resource use.
GLOSSIKA-YUEHK-A1-W15-20260628-I063	63	phonics_pair	踢 / 滴	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, preferred pronunciation, or parser behavior.
GLOSSIKA-YUEHK-A1-W15-20260628-I064	64	phonics_pair	錫 / 識	no_accepted_duplicate	translation_discrepancy	source_lexical_gloss_discrepancy_unresolved_not_adopted	requires_lexical_sense_disambiguation		The source pair remains visible, but the polysemous 錫 gloss is not adopted as one learner-facing lexical value.
GLOSSIKA-YUEHK-A1-W15-20260628-I065	65	phonics_pair	— / 平	no_accepted_duplicate	unusable	source_incomplete_preserved_not_usable_as_pair	source_incomplete		The incomplete final row is preserved exactly but cannot function as a reviewed pronunciation pair until the missing A-side source is recovered.
