runtime_label	lane	primary_claim_type	current_status	canonical_family_id	canonical_family	family_type	target_action	survives_as_public_construction	required_endpoint	target_boundary
ANotAQuestion	LANE-07	cantonese_language_claim	research_pending	L23	ANotAQuestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split exact lexical A唔A, reduced-disyllabic forms, and suppletive 有冇+VP event questions before implementation; retain overt arms and do not encode discourse neutrality as a hard parse condition.
AcceptabilityANotA	LANE-07	cantonese_language_claim	unsupported_generalization	L23	ANotAQuestions	language_family	QUARANTINE_EXACT_GAP	CONDITIONAL_AFTER_REMEDIATION	RETIRE_MERGE_OR_RECLASSIFY	Keep quarantined as a distinct node pending exact primary construction evidence; consider merging overt 得唔得 into lexical predicate A-not-A rather than assuming a special template.
AcceptabilityClause	LANE-07	cantonese_language_claim	unsupported_generalization	L27	AcceptabilityAndFreeChoice	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
ActionStativeVP	LANE-10	cantonese_language_claim	research_pending	L42	StativePredication	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
AdjectivalPredicateClause	LANE-10	cantonese_language_claim	unsupported_generalization	L42	StativePredication	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge with a theory-neutral SubjectPredicateClause property/stative subtype or retire the dormant duplicate; do not activate a broad bare-adjective template.
ApproximateQuantity	LANE-10	cantonese_language_claim	unsupported_generalization	L16	ClassifierAndQuantityNP	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
AssociativeNP	LANE-06	cantonese_language_claim	unsupported_generalization	L18	AssociativeAndCoordinatedNP	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split possessor/associative, relative, aboutness, and nominal-complement relations; do not infer one relation from 嘅.
BareClassifierNP	LANE-06	cantonese_language_claim	unsupported_generalization	L16	ClassifierAndQuantityNP	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Keep dormant; retire or redefine as a role-neutral alias for C-N, not classifier-alone ellipsis.
CausativeResultFrame	LANE-05	cantonese_language_claim	unsupported_generalization	L15	ResultativeAndChangePredication	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Retain broad CRC linkage but narrow the exact 整冧咗 frame by lexeme, argument structure, speaker/register evidence, and negative boundaries.
CausativeResultPredicate	LANE-05	cantonese_language_claim	unsupported_generalization	L15	ResultativeAndChangePredication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Treat cause/effect as a construction-level relation; review child-node necessity and do not derive roles mechanically from individual verbs.
ChangeIntoPredicate	LANE-05	cantonese_language_claim	unsupported_generalization	L15	ResultativeAndChangePredication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Retain lexical 變成 while splitting overt complement types and keeping productivity/selection lexically bounded.
ClassifierObjectNP	LANE-06	cantonese_language_claim	unsupported_generalization	L16	ClassifierAndQuantityNP	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Realign to a role-neutral classifier+noun representation; assign object/topic/subject roles at the containing frame.
ClauseRelationEdge	LANE-02	parser_representation_decision	parser_heuristic	I02	ClauseRelationGraph	internal_architecture	RETAIN_INTERNAL	NO	INTERNAL_ONLY_NON_LICENSING	Internal relation edge; never licenses language.
ClauseRelationGraph	LANE-02	parser_representation_decision	parser_heuristic	I02	ClauseRelationGraph	internal_architecture	RETAIN_INTERNAL	NO	INTERNAL_ONLY_NON_LICENSING	Internal graph root; never licenses language.
ClauseRelationMemberSpan	LANE-02	parser_representation_decision	parser_heuristic	I02	ClauseRelationGraph	internal_architecture	RETAIN_INTERNAL	NO	INTERNAL_ONLY_NON_LICENSING	Internal member span; never licenses language.
ClauseSpan	INTERNAL_ARCHITECTURE	parser_representation_decision	parser_heuristic	I01	ClauseSpan	internal_architecture	RETAIN_INTERNAL	NO	INTERNAL_ONLY_NON_LICENSING	Transparent internal clause span; never licenses language.
CognitionContentFrame	LANE-08	cantonese_language_claim	research_pending	L31	CognitionAndStance	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Retain only overt, lexeme-licensed complement profiles; do not use parser slot compatibility as a grammar cross-product; separate lexical ignorance from stance uses.
CognitionDelimitedObjectVP	LANE-08	cantonese_language_claim	unsupported_generalization	L31	CognitionAndStance	language_family	QUARANTINE_EXACT_GAP	CONDITIONAL_AFTER_REMEDIATION	RETIRE_MERGE_OR_RECLASSIFY	Split nominal, propositional, polar-clausal, and omitted content; keep 音樂嘅嘢 exact template quarantined pending direct evidence.
CognitionDelimitedVP	LANE-08	cantonese_language_claim	unsupported_generalization	L31	CognitionAndStance	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Merge cognition+吓 into ordinary delimitative composition with lexeme restrictions; retain exact source and complement structure.
CognitionStatementClause	LANE-08	cantonese_language_claim	unsupported_generalization	L31	CognitionAndStance	language_family	QUARANTINE_EXACT_GAP	CONDITIONAL_AFTER_REMEDIATION	RETIRE_MERGE_OR_RECLASSIFY	Keep exact positive 我知 profile quarantined pending direct authority; treat all omitted content as context-dependent and do not fabricate a proposition.
Comment	LANE-10	parser_representation_decision	parser_heuristic	I05	DiscourseRoleStructure	internal_architecture	MERGE_INTERNAL_WRAPPER	NO	INTERNAL_ONLY_NON_LICENSING	Remove as an active construction during remediation; preserve comment as a slot/role on the underlying predicate.
