claim_id	target_profile	analysis	current_support	gap	later_test	disposition
HNP-JL-01	Nonhuman instrument NP + 用嚟 + action VP	The initial NP is an instrument or resource	Wong 2023 gives an exact instrumental analysis	Lexical scope and function-versus-event meaning remain open	Match instrument nouns across bare, modal, copular, and actual-use contexts	SOURCE_SUPPORTED_BOUNDED_CORE
HNP-JL-02	Human NP + 用嚟 + action VP	The human NP is directly the resource/theme	No direct checked source for a general productive profile	Pilot interpretations were divided and often supplied another role or missing object	Use contexts that explicitly establish a service or assigned role and compare with nonhuman resources	UNSUPPORTED_GENERALIZATION_PENDING_EVIDENCE
HNP-JL-03	Human NP + 用嚟 + action VP	The human NP is the user and the object of 用 is omitted	General Cantonese argument omission makes this structurally possible	No exact source shows that isolated 用嚟 licenses it without a recoverable resource	Compare unique prior resource, ambiguous prior resource, and no antecedent	PLAUSIBLE_COMPETING_PARSE
HNP-JL-04	Human NP + 用嚟 + action VP	The human NP is a topic and the comment contains an omitted role	Cantonese topic-comment structures are independently supported	Topic status does not identify which internal role is absent	Use matched topic and subject contexts with overt and omitted resources	GENERAL_MECHANISM_ONLY
HNP-JL-05	Resource NP + human user + 用嚟 + VP	A fronted resource and overt user are separately expressed	Chor 2018 attests 啲錢我用嚟買晒嗰堆嘢	The example is a broader actual-use frame	Compare resource-only, resource-plus-user, user-only, and 用 NP 嚟 VP forms	SOURCE_ATTESTED_BROADER_FRAME
HNP-JL-06	Human NP + 係用嚟 + role VP	A copular definition or role-assignment structure licenses the human NP	No direct checked source in the present packet	May belong to a broader copular construction rather than AB53	Compare 係用嚟, 負責, 安排嚟, and bare 用嚟 with the same context	SEPARATE_ANALYSIS_REQUIRED
HNP-JL-07	Human NP + 用嚟 + VP	Contextual coercion or metonymy makes a special reading possible	Semantically possible in selected contexts	No evidence yet for productivity or preferred syntax	Use explicit context and compare with overt 用 NP 嚟 VP and 搵 NP 嚟 VP	SEMANTIC_HYPOTHESIS_ONLY
HNP-JL-08	Human NP + 用嚟 + VP	The construction itself contributes responsibility or assignment meaning	Interim interpretations suggest some speakers reached this meaning	Checked sources do not assign that meaning to 用嚟	Compare neutral and assignment contexts with overt responsibility paraphrases	PILOT_TRIGGER_ONLY
HNP-JL-09	Human-NP judgments vary by predicate	Verb class controls which analysis is available	Pilot items differed and existing source notes warn against unrestricted lexical scope	Current items confound predicate, context, and semantic plausibility	Cross the same referents with action, information, guarding, and presentation predicates	LEXICAL_CLASS_EFFECT_REQUIRED
HNP-JL-10	Automatic parser treatment	Insert a hidden resource or classify the human NP as resource automatically	No source supports automatic reconstruction	Multiple analyses remain unresolved	Require overt evidence or preserve ambiguity/context dependence	PROHIBITED_CURRENTLY
