packet_id	candidate_id	selection_strata	source_file	turn_index_zero_based	token_index_zero_based	matched_form	nominal_start_form	later_predicate_form	text	previous_text	next_text	expert_class	profile_disposition	span_recommendation	decision_confidence	decision_reason	source_limit_or_note
AA56-R1-001	aa56-1de382c4dabbe5633f55	all_initial_indefinite_np_plus_predicate	FC-001_v2.cha	18	0	冇	嘢	做	冇嘢做.	淨係去Orlando嗰度玩咋喎.	噉咪食同玩咪啱.	negative_existential_or_availability_complement	separate_negative_existential_or_availability_profile	冇 + nominal + activity/availability complement	high	The clause denies available things, food, work, or analogous nominal material and may license a following activity complement, rather than introducing a participant for predication.	Related existential semantics do not prove identity with positive presentational AA56.
AA56-R1-002	aa56-30a1af583d05270d767f	wh_or_embedded_complement_control	FC-001_v2.cha	20	6	冇	乜嘢	食	係裏邊食囖,裏邊冇乜嘢食𡃉咋喎.	噉咪食同玩咪啱.	係唔係啊?	aa77_overt_place_existential	exclude_from_aa56_and_route_to_aa77	overt place/domain + 有／冇 + nominal	high	The clause contains an overt local place or domain before 有／冇 and asserts existence or absence within that domain.	AA77 owns the overt-place relation; no silent deletion of the place is permitted.
AA56-R1-003	aa56-e35487fa8deb271582ba	overt_place_domain_control	FC-001_v2.cha	42	9	有	啲	有	借俾你睇喎,睇下裏面有啲乜嘢酒店啊,同埋有啲乜嘢嘢玩嚹.	佢直程可以俾餅帶你呢.	直程可以租,借餅帶俾你返屋企睇喎.	aa77_overt_place_existential	exclude_from_aa56_and_route_to_aa77	overt place/domain + 有／冇 + nominal	high	The clause contains an overt local place or domain before 有／冇 and asserts existence or absence within that domain.	AA77 owns the overt-place relation; no silent deletion of the place is permitted.
AA56-R1-004	aa56-ed1edf4d9d8e2bf7e60c	all_human_plus_predicate	FC-001_v2.cha	66	2	有	人	放	嗰邊都有人未放完暑假𡃉咩?	係啊.	唔清楚.	layered_place_plus_positive_predication	compose_aa77_place_with_positive_aa56_predication	overt place/domain + [有 + indefinite NP + NP-linked predicate]	high	An overt place or domain scopes over a locally complete participant-introducing positive clause.	The place belongs to AA77-level locative structure and must not be hidden inside the AA56 participant-introduction span.
AA56-R1-005	aa56-629144e154f5a9acecd7	explicit_subject_or_possessor_control	FC-001_v2.cha	78	9	有	乜嘢	平	要等我老公,睇下佢嗰度有乜嘢平嘅,即係平嘅package,咪睇下去邊囖.	未定啊.	你想去邊喇噉樣?	aa77_overt_place_existential	exclude_from_aa56_and_route_to_aa77	overt place/domain + 有／冇 + nominal	high	The clause contains an overt local place or domain before 有／冇 and asserts existence or absence within that domain.	AA77 owns the overt-place relation; no silent deletion of the place is permitted.
AA56-R1-006	aa56-1b79d36fa760fe0b60f5	all_human_plus_predicate;inherited_aa77_sibling_anchor	FC-001_v2.cha	94	2	有	人	叫	誒,有人叫New_Zealand即係紐,又照譯紐西蘭.	不過新西-紐西蘭係唔係都-紐西蘭定新西蘭唧究竟?	有啲叫做新西蘭.	positive_np_predication_core	retain_as_narrow_positive_aa56_evidence	有 + overt indefinite NP + predicate whose argument is that NP	high	The overt 有 introduces an indefinite nominal and the following verbal, adjectival, copular, modal, or locative predicate is predicated of that nominal.	Supports the positive source-linked family only; it does not prove a negative 冇 counterpart or one mandatory predicate subtype.
AA56-R1-007	aa56-595760b22663363edc62	all_initial_indefinite_np_plus_predicate	FC-001_v2.cha	95	0	有	啲	叫做	有啲叫做新西蘭.	誒,有人叫New_Zealand即係紐,又照譯紐西蘭.	其實都係一樣,一個地方.	partitive_indefinite_subject_not_marker	exclude_from_aa56_marker_evidence	有啲 / 有啲人 as an indefinite determiner or partitive pronoun + predicate	high	Here 有啲 functions as 'some/some of them' and forms the subject nominal itself; the row does not independently establish existential-marker 有 followed by a separate NP.	HKCanCor token boundaries cannot decide grammatical segmentation; these rows are contrastive evidence against a token-only AA56 rule.
AA56-R1-008	aa56-32c8ec4c1a395bae5930	inherited_aa77_sibling_anchor	FC-001_v2.cha	113	5	有	隻	出海	即係佢會有-有隻船出海.	就唔一定包你睇到囖.	即係到時自己join嗰啲localtour嚹喎,意思係.	repair_or_unusable	exclude_from_productive_evidence	retain overt repair tokens; assign no normalized AA56 span	medium	After an overt false start, the second 有 introduces 隻船 and 出海 predicates of that NP, but the repaired sequence cannot establish an unrepaired runtime span.	Underlying material parallels the source-linked positive profile; retain only as repair-aware corroboration.
AA56-R1-009	aa56-1cb15507882746c71aac	all_initial_indefinite_np_plus_predicate	FC-001_v2.cha	239	0	有	啲	半價	有啲真係起碼半價啊.	嗯,平過香港好多囖.	半價呀?	partitive_indefinite_subject_not_marker	exclude_from_aa56_marker_evidence	有啲 / 有啲人 as an indefinite determiner or partitive pronoun + predicate	high	Here 有啲 functions as 'some/some of them' and forms the subject nominal itself; the row does not independently establish existential-marker 有 followed by a separate NP.	HKCanCor token boundaries cannot decide grammatical segmentation; these rows are contrastive evidence against a token-only AA56 rule.
AA56-R1-010	aa56-460e5c19f98914b634a5	explicit_subject_or_possessor_control	FC-005a_v2.cha	16	8	有	好多	訂	噉就,誒,而且佢又有好多預早訂晒喇,噉嚹啲人就唔使,唔使去排囖.	幾乎你要幾多,佢俾幾多噉樣樣,只要你肯俾錢佢𠻺得𡃉嚹.	噉兼夾呢,女,即係,炒女皇郵票嗰陣時又已經炒到七七八八𡃉嘞,而家淨得哩啲,好似雀仔哩啲噉嘅嘢,都冇乜特色,又冇乜嘢特別意思噉樣,好似呃錢噉樣,噉𠻺啲人,就冇乜人嚹,即係,冇咁,冇咁搶得咁犀利囖.	aa55_possession_or_subject_have	exclude_from_aa56_and_route_to_aa55_or_subject_predication	overt subject/possessor + 有／冇 + possessed or associated nominal	high	An overt possessor, experiencer, institution, or affected subject precedes 有／冇, so the nominal is possessed, associated, or predicated of that subject rather than introduced subjectlessly.	Directly contrasts with Lam, Lau, and Lee's subjectless existential-marker analysis.
