priority	pattern	current_status	recorded_speaker_count	additional_independent_speakers_needed	review_scope	speaker_requirements	parser_output_hidden	promotion_blocked_until_complete
1	PostverbalZoPerfectiveVP	provisional_reaudit	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
2	ResourceUseLaiFunctionRelation	provisional_reaudit	0	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
3	OvertHeadDemonstrativeClassifierNP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	DegreeStativePredicate	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	DiMarkedNP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	DirectionalMotionVP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	ExperientialVP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	IntendedFunctionRelation	provisional	0	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	LexicalGiveRelation	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	ModalVP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	ModifiedNP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	ModifierNP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	NegatedDirectionalMotionVP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	NegatedExistentialFragment	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	PassivePermissiveRelation	provisional	0	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	PerfectiveVP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	PostThemeParticipantRelation	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	QuantifiedClassifierNP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	QuantityNP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	ReportedSpeech	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	TemporalClause	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	TransitiveVP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
later	VerbComplementVP	provisional	1	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true
