decision_id	design_scope	decision_summary	claim_ids	claim_edge_ids	additional_proposition_ids	source_ids	review_item_ids	evidence_relationship	binding_limitation	runtime_change_authorized
CP021B-PD1-E01	C01_BASELINE	Theme-before-recipient is the only role-assigning lexical-GIVE branch	CLAIM-CP021B-SY-002	EDGE-CP021B-SY-006;EDGE-CP021B-SY-008;EDGE-CP021B-SY-011;EDGE-CP021B-SY-013	PROP-CP021B-0001;PROP-CP021B-0022;PROP-CP021B-0048;PROP-CP021B-0061	SCREEN-CP021B-001;SCREEN-CP021B-004;SCREEN-CP021B-010;SCREEN-CP021B-013	CP021B-NR0-N05;CP021B-NR0-N08;CP021B-NR0-N11;CP021B-NR0-N12	supports_bounded_design	Judgments examples and older corpus description attest the pattern but do not establish exclusivity or broad productivity	false
CP021B-PD1-E02	C01_NONEXCLUSIVE_ORDER	Person-before-thing lexical GIVE is review-bearing with unresolved semantic roles and no weight trigger	CLAIM-CP021B-SY-002;CLAIM-CP021B-SY-003;CLAIM-CP021B-SY-005	EDGE-CP021B-SY-007;EDGE-CP021B-SY-014;EDGE-CP021B-SY-019;EDGE-CP021B-SY-021;EDGE-CP021B-SY-038	PROP-CP021B-0014;PROP-CP021B-0033;PROP-CP021B-0044;PROP-CP021B-0050;PROP-CP021B-0062	SCREEN-CP021B-003;SCREEN-CP021B-007;SCREEN-CP021B-009;SCREEN-CP021B-010;SCREEN-CP021B-013	CP021B-NR0-N02;CP021B-NR0-N10	supports_review_and_restricts_rule	Speaker variation sparse heavy-theme data and a nonsignificant distance result prohibit free alternation or a categorical length rule	false
CP021B-PD1-E03	C01_PRONOUN_BOUNDARY	Two person-like post-GIVE arguments receive no forced theme-recipient mapping	CLAIM-CP021B-SY-003	EDGE-CP021B-SY-022	PROP-CP021B-0049;PROP-CP021B-0058	SCREEN-CP021B-010;SCREEN-CP021B-012;SCREEN-CP021B-014	CP021B-NR0-N07	restricts_role_assignment	Source judgments are analysis-specific and the sole reviewer rejected the generated surface; supplied repair does not resolve roles	false
CP021B-PD1-E04	C02_SURFACE	Predicate-theme-bij2-person is preserved as a theory-neutral relation	CLAIM-CP021B-SY-004	EDGE-CP021B-SY-023;EDGE-CP021B-SY-026;EDGE-CP021B-SY-027;EDGE-CP021B-SY-029	PROP-CP021B-0015;PROP-CP021B-0036;PROP-CP021B-0055;PROP-CP021B-0063	SCREEN-CP021B-003;SCREEN-CP021B-007;SCREEN-CP021B-012;SCREEN-CP021B-013	CP021B-NR0-N01;CP021B-NR0-N04;CP021B-NR0-N06;CP021B-NR0-N09	supports_surface_not_ontology	Surface attestation is stronger than category evidence; predicate class and valency remain material	false
CP021B-PD1-E05	C02_CATEGORY	No fixed preposition serial-verb complex-predicate or constructional category is selected	CLAIM-CP021B-SY-004;CLAIM-CP021B-SY-008	EDGE-CP021B-SY-025;EDGE-CP021B-SY-028;EDGE-CP021B-SY-050;EDGE-CP021B-SY-051;EDGE-CP021B-SY-052;EDGE-CP021B-SY-053;EDGE-CP021B-SY-054	PROP-CP021B-0009;PROP-CP021B-0020;PROP-CP021B-0059;PROP-CP021B-0066;PROP-CP021B-0069	SCREEN-CP021B-001;SCREEN-CP021B-003;SCREEN-CP021B-012;SCREEN-CP021B-013	NONE	competing_analyses_create_architecture_veto	The source theories are mutually nonidentical and none prescribes Canto Span ontology	false
CP021B-PD1-E06	C02_PREDICATE_PROFILES	Borrow-lend transfer creation and acquisition profiles retain predicate-dependent candidate readings only	CLAIM-CP021B-SY-003;CLAIM-CP021B-SY-004	EDGE-CP021B-SY-018;EDGE-CP021B-SY-024;EDGE-CP021B-SY-029	PROP-CP021B-0017;PROP-CP021B-0060;PROP-CP021B-0063	SCREEN-CP021B-003;SCREEN-CP021B-012;SCREEN-CP021B-013	CP021B-NR0-N01;CP021B-NR0-N04;CP021B-NR0-N06;CP021B-NR0-N09	supports_lexeme_scoped_profiles	Role and valency analyses remain source-attributed; unreviewed semantically similar predicates cannot be generalized	false
CP021B-PD1-E07	C02_FINAL_PREDICATE	A later predicate remains overt and no hidden shared participant is inserted	CLAIM-CP021B-SY-004;CLAIM-CP021B-SY-006	EDGE-CP021B-SY-026;EDGE-CP021B-SY-028;EDGE-CP021B-SY-043	PROP-CP021B-0036;PROP-CP021B-0059;PROP-CP021B-0073	SCREEN-CP021B-007;SCREEN-CP021B-012;SCREEN-CP021B-015	CP021B-NR0-N03	supports_preservation_boundary	Final-verb indispensability and structural analysis are source-scoped; the design preserves form without choosing a serial ontology	false
CP021B-PD1-E08	HEAVY_THEME_VETO	Double-marker zoeng and heavy-theme alternatives remain review boundaries with no trigger	CLAIM-CP021B-SY-003;CLAIM-CP021B-SY-005	EDGE-CP021B-SY-019;EDGE-CP021B-SY-021;EDGE-CP021B-SY-030;EDGE-CP021B-SY-031;EDGE-CP021B-SY-034;EDGE-CP021B-SY-035;EDGE-CP021B-SY-036;EDGE-CP021B-SY-038;EDGE-CP021B-SY-039	PROP-CP021B-0002;PROP-CP021B-0018;PROP-CP021B-0023;PROP-CP021B-0033;PROP-CP021B-0044;PROP-CP021B-0045;PROP-CP021B-0050;PROP-CP021B-0051	SCREEN-CP021B-001;SCREEN-CP021B-003;SCREEN-CP021B-004;SCREEN-CP021B-007;SCREEN-CP021B-009;SCREEN-CP021B-010	CP021B-NR0-N10	supports_tendency_and_vetoes_rule	Judgments conflict long-theme cells are sparse and elicited postselection prevents a productive threshold	false
CP021B-PD1-E09	NONFULL_RESTRUCTURED	Omission and fronting do not license hidden local arguments or a new full relation	CLAIM-CP021B-SY-006	EDGE-CP021B-SY-040;EDGE-CP021B-SY-041;EDGE-CP021B-SY-042;EDGE-CP021B-SY-043	PROP-CP021B-0034;PROP-CP021B-0064;PROP-CP021B-0072;PROP-CP021B-0073	SCREEN-CP021B-007;SCREEN-CP021B-013;SCREEN-CP021B-015	NONE	supports_context_boundary	Attestation in 1990s and parent-child registers does not supply a context-free argument recovery rule	false
CP021B-PD1-E10	PASSIVE_PERMISSIVE_BOUNDARY	NP1-bij2-NP2-VP remains with accepted CP020R2 and never maps NP2 to recipient	CLAIM-CP021B-SY-001;CLAIM-CP021B-SY-007	EDGE-CP021B-SY-002;EDGE-CP021B-SY-003;EDGE-CP021B-SY-004;EDGE-CP021B-SY-044;EDGE-CP021B-SY-045;EDGE-CP021B-SY-046;EDGE-CP021B-SY-047;EDGE-CP021B-SY-048;EDGE-CP021B-SY-049	PROP-CP021B-0037;PROP-CP021B-0038;PROP-CP021B-0041;PROP-CP021B-0065;PROP-CP021B-0067;PROP-CP021B-0074	SCREEN-CP021B-007;SCREEN-CP021B-008;SCREEN-CP021B-013;SCREEN-CP021B-016	NONE	supports_separate_owner_boundary	Causative-passive interpretation is contextual and one earlier agentless class is retracted	false
