construction	claim_layer	current_status	runtime_code_references	complete_parser_output_observed	probe_case_ids	current_disposition	unresolved_runtime_gap
CompletionThenClause	language	unsupported_generalization	8	yes	FRWRAP-001	implementation_probe_added_zero_evidence_weight	The reachable CompletionVP + 就 route does not settle dedicated-wrapper necessity, subject sharing, discourse sequencing, or productivity.
CompoundDirectionalMotionVP	language	unsupported_generalization	11	yes	FRWRAP-002	implementation_probe_added_zero_evidence_weight	The exact 返上嚟 route is reachable, but broader directional constituency, object order, and combination limits remain unresolved.
ConditionResult	language	unsupported_generalization	8	yes	FRWRAP-003	implementation_probe_added_zero_evidence_weight	The action + 就 + stative route is reachable, but the wrapper must not be generalized to every 就 sequence or treated as a complete conditional analysis.
DegreeModifiedLexicalStative	language	unsupported_generalization	3	yes	FRWRAP-004	implementation_probe_added_zero_evidence_weight	The route depends on lexicon-backed tokenization of 好食 and does not settle productive composition versus lexicalized structure.
NegatedLexicalizedStative	language	unsupported_generalization	5	yes	FRWRAP-005	implementation_probe_added_zero_evidence_weight	The lexical 難食 route is distinct from productive 唔 + stative negation; class membership and boundaries remain lexicon-dependent.
PassivePermissiveRelation	language	unsupported_generalization	12	yes	FRWRAP-006	implementation_probe_added_zero_evidence_weight	The runtime intentionally preserves passive/permissive ambiguity, so argument-role interpretation and subtype boundaries remain unresolved.
PoliteImperativeClause	language	unsupported_generalization	8	yes	FRWRAP-007	implementation_probe_added_zero_evidence_weight	The constructor recognizes only a narrow path-command shape and does not establish general polite-imperative syntax.
ProgressivePlaceQuestion	language	unsupported_generalization	5	yes	FRWRAP-008	implementation_probe_added_zero_evidence_weight	The wrapper is sensitive to postposed location-question order; independently ordinary preverbal locatives route differently.
ProgressivePurposeClause	language	unsupported_generalization	10	yes	FRWRAP-009	implementation_probe_added_zero_evidence_weight	The exact seven-node wrapper assigns purpose from adjacency without an overt linker or independent semantic test.
ProgressiveTransitivePredicate	language	unsupported_generalization	8	yes	FRWRAP-010	implementation_probe_added_zero_evidence_weight	The nested V緊O child is reachable only inside the bounded progressive-purpose route and may duplicate ordinary ProgressiveVP/TransitiveVP composition.
PurposePredicate	language	unsupported_generalization	15	yes	FRWRAP-011	implementation_probe_added_zero_evidence_weight	The nested V+O child has no independent purpose marker; its purpose role comes entirely from the parent wrapper.
Comment	internal	parser_heuristic	1	no		retain_unresolved_constructor_shadowing	The fallback constructor remains callable internally, but complete parsing still yields no Comment row; planned merge into TopicComment role metadata remains unresolved.
PerfectiveResultPredicate	language	unsupported_generalization	7	no		retain_unresolved_constructor_shadowing	The controlled 解決咗 constructor is consumed by the broader PerfectiveVP route in complete output and remains unresolved pending composition cleanup.
