rank	word	cifu_jyutping	cifu_definition	hkcancor_hits	hkcancor_observed_bucket_count	hkcancor_pos_counts	hkcancor_ud_counts	hkcancor_jyutping_counts
1501	削	soek3	to reduce/to pare (away)/to cut (down)/to scrape	18	2	"{""a"": 1,""v"": 17}"	"{""ADJ"": 1,""VERB"": 17}"	"{""soek3"": 18}"
1502	屋企人	uk1kei2jan4	family	10	1	"{""n"": 10}"	"{""NOUN"": 10}"	"{""uk1kei2jan4"": 10}"
1503	架構	gaa3kau3	to construct/to build/infrastructure/architecture/framework	4	3	"{""n"": 1,""v"": 1,""vn"": 2}"	"{""NOUN"": 3,""VERB"": 1}"	"{""gaa3kau3"": 4}"
1504	查	caa4	to research/to check/to investigate/to examine/to refer to/to search/surname Cha	21	1	"{""v"": 21}"	"{""VERB"": 21}"	"{""caa4"": 21}"
1505	要講	*jiu3gong2	NO DEF	0	0	{}	{}	{}
1506	重複	cung4fuk1	to repeat/to duplicate	0	0	{}	{}	{}
1507	倒	dou2|dou3	to fall over/to topple/to overthrow/(business) fail, collapse/to change/to shift/to exchange/to pour out/to dump (garbage)|to turn upside down/to invert/to reverse/upside down/inverse/inverted/to move backwards/to turn back	3	1	"{""v"": 3}"	"{""VERB"": 3}"	"{""dou2"": 3}"
1508	剛才	gong1coi4	just	0	0	{}	{}	{}
1509	容許	jung4heoi2	permit/allow	1	1	"{""v"": 1}"	"{""VERB"": 1}"	"{""jung4heoi2"": 1}"
1510	效率	haau6leot2	efficiency	0	0	{}	{}	{}
1511	根據	gan1geoi3	according to/based on/basis/foundation	5	3	"{""n"": 2,""p"": 2,""v"": 1}"	"{""ADP"": 2,""NOUN"": 2,""VERB"": 1}"	"{""gan1geoi3"": 5}"
1512	特登	*dak6dang1	NO DEF	10	1	"{""d"": 10}"	"{""ADV"": 10}"	"{""dak6dang1"": 10}"
1513	假	gaa2|gaa3	fake/false/artificial/to borrow/if/suppose|vacation	17	3	"{""Ng"": 4,""a"": 6,""n"": 7}"	"{""ADJ"": 6,""NOUN"": 11}"	"{""gaa2"": 6,""gaa3"": 11}"
1514	唪	fung2|baa6	recite/chant	0	0	{}	{}	{}
1515	從來	cung4loi4	always/at all times/never (if used in negative sentence)	8	2	"{""c"": 1,""d"": 7}"	"{""ADV"": 7,""CCONJ"": 1}"	"{""cung4loi4"": 8}"
1516	教授	gaau3sau6	professor/to instruct/to lecture on	2	1	"{""n"": 2}"	"{""NOUN"": 2}"	"{""gaau3sau6"": 2}"
1517	焗	guk6	1. to bake/2. a trap/3. to force/4. to provoke	10	2	"{""a"": 1,""v"": 9}"	"{""ADJ"": 1,""VERB"": 9}"	"{""guk6"": 10}"
1518	貨	fo3	goods/money/commodity	12	1	"{""n"": 12}"	"{""NOUN"": 12}"	"{""fo3"": 12}"
1519	郭富城	*gwok3fu3sing4	NO DEF	0	0	{}	{}	{}
1520	幾咁	*gei2|gei1gam3|gam2	NO DEF	1	1	"{""d"": 1}"	"{""ADV"": 1}"	"{""gei2gam3"": 1}"
1521	牌	paai4	mahjong tile/playing card/game pieces/signboard/plate/tablet/medal	13	4	"{""Ng"": 2,""n"": 7,""q"": 4}"	"{""NOUN"": 13}"	"{""paai2"": 3,""paai4"": 10}"
1522	牌子	paai4zi2	sign/trademark	14	1	"{""n"": 14}"	"{""NOUN"": 14}"	"{""paai4zi2"": 14}"
1523	等於	dang2jyu1	to equal/to be tantamount to	8	1	"{""v"": 8}"	"{""VERB"": 8}"	"{""dang2jyu1"": 8}"
1524	費事	*fai3si6	NO DEF	11	2	"{""d"": 3,""v"": 8}"	"{""ADV"": 3,""VERB"": 8}"	"{""fai3si6"": 11}"
1525	貼	tip1	to stick/to paste/to keep close to/to fit snugly/to subsidize/to guess/allowance (e.g. money for food or housing)/sticker	4	1	"{""v"": 4}"	"{""VERB"": 4}"	"{""tip3"": 4}"
1526	媽咪	maa1mi4	Mummy (mother)	6	1	"{""n"": 6}"	"{""NOUN"": 6}"	"{""maa1mi4"": 6}"
1527	搞掂	gaau2dim6	NO DEF	7	1	"{""v"": 7}"	"{""VERB"": 7}"	"{""gaau2dim6"": 7}"
1528	經常	ging1soeng4	day to day/everyday/daily/frequently/constantly/regularly/often	1	1	"{""d"": 1}"	"{""ADV"": 1}"	"{""ging1soeng4"": 1}"
1529	聖誕	sing3daan3	Christmas/birthday of reigning Emperor/Confucius' birthday	14	2	"{""n"": 1,""t"": 13}"	"{""ADV"": 13,""NOUN"": 1}"	"{""sing3daan3"": 14}"
1530	預	jyu6	to advance/in advance/beforehand/to prepare	9	2	"{""a"": 3,""v"": 6}"	"{""ADJ"": 3,""VERB"": 6}"	"{""jyu6"": 9}"
1531	認識	jing6sik1	to know/to recognize/to be familiar with/acquainted with sth/knowledge/understanding/awareness/cognition	2	2	"{""v"": 1,""vn"": 1}"	"{""NOUN"": 1,""VERB"": 1}"	"{""jing6sik1"": 2}"
1532	罷	baa6	to stop/to cease/to dismiss/to suspend/to quit/to finish/final particle, same as 吧 (Mandarin)	0	0	{}	{}	{}
1533	舖頭	*pou3tau4	NO DEF	11	1	"{""n"": 11}"	"{""NOUN"": 11}"	"{""pou3tau2"": 11}"
1534	養魚	*joeng5jyu2	NO DEF	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""joeng5yu2"": 1}"
1535	錄音	luk6jam1	(sound) recording	7	1	"{""v"": 7}"	"{""VERB"": 7}"	"{""luk6jam1"": 7}"
1536	講講	*gong2gong2	NO DEF	1	1	"{""v"": 1}"	"{""VERB"": 1}"	"{""gong2gong2"": 1}"
1537	醫院	ji1jyun2	hospital	7	1	"{""n"": 7}"	"{""NOUN"": 7}"	"{""ji1jyun2"": 7}"
1538	離婚	lei4fan1	to divorce/divorced from (one's spouse)	0	0	{}	{}	{}
1539	壞	waai6	bad/spoiled/broken/to break down	13	3	"{""a"": 11,""v"": 2}"	"{""ADJ"": 11,""VERB"": 2}"	"{""waai2"": 1,""waai6"": 12}"
1540	羅	lo4	gauze/to collect/to gather/to catch/to shift/surname Luo	0	0	{}	{}	{}
1541	辭典	ci4din2	dictionary (of Chinese compound words)/variant of 詞典|词典	19	1	"{""n"": 19}"	"{""NOUN"": 19}"	"{""ci4din2"": 19}"
1542	邊緣	bin1jyun4	edge/fringe/verge/brink/periphery/marginal/borderline	0	0	{}	{}	{}
