collision_target	current_role	observed_overlap	decisive_difference	current_disposition
CompletionVP	Current surface family groups `完` and `晒` as completion markers and has objectless `V晒`	Directly recognizes `V + 晒` and `V + 晒 + object` shapes.	Lei and Lee distinguish `晒` universal nominal quantification from `完` completive aspect; current node records no quantified nominal or scope.	SURFACE_CARRIER_ONLY_PROMOTE_DEDICATED_SEMANTIC_UNIT
Completive `完 jyun4`	Adds an event endpoint/finish relation	Incremental-theme object totality can make event non-completion contradictory.	Direct research experimentally distinguishes completive aspect from universal nominal quantification.	KEEP_SEPARATE
PerfectiveVP / `咗 zo2`	Marks event realization/viewpoint aspect	Can describe a total event in context.	Tested `zo2` profiles permit partial/indefinite readings that `saai3` rejects; aspect is not universal nominal quantification.	KEEP_SEPARATE
ResultComplementVP	Action plus an overt resulting state	Theme exhaustion may correlate with a resulting or completed state.	Checked `saai3` core quantifies a nominal and need not introduce a lexical result predicate.	KEEP_SEPARATE
QuantityNP	Visible quantity plus noun head	May package a plural nominal eligible for `saai3` scope.	Does not contribute totality, relate the nominal to the event, or choose subject/object scope.	SURFACE_COMPONENT_ONLY
Object NP	Potential target of postverbal `saai3` totality	Lei and Lee directly attest object scope.	Object adjacency alone is insufficient when a definite plural subject may instead be quantified; nominal form and verb semantics matter.	RETAIN_SCOPE_CANDIDATE_NOT_DETERMINISTIC
Subject NP	Potential target of postverbal `saai3` totality	Lei and Lee and Matthews/Yip directly attest subject scope.	Linear distance from `saai3` does not preclude scope; a parser needs a semantic relation rather than nearest-NP attachment.	RETAIN_SCOPE_CANDIDATE_NOT_DETERMINISTIC
Objectless `V晒`	Current totality-completion surface with discourse domain flag	May express totality over a contextually supplied affected domain.	Checked experimental core says a definite universally quantified nominal is required, but does not directly settle discourse omission or event-domain uses.	QUARANTINE_PENDING_DIRECT_OBJECTLESS_EVIDENCE
Negative `V唔晒`	Potential/inability-looking surface	Contains `晒` after negation and may concern inability to exhaust a domain.	No checked direct research source establishes its syntax, scope, or distinction from ordinary negated totality.	QUARANTINE_NEGATION_PROFILE
Lexical `曬` and formulaic `唔該晒/多謝晒`	Sun/dry verb or conventional intensifying formula	Same or variant graph/pronunciation.	Neither supplies universal event-participant quantification in the checked constructional sense.	KEEP_SEPARATE_LEXICAL_AND_FORMULA_PROFILES
