review_item_id	surface	naturalness_choice	free_translation	possible_readings	participant_role_description	context_needed	context_example	alternative_preferred_form	orthography_comment	confidence_1_to_5	reviewer_id	reviewer_background	review_date	reviewer_notes
CP021B-NR0-N01	我買咗杯咖啡畀佢。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N02	我畀佢本書。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N03	我攞咗本書畀佢睇。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N04	我織咗件冷衫畀你。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N05	佢俾咗三百蚊我。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N06	我借咗本書畀佢。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N07	我畀佢你。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N08	老師俾張紙學生。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N09	我交咗本書畀張三。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N10	我畀阿明嗰本我尋日喺書展買嘅書。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N11	我畀咗本書佢。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N12	阿媽畀咗個蘋果細佬。	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
