id	item_type	source_traditional	source_jyutping	source_english	duplicate_status	terminal_classification	evidence_use	discrepancy_status	accepted_duplicate_targets	review_note
GLOSSIKA-YUEHK-A1-W14-20260621-I001	sentence	唔好意思。	M4 hou2 ji3 si1.	Sorry. / Excuse me.	no_accepted_duplicate	pronunciation_discrepancy	source_discrepancy_preserved_unresolved	conflict_detected_no_replacement_accepted		The source value is preserved unchanged. No corrected reading is asserted in this ingress review.
GLOSSIKA-YUEHK-A1-W14-20260621-I002	sentence	對唔住呀。	Deoi3 m4 zyu6 aa3.	I'm sorry.	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I003	sentence	對唔住，我遲咗。	Deoi3 m4 zyu6, ngo5 ci4 zo2.	Sorry, I'm late.	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I004	sentence	好對唔住，係我唔啱。	Hou2 deoi3 m4 zyu6, hai6 ngo5 m4 ngaam1.	I'm very sorry, it was my fault.	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I005	sentence	多謝。	Do1 ze6.	Thanks.	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I006	sentence	唔該晒。	M4 goi1 saai3.	Thank you so much.	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I007	sentence	多謝你嘅幫忙。	Do1 ze6 nei5 ge3 bong1 mong4.	Thank you for your help.	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I008	sentence	真係好多謝你。	Zan1 hai6 hou2 do1 ze6 nei5.	I really appreciate it.	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I009	lexical_entry	返工	faan1 gung1	to go to work	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I010	lexical_entry	放工	fong3 gung1	to get off work	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I011	lexical_entry	公司	gung1 si1	company	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A canonical runtime owner or independent exact pedagogical source already preserves the form; this source remains provenance only.
GLOSSIKA-YUEHK-A1-W14-20260621-I012	lexical_entry	辦公室	baan6 gung1 sat1	office	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I013	lexical_entry	老闆	lou5 baan2	boss	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A canonical runtime owner or independent exact pedagogical source already preserves the form; this source remains provenance only.
GLOSSIKA-YUEHK-A1-W14-20260621-I014	lexical_entry	開會	hoi1 wui2	to have a meeting	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I015	lexical_entry	出糧	ceot1 loeng4	to get paid	no_accepted_duplicate	translation_discrepancy	source_discrepancy_preserved_unresolved	scope_alert_no_replacement_accepted		The source wording is preserved unchanged. No replacement gloss or orthography is asserted in this ingress review.
GLOSSIKA-YUEHK-A1-W14-20260621-I016	lexical_entry	放假	fong3 gaa3	to have a holiday	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I017	lexical_entry	打工	daa2 gung1	to work (part-time)	no_accepted_duplicate	translation_discrepancy	source_discrepancy_preserved_unresolved	scope_alert_no_replacement_accepted		The source wording is preserved unchanged. No replacement gloss or orthography is asserted in this ingress review.
GLOSSIKA-YUEHK-A1-W14-20260621-I018	lexical_entry	人工	jan4 gung1	salary	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
