case_id	surface	role	resource_use_lai_count	intended_function_count	semantic_acceptance_status	root_coverage	missing_jyutping	construction_types
RUL-S01	呢個用嚟切嘢。	published_exact_example	1	0	MANUAL_REVIEW_ELIGIBLE	{'status': 'PASS', 'top_construction_count': 1, 'top_construction_surfaces': ['呢個用嚟切嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		ResourceUseLaiFunctionRelation|HeadlessDemonstrativeClassifierNP
RUL-S02	另一邊用來儲物。	editorial_oral_history_example	0	0	BLOCKED	{'status': 'NO_TOP_CONSTRUCTION', 'top_construction_count': 0, 'top_construction_surfaces': [], 'unwrapped_root_nonpunctuation_count': 7, 'unwrapped_root_surfaces': ['另', '一', '邊', '用', '來', '儲', '物'], 'ignored_root_remainder_count': 1}	另|物	
RUL-S03	呢間屋用嚟擺嘢。	direct_quote_simple_subspan	1	0	MANUAL_REVIEW_ELIGIBLE	{'status': 'PASS', 'top_construction_count': 1, 'top_construction_surfaces': ['呢間屋用嚟擺嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		ResourceUseLaiFunctionRelation|OvertHeadDemonstrativeClassifierNP
RUL-S04	呢間屋用嚟擺嘢、養豬養牛。	direct_quote_full_coordinated_predicate	1	0	BLOCKED	{'status': 'PARTIAL', 'top_construction_count': 1, 'top_construction_surfaces': ['呢間屋用嚟擺嘢'], 'unwrapped_root_nonpunctuation_count': 4, 'unwrapped_root_surfaces': ['養', '豬', '養', '牛'], 'ignored_root_remainder_count': 2}	養|豬|養|牛	ResourceUseLaiFunctionRelation|OvertHeadDemonstrativeClassifierNP
RUL-B01	啲錢我用嚟買晒嗰堆嘢。	separate_user_perfective_actual_use	0	1	BLOCKED	{'status': 'PASS', 'top_construction_count': 1, 'top_construction_surfaces': ['啲錢我用嚟買晒嗰堆嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		IntendedFunctionRelation|Topic|DiMarkedNP
RUL-B02	呢個可以用嚟切嘢。	modal_affordance	0	1	REVIEW_REQUIRED	{'status': 'PASS', 'top_construction_count': 1, 'top_construction_surfaces': ['呢個可以用嚟切嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		IntendedFunctionRelation|HeadlessDemonstrativeClassifierNP
RUL-B03	呢個係用嚟切嘢。	copular_frame	0	1	MANUAL_REVIEW_ELIGIBLE	{'status': 'PASS', 'top_construction_count': 1, 'top_construction_surfaces': ['呢個係用嚟切嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		IntendedFunctionRelation|HeadlessDemonstrativeClassifierNP
RUL-B04	呢個用咗嚟切嘢。	aspect_interrupted_link	0	0	REVIEW_REQUIRED	{'status': 'MULTIPLE_ROOT_CONSTRUCTIONS', 'top_construction_count': 4, 'top_construction_surfaces': ['呢個', '用咗', '嚟', '切嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		HeadlessDemonstrativeClassifierNP|PerfectiveVP|DirectionalMotionVP|TransitiveVP
RUL-B05	我用刀切嘢。	ordinary_instrumental_use	0	0	BLOCKED	{'status': 'PASS', 'top_construction_count': 1, 'top_construction_surfaces': ['我用刀切嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		ClauseSpan|TransitiveVP|TransitiveVP|TransitiveVP
RUL-B06	我買刀嚟切嘢。	general_purpose_lai	0	0	BLOCKED	{'status': 'PARTIAL', 'top_construction_count': 2, 'top_construction_surfaces': ['買刀嚟', '切嘢'], 'unwrapped_root_nonpunctuation_count': 1, 'unwrapped_root_surfaces': ['我'], 'ignored_root_remainder_count': 1}		VerbComplementVP|TransitiveVP|DirectionalMotionVP|TransitiveVP
RUL-B07	呢個唔用嚟切嘢。	negated_use_lai	0	0	REVIEW_REQUIRED	{'status': 'MULTIPLE_ROOT_CONSTRUCTIONS', 'top_construction_count': 3, 'top_construction_surfaces': ['呢個', '唔用嚟', '切嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		HeadlessDemonstrativeClassifierNP|NegatedDirectionalMotionVP|VerbComplementVP|DirectionalMotionVP|TransitiveVP
RUL-B08	呢個用唔用嚟切嘢？	a_not_a_use_lai	0	0	REVIEW_REQUIRED	{'status': 'MULTIPLE_ROOT_CONSTRUCTIONS', 'top_construction_count': 3, 'top_construction_surfaces': ['呢個', '用唔用嚟', '切嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		HeadlessDemonstrativeClassifierNP|VerbComplementVP|NegatedDirectionalMotionVP|VerbComplementVP|DirectionalMotionVP|TransitiveVP
RUL-B09	用來用去。	reduplicated_lexical_sequence	0	0	BLOCKED	{'status': 'PARTIAL', 'top_construction_count': 1, 'top_construction_surfaces': ['用去'], 'unwrapped_root_nonpunctuation_count': 2, 'unwrapped_root_surfaces': ['用', '來'], 'ignored_root_remainder_count': 1}		VerbComplementVP|DirectionalMotionVP
RUL-B10	我用嚟切嘢。	person_user_without_resource	0	0	BLOCKED	{'status': 'PARTIAL', 'top_construction_count': 2, 'top_construction_surfaces': ['用嚟', '切嘢'], 'unwrapped_root_nonpunctuation_count': 1, 'unwrapped_root_surfaces': ['我'], 'ignored_root_remainder_count': 1}		VerbComplementVP|DirectionalMotionVP|TransitiveVP
RUL-B11	呢個用嚟。	missing_predicate	0	0	BLOCKED	{'status': 'MULTIPLE_ROOT_CONSTRUCTIONS', 'top_construction_count': 2, 'top_construction_surfaces': ['呢個', '用嚟'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		HeadlessDemonstrativeClassifierNP|VerbComplementVP|DirectionalMotionVP
RUL-B12	呢個用嚟切咗嘢。	perfective_predicate	0	1	REVIEW_REQUIRED	{'status': 'PASS', 'top_construction_count': 1, 'top_construction_surfaces': ['呢個用嚟切咗嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		IntendedFunctionRelation|HeadlessDemonstrativeClassifierNP
RUL-L01	香港用嚟切嘢。	semantic_selection_probe_location	1	0	MANUAL_REVIEW_ELIGIBLE	{'status': 'PASS', 'top_construction_count': 1, 'top_construction_surfaces': ['香港用嚟切嘢'], 'unwrapped_root_nonpunctuation_count': 0, 'unwrapped_root_surfaces': [], 'ignored_root_remainder_count': 1}		ResourceUseLaiFunctionRelation
