29	陳先生	陳先生: 要擺水、紙同筆。	/jiu3 baai2 seoi2, zi2 tung4 bat1./
30	黃小姐	黃小姐: 幾多個人開會？	/gei2 do1 go3 jan4 hoi1 wui2?/
31	陳先生	陳先生: 大概八個人。	/daai6 koi3 baat3 go3 jan4./
32	黃小姐	黃小姐: 明白，我會準備好。	/ming4 baak6, ngo5 wui5 zeon2 bei6 hou2./
33	陳先生	陳先生: 最後，要send份報告畀王經理。	/zeoi3 hau6, jiu3 send fan6 bou3 gou3 bei2 wong4 ging1 lei5./
34	黃小姐	黃小姐: 用email定係打印出嚟？	/jung6 email ding6 hai6 daa2 jan3 ceot1 lai4?/
35	陳先生	陳先生: 用email就得喇。	/jung6 email zau6 dak1 laa3./
36	黃小姐	黃小姐: 佢嘅email係咩？	/keoi5 ge3 email hai6 me1?/
37	陳先生	陳先生: 我寫咗喺呢度，你睇吓。	/ngo5 se2 zo2 hai2 ni1 dou6, nei5 tai2 haa5./
38	黃小姐	黃小姐: 好，我今日會做晒。	/hou2, ngo5 gam1 jat6 wui5 zou6 saai3./
39	陳先生	陳先生: 唔使急，慢慢做就得。	/m4 sai2 gap1, maan6 maan2 zou6 zau6 dak1./
40	黃小姐	黃小姐: 多謝陳先生，我開始做嘢喇！	/do1 ze6 can4 sin1 saang1, ngo5 hoi1 ci2 zou6 je5 laa3!/
