audit_id	surface	observed_runtime_result	collision_or_gap	risk	future_requirement
UC025-C01	我鍾意呢件衫。	Full-span ClauseSpan with overt NP material	Overt baseline is analyzed, though the VP is suspiciously wrapped as ModifierNP	Bad overt constituency can contaminate an omission contrast	Repair or control overt valency before comparing dropped-object output
UC025-C02	我鍾意。	NeedsContext; missing preference_object_or_domain	Useful unresolved-object signal, but no antecedent type or reference reading	One missing-slot label cannot distinguish specific, generic, or conventional objectless use	Add context-linked interpretation metadata only after source-backed design
UC025-C03	張三見到一隻熊喇，瑪麗都見到。	Full-span ClauseRelationGraph; first 見到 becomes IntransitiveVP; second clause has no null-object relation	Clause coverage hides the source-documented object ambiguity	A full-span relation may falsely suggest both predicates are structurally complete	Represent each predicate's valency and possible omitted object independently
UC025-C04	約翰鍾意熊，瑪麗都鍾意。	ClauseRelationGraph with two PreferenceVP nodes	Generic understood object/domain is not represented	Parser loses the distinction between generic object drop and objectless preference	Preserve reference type and antecedent/domain source
UC025-C05	約翰想要一架新車，瑪麗都想要。	ClauseRelationGraph with two ModalVP nodes	Attributive/intensional understood object is absent	Modal wrapper can conceal a selected nominal complement	Separate modal complement ellipsis from lexical valency and object interpretation
UC025-C06	呢本書，我睇完喇。	ClauseRelationGraph TopicChain; antecedent linked; missing object_or_activity_domain; linked_null_object_count 1	Narrow overt-topic implementation already exists	Generalizing it to all discourse omission would overreach	Retain as one overt-topic subtype and test predicate compatibility
UC025-C07	佢買咗本書。睇完喇。	Multiple top constructions and partial coverage; no cross-sentence link	Implicit discourse continuation is not resolved	Sentence-boundary omission cannot be handled by local token rules	Require explicit discourse-turn state and antecedent tracking
UC025-C08	食咗喇。	NeedsContext with missing subject and object_or_activity_domain	Useful multi-slot uncertainty, but no answer/directive/narrative subtype	Generic context flag may collapse several constructions	Use dialogue task and speech-act metadata before licensing
UC025-C09	佢話會嚟。之後真係嚟咗。	Separate ReportedSpeech and TemporalClause roots; no null-subject continuity	Subject continuity across clauses is absent	Nearest-NP linking could choose the wrong antecedent in richer discourse	Research topic continuity and competing antecedents before resolution
UC025-C10	放喺呢度。	Object-selecting placement predicate is parsed without an overt object in source-linked project history	Could be imperative, null-subject/null-object clause, or context fragment	Surface object absence alone cannot identify the omitted slots	Require predicate valency, context, and speech-act classification
UC025-C11	我要買。	Existing source map treats omitted object as discourse recoverable in suitable context	Can collide with generic or incomplete desiderative use	Parser may fabricate an antecedent not present in the input	Expose unresolved/context-required state when no antecedent is supplied
UC025-C12	ComplementEllipsisFragment and FragmentAnswer registry	Existing nodes cover selected complement/domain omission and short answers	They overlap with but do not subsume lexical-verb object drop, null subjects, or non-specific readings	One catch-all ellipsis node would erase source-distinct mechanisms	Maintain separate argument-drop, VP-ellipsis, and fragment research units
UC025-C13	IntransitiveVP registry	Current note already warns that mere object absence cannot establish intransitivity	Null-object data directly collide with broad objectless-VP matching	False intransitive analysis can look complete and learner-safe	Require lexical valency and explicit omitted-slot policy
UC025-C14	all probes	Audit baseline is sandbox v0.5.208; active user branch is v0.5.213+ with concurrent research files	Implementation details may have changed	Applying runtime conclusions without re-probing could overwrite newer work	Re-run collision packet on a clean current branch before coding
