id	ordinal	section	subsection	item_type	speaker	previous_turn_id	next_turn_id	source_display	source_jyutping	source_english	source_hash	classification	exact_match_paths	normalized_match_paths	review_state
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I001	1	dialog	learning_to_dance	dialog_turn	美美		GLOSSIKA-YUEHK-A1-DLG-001-20251130-I002	喂,阿文,你識唔識跳舞呀?	Mei5 Mei5: Wai3, Aa3 Man4, nei5 sik1 m4 sik1 tiu3 mou5 aa3?		sha256:dc5c64f680d6bf1de3c150293d8bd0932c26cd66897c5b863cea8eea39a674c2	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I002	2	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I001	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I003	識少少啫,跳得唔係好好。	Aa3 Man4: Sik1 siu2 siu2 ze1, tiu3 dak1 m4 hai6 hou2 hou2.		sha256:c5c5e039a54760a276a2de0a09c9041da1817b328e5a979f4261e5d01f89d4a9	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I003	3	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I002	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I004	你識跳咩舞呀?	Mei5 Mei5: Nei5 sik1 tiu3 me1 mou5 aa3?		sha256:dd1fb5654bcdc84e81cae439f3cfcf82bb3a3f39d0f6894669a54ab0a490c09e	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I004	4	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I003	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I005	我識跳啲基本嘅舞,好似華爾滋咁。	Aa3 Man4: Ngo5 sik1 tiu3 di1 gei1 bun2 ge3 mou5, hou2 ci5 Waa4 Ji5 Zi1 gam2.		sha256:52d5d1a9b9f394e6b47e9444d7aa5e35e95b31a062160e427ba0c1375063baa2	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I005	5	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I004	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I006	嘩,華爾滋!你幾時學㗎?	Mei5 Mei5: Waa1, Waa4 Ji5 Zi1! Nei5 gei2 si4 hok6 gaa3?		sha256:6732403b00eadb19a46b697f3b3935616a770ece190142fb4ba1525b368ce869	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I006	6	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I005	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I007	我上年學咗三個月,不過而家唔記得晒喇。	Aa3 Man4: Ngo5 soeng6 nin4 hok6 zo2 saam1 go3 jyut6, bat1 gwo3 ji4 gaa1 m4 gei3 dak1 saai3 laa3.		sha256:e54638267d109aad8d6440b703677eb15bcedf5e94e29893a013b888235eae59	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I007	7	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I006	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I008	點解唔繼續跳呀?	Mei5 Mei5: Dim2 gaai2 m4 gai3 zuk6 tiu3 aa3?		sha256:469ff4ed0962ebe7a5a2bb33770ba334280582c5b549d4ac76af824e15794799	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I008	8	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I007	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I009	因為太忙喇,冇時間。	Aa3 Man4: Jan1 wai6 taai3 mong4 laa3, mou5 si4 gaan3.		sha256:36b5bffd815cfe206fa38fd827a43b08ca49f086e0c53f006816edd89ff68cf6	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I009	9	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I008	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I010	咁你而家有冇時間呀?	Mei5 Mei5: Gam2 nei5 ji4 gaa1 jau5 mou5 si4 gaan3 aa3?		sha256:9697cd8125bb188b8c1a17f2b1f3ddff81890c6a4054601ef0d2a1f8f3628fa1	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I010	10	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I009	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I011	有呀,點解咁問呀?	Aa3 Man4: Jau5 aa3, dim2 gaai2 gam3 man6 aa3?		sha256:d7d9b083f422b468874ef343631142ae45b53910a056d7b57153c0faf1651427	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
