packet_row_zero_based	candidate_id	selection_reasons	repetition_mode	base_surface	matched_surface_span	matched_hkcancor_pos	matched_ud_pos	matched_jyutping	second_token_form	second_token_hkcancor_pos	second_token_jyutping	has_local_predicate_candidate	predicate_distance_lexical_tokens	local_predicate_form	local_predicate_hkcancor_pos	local_predicate_ud_pos	local_predicate_jyutping	source_file	turn_index_zero_based	participant	text	previous_text	next_text	expert_classification	expert_subtype	confidence	reviewer_note	parser_implication
0	aa84br-3e2d1a00586940685386	fixed_mode_pos_host_control	adjacent_identical_tokens	唔	唔唔	d	ADV	m4	唔	d	m4	True	3	會	vu	AUX	wui5	FC-001_v2.cha	54	XXB	就唔唔-,一定唔會七八月𡃉嚹.	即係不過要係淡季嘅時候呢.	吓,咪重好.					
1	aa84br-7cda56e8f5962c127d99	fixed_mode_pos_host_control	adjacent_identical_tokens	嗰	嗰嗰	r	PRON	go2	嗰	r	go2	True	3	啱	a	ADJ	aam1	FC-001_v2.cha	105	XXB	要睇佢個嗰嗰段時間啱呢就有一羣𡃉.	但係要-唔係啊,嗰啲要夾啱時間𡃉.	哩個去-哩個去帕斯咋喎.					
2	aa84br-d5baa4dcd60ef70bfb87	fixed_mode_pos_host_control;temporal_frequency	internally_repeated_token	次	次次	q	NOUN	ci3ci3				True	1	返來	v	VERB	faan1lei4	FC-001_v2.cha	196	XXB	我老公次次返來都黑晒噉.	都曬到好犀利𡃉喎.	咁緊要呀十二月.					
3	aa84br-3bebc3466944e22b1f36	fixed_mode_pos_host_control;kin_name	internally_repeated_token	哥	哥哥	n	NOUN	go4go1				False						FC-005a_v2.cha	3	XXA	係唔係尊重哥哥噉樣樣呢,即係大人就食大個,細人就食細個,噉樣樣呢.	噉喎,舊嗰個呢就係話呢,誒,孔融,誒,點解要讓個大梨俾個大哥,自己𠻺要個細梨呢,噉啊表現佢哋呢,就好有孝心,係唔係呢.	噉,但係呢,後來呢,有人呢,俾佢加咗新編落去啊.					
4	aa84br-a138cb2c7b70ee787285	fixed_mode_pos_host_control	adjacent_identical_tokens	好似	好似好似	v	VERB	hou2ci5	好似	v	hou2ci5	True	4	包	v	VERB	baau1	FC-005a_v2.cha	30	XXA	即係你,十二蚊,係,當你十二蚊郵票,佢賣二十蚊,嗰多出來嗰八蚊呢,只係多個膠套啊,多版介紹啊,噉,即係好似好似日本仔噉樣,包到佢靚一靚噉樣,靚一靚噉又,嘩,你又要俾多八蚊出去.	係喇,我都覺得唔抵.	收藏.					
5	aa84br-7505538b2ad5de2d7094	distributive	internally_repeated_token	個	個個	q	NOUN	go3go3				True	1	好似	v	VERB	hou2ci5	FC-005a_v2.cha	94	XXA	即係乜嘢作-,即係嗰啲構思啊,即係邊個係設計啊,以乜嘢為主題啊,點樣樣,冚唪唥全部冇人講過,所以個個好似懵查查啊,好似斷估噉𡃉咋.	但係呢就,從來冇人講過嗰套嘢嘅樣係點樣樣嘅.	所以就出埋哩幾套之後就應該玩完嚹.					
6	aa84br-b5a4fdb9b46866485411	capped_internal_adv_by_base_host;fixed_mode_pos_host_control;temporal_frequency	internally_repeated_token	啱	啱啱	d	ADV	aam1aam1				True	4	大	a	ADJ	daai6	FC-005b_v2.cha	106	XXB	啱啱幾個月大已經識嘞.	點樣講,而係因為我六幾年嘅時候呢,好細個,我細個嗰陣時好鍾意錢.	你知唔知點解?					
7	aa84br-a03246c6737eb5685f0b	distributive	internally_repeated_token	個	個個	q	NOUN	go3go3				True	1	俾	v	VERB	bei2	FC-005b_v2.cha	112	XXA	"""噉買完上來呢,個個俾""啊,幾毫子你食嘢嘞."	"""嗰個""你幫我落樓下買菜,買斤菜,買餸."	"""所以我記得我細個嗰陣時呢,嘩,揸住個毫子好開心,所以我對於嗰啲毫子呢好有印象."					
8	aa84br-13b704edee5900b8c0aa	temporal_frequency	internally_repeated_token	日	日日	q	NOUN	jat6jat6				True	3	知	v	VERB	zi1	FC-005b_v2.cha	135	XXA	有啊,喺,乜嘢,旺角嗰度,日日,嗰啲唔知係唔係大陸人來嘅,走落來,黏張紙喺度,有年份嗰啲𠻺特別價錢囖,冇年份嗰啲求其,好似話女皇頭兩毫子嘅,佢就四毫子一個幫你收噉.	有啲噉嘅嘢咩?	你就俾一拃佢,佢咪照數俾你囖,你俾十個佢,佢俾四蚊你噉樣囖,喀,噉就佢就唔理你乜嘢年代嘞,佢收咗返去,佢自己點搞就唔理佢𡃉嚹,總言之佢就收晒你啲女皇頭嘅返去.					
9	aa84br-467b2bfc67201edc3ff6	fixed_mode_pos_host_control;quantity	internally_repeated_token	少	少少	m	NUM	siu2siu2				True	2	ding3	v	VERB	ding3	FC-009b_v.cha	8	XXA	即係剩返少少噉樣ding3住喎.	跟住睇下隻鞋,原來嗰隻鞋呢就,誒,甩咗喇個底直程.	跟住後來呢我唔想跑𡃉嚹.					
10	aa84br-7a140f4b02ff1620f5b8	all_manner_property_anchors;capped_internal_adj_by_base_host;fixed_mode_pos_host_control	internally_repeated_token	慢	慢慢	a	ADJ	maan6maan1				True	1	行	v	VERB	haang4	FC-009b_v.cha	12	XXA	跟住慢慢行,趷趷下趷咗返去吖嗎.	完成埋佢.	喀.					
