proposition_id	screen_id	candidate_source	year	exact_locator	source_proposition	surface_example_or_data_basis	variety_register_period	support_direction	directness	independence_scope	limitations	verification_state	extractor_and_date
PROP-CP021B-0001	SCREEN-CP021B-001	Li and Lee	2021	pp. 628-629; examples 2-6	The authors restrict the Cantonese double-object construction to bei2 'give'; other dative verbs use a theme-before-bei2-recipient pattern.	DOC V-bei2-theme-recipient contrasted with V-theme-bei2-recipient	Modern Hong Kong Cantonese; author judgments	supports_observed_pattern	direct example and prose	one author team	Lexical restriction is the authors' analysis, not a corpus frequency result.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0002	SCREEN-CP021B-001	Li and Lee	2021	p. 629; examples 5-6	A bei2 double-bei/prepositional form is marked but is reported possible when the theme is heavy or focused.	bei2-theme-bei2-recipient with heavy or focused theme	Modern Hong Kong Cantonese; author judgments	restricts_scope	direct judgment	one author team	Markedness varies by context and speaker; no rate is supplied.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0003	SCREEN-CP021B-001	Li and Lee	2021	pp. 633-634	The paper separates pure caused-possession, transfer-of-possession, and caused-motion dative verb classes.	Verb inventories include give/issue/provide; bring/lend/sell/give; send/transmit/mail/throw/kick	Modern Hong Kong Cantonese; theoretical classification	supports_observed_pattern	direct classification	one author team	Class membership and translations are source-attributed theory.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0004	SCREEN-CP021B-001	Li and Lee	2021	p. 634	Possession verbs are rejected with a purely spatial heoi3 goal, while caused-motion verbs such as send or throw allow it.	Verb + theme + heoi3 + spatial goal contrasts	Modern Hong Kong Cantonese; author judgments	restricts_scope	direct contrast	one author team	Judgment contrast does not establish categorical community usage.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0005	SCREEN-CP021B-001	Li and Lee	2021	p. 634	Three surface patterns are distinguished: V-theme-recipient, V-recipient-theme, and V-theme-bei2-recipient.	Three order templates stated by the authors	Modern Hong Kong Cantonese; theoretical classification	supports_observed_pattern	direct prose	one author team	Inventory is scoped to the cited analysis.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0006	SCREEN-CP021B-001	Li and Lee	2021	p. 634	The V-recipient-theme pattern is described for a limited communication/message verb set.	Verbs glossed inquire, teach, test, request, ask	Modern Hong Kong Cantonese; author judgments	restricts_scope	direct classification	one author team	Not an exhaustive corpus inventory.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0007	SCREEN-CP021B-001	Li and Lee	2021	pp. 634-635	The theme-before-bei2-recipient construction is analyzed as allowing inalienable, alienable, control, and focus possession readings depending on the verb.	Possession subtype contrasts in examples	Modern Hong Kong Cantonese; author judgments	competing_analysis	direct analysis	one author team	Semantic labels are theory-dependent.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0008	SCREEN-CP021B-001	Li and Lee	2021	p. 635	The bei2 double-object construction is judged to license alienable/focus concrete possession and abstract possession, but not the paper's inalienable/control readings.	DOC interpretation contrasts	Modern Hong Kong Cantonese; author judgments	restricts_scope	direct judgment and analysis	one author team	Do not convert constructional semantics into parser ontology without independent validation.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0009	SCREEN-CP021B-001	Li and Lee	2021	pp. 629, 635	The authors reject a simple derivation of the double-object form by deleting the dative marker and instead propose independent polysemous constructions.	Meaning contrasts against the deletion account	Modern Hong Kong Cantonese; formal analysis	competing_analysis	direct argument	one author team	Theoretical conclusion; not observed distribution.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0010	SCREEN-CP021B-002	Tang	1998	chapter pp. 35-52	The chapter treats V-direct-object-indirect-object as an 'inverted' Cantonese double-object order and contrasts it with V-indirect-object-direct-object and an overt-marker form.	V-DO-IO; V-IO-DO; V-DO-bei-IO	1990s Cantonese; author/informant judgments	supports_observed_pattern	direct chapter focus	one theoretical account	Page-level proposition locator could not be recovered from the image-like PDF in this pass.	VERIFIED_PDF_SCOPE_ACCESS_BOUNDARY	Codex 2026-07-17
