candidate_id	query_id	profile_kind	tokenization_kind	matched_surface_span	source_file	source_file_sha256	file_index_zero_based	turn_index_zero_based	token_index_zero_based	participant	recording_date	utterance_initial	utterance_final	preceding_lexical_token_count	following_lexical_token_count	following_predicate_candidate	nearest_left_lexical_word	nearest_left_lexical_pos	nearest_left_lexical_ud_pos	nearest_right_lexical_word	nearest_right_lexical_pos	nearest_right_lexical_ud_pos	text	previous_text	next_text	matched_tokens_json	tokens_json	annotation_status
jmd-f1ed9ebb1df6b28aa456	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	2	5	XXB	1997-04-30	false	false	5	3	true	先	d	ADV	平	a	ADJ	平機票要淡季先有得平𡃉喎.	你老公有冇平機票啊?	而家旺-.	"[{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""}]"	"[{""word"":""平"",""pos"":""a"",""jyutping"":""peng4""},{""word"":""機票"",""pos"":""n"",""jyutping"":""gei1piu3""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""淡季"",""pos"":""an"",""jyutping"":""daam6gwai3""},{""word"":""先"",""pos"":""d"",""jyutping"":""sin1""},{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""},{""word"":""平"",""pos"":""a"",""jyutping"":""peng4""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
jmd-091371c6b3729d5f052c	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	4	0	XXA	1997-04-30	true	false	0	2	true				去	v	VERB	冇得去嗱.	而家旺-.	吓?	"[{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""}]"	"[{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""嗱"",""pos"":""y"",""jyutping"":""laa4""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
jmd-396ba45226c2535178c8	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	128	9	XXB	1997-04-30	false	false	8	2	true	先至	d	ADV	睇	v	VERB	你要睇啱邊個時間去,先至有得睇𡃉.	即係可能嗰個時期係一群噉出來呢,所以有時間性囖.	唔係你要去就有得睇𡃉嚹.	"[{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""}]"	"[{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""啱"",""pos"":""a"",""jyutping"":""aam1""},{""word"":""邊個"",""pos"":""r"",""jyutping"":""bin1go3""},{""word"":""時間"",""pos"":""n"",""jyutping"":""si4gaan3""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""先至"",""pos"":""d"",""jyutping"":""sin1zi3""},{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
jmd-6385ccf63cabf0f24314	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	129	5	XXB	1997-04-30	false	false	5	3	true	就	d	ADV	睇	v	VERB	唔係你要去就有得睇𡃉嚹.	你要睇啱邊個時間去,先至有得睇𡃉.	哦,即係睇下你幾時去,又撞啱有啲團,噉先有得參加囖.	"[{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""}]"	"[{""word"":""唔係"",""pos"":""v"",""jyutping"":""m4hai6""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
jmd-4df92e84dedc9b8e25c5	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	130	18	XXA	1997-04-30	false	false	15	2	true	先	d	ADV	參加	v	VERB	哦,即係睇下你幾時去,又撞啱有啲團,噉先有得參加囖.	唔係你要去就有得睇𡃉嚹.	係唔係啊?	"[{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""}]"	"[{""word"":""哦"",""pos"":""e"",""jyutping"":""o3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""幾時"",""pos"":""r"",""jyutping"":""gei2si4""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""撞"",""pos"":""v"",""jyutping"":""zong6""},{""word"":""啱"",""pos"":""a"",""jyutping"":""aam1""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""啲"",""pos"":""q"",""jyutping"":""di1""},{""word"":""團"",""pos"":""n"",""jyutping"":""tyun4""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""先"",""pos"":""d"",""jyutping"":""sin1""},{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""},{""word"":""參加"",""pos"":""v"",""jyutping"":""caam1gaa1""},{""word"":""囖"",""pos"":""y"",""jyutping"":""lo1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
jmd-8003f2abe5bd40de1f24	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	158	2	XXA	1997-04-30	false	false	2	8	true	度	m	NUM	睇	v	VERB	幾時度有得睇唧噉哩啲,知唔知大概?	噠你老公個朵.	我唔知𡃉.	"[{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""}]"	"[{""word"":""幾時"",""pos"":""r"",""jyutping"":""gei2si4""},{""word"":""度"",""pos"":""m"",""jyutping"":""dou2""},{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""唧"",""pos"":""y"",""jyutping"":""zek1""},{""word"":""噉"",""pos"":""r"",""jyutping"":""gam2""},{""word"":""哩啲"",""pos"":""r"",""jyutping"":""ni1di1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""知"",""pos"":""v"",""jyutping"":""zi1""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""知"",""pos"":""v"",""jyutping"":""zi1""},{""word"":""大概"",""pos"":""d"",""jyutping"":""daai6koi3""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
jmd-82d02d2e694ac3667241	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	109	16	XXA	1997-05-05	false	false	14	17	false	你	r	PRON	你	r	PRON	佢嗰啲預早訂晒貨嗰啲呢,成年訂晒嗰啲,你冇得,你唔可以見到話個市唔好,我而家唔要嚹噉樣啊.	都賺得好多啊?	因為佢係年初嗰陣時一次過冚唪唥收晒你啲錢,成年你訂晒𡃉嘞,噉就,到時啊升𠻺梗係你着數喇,如果唔升嘅時候呢,你就,你就真係冇乜,冇乜著數𡃉咋你真係.	"[{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""}]"	"[{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""嗰啲"",""pos"":""r"",""jyutping"":""go2di1""},{""word"":""預早"",""pos"":""t"",""jyutping"":""jyu6zou2""},{""word"":""訂"",""pos"":""v"",""jyutping"":""deng6""},{""word"":""晒"",""pos"":""u"",""jyutping"":""saai3""},{""word"":""貨"",""pos"":""n"",""jyutping"":""fo3""},{""word"":""嗰啲"",""pos"":""r"",""jyutping"":""go2di1""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""成"",""pos"":""m"",""jyutping"":""seng4""},{""word"":""年"",""pos"":""q"",""jyutping"":""nin4""},{""word"":""訂"",""pos"":""v"",""jyutping"":""deng6""},{""word"":""晒"",""pos"":""u"",""jyutping"":""saai3""},{""word"":""嗰啲"",""pos"":""r"",""jyutping"":""go2di1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""可以"",""pos"":""v"",""jyutping"":""ho2ji5""},{""word"":""見"",""pos"":""v"",""jyutping"":""gin3""},{""word"":""到"",""pos"":""v"",""jyutping"":""dou2""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""個"",""pos"":""q"",""jyutping"":""go3""},{""word"":""市"",""pos"":""n"",""jyutping"":""si5""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""好"",""pos"":""a"",""jyutping"":""hou2""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""而家"",""pos"":""t"",""jyutping"":""ji4gaa1""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""要"",""pos"":""v"",""jyutping"":""jiu3""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":""噉樣"",""pos"":""r"",""jyutping"":""gam2joeng2""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
jmd-21b76d38ad19eaf9d2f3	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	114	13	XXB	1997-05-05	false	false	10	27	true	佢	r	PRON	揀	v	VERB	但係,係喇,我就唔訂,就因為佢冇得揀吖嗎,即係之前都,誒,又唔會話俾咗個sample你睇先至揀噉樣,又冇得揀直程,,一定要訂.	如果唔係𠻺真係好似,要來做收藏品噉.	"係啊,冇啊,好多嘢,好多嘢完全-,佢直程話俾你知有啲嘢""你俾錢喇."	"[{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""}]"	"[{""word"":""但係"",""pos"":""c"",""jyutping"":""daan6hai6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""喇"",""pos"":""y"",""jyutping"":""laa1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""訂"",""pos"":""v"",""jyutping"":""deng6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""因為"",""pos"":""c"",""jyutping"":""jan1wai6""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""},{""word"":""揀"",""pos"":""v"",""jyutping"":""gaan2""},{""word"":""吖"",""pos"":""y"",""jyutping"":""aa1""},{""word"":""嗎"",""pos"":""y"",""jyutping"":""maa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""之前"",""pos"":""t"",""jyutping"":""zi1cin4""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""誒"",""pos"":""e"",""jyutping"":""e6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""會"",""pos"":""vu"",""jyutping"":""wui5""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""俾"",""pos"":""p"",""jyutping"":""bei2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""個"",""pos"":""q"",""jyutping"":""go3""},{""word"":""sample"",""pos"":""xn"",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""先至"",""pos"":""d"",""jyutping"":""sin1zi3""},{""word"":""揀"",""pos"":""v"",""jyutping"":""gaan2""},{""word"":""噉樣"",""pos"":""r"",""jyutping"":""gam2joeng2""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""},{""word"":""揀"",""pos"":""v"",""jyutping"":""gaan2""},{""word"":""直程"",""pos"":""d"",""jyutping"":""zik6cing4""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""訂"",""pos"":""v"",""jyutping"":""deng6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
jmd-ffa9c2ac4b64809e0f1f	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	114	39	XXB	1997-05-05	false	false	32	5	true	又	d	ADV	揀	v	VERB	但係,係喇,我就唔訂,就因為佢冇得揀吖嗎,即係之前都,誒,又唔會話俾咗個sample你睇先至揀噉樣,又冇得揀直程,,一定要訂.	如果唔係𠻺真係好似,要來做收藏品噉.	"係啊,冇啊,好多嘢,好多嘢完全-,佢直程話俾你知有啲嘢""你俾錢喇."	"[{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""}]"	"[{""word"":""但係"",""pos"":""c"",""jyutping"":""daan6hai6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""喇"",""pos"":""y"",""jyutping"":""laa1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""訂"",""pos"":""v"",""jyutping"":""deng6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""因為"",""pos"":""c"",""jyutping"":""jan1wai6""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""},{""word"":""揀"",""pos"":""v"",""jyutping"":""gaan2""},{""word"":""吖"",""pos"":""y"",""jyutping"":""aa1""},{""word"":""嗎"",""pos"":""y"",""jyutping"":""maa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""之前"",""pos"":""t"",""jyutping"":""zi1cin4""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""誒"",""pos"":""e"",""jyutping"":""e6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""會"",""pos"":""vu"",""jyutping"":""wui5""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""俾"",""pos"":""p"",""jyutping"":""bei2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""個"",""pos"":""q"",""jyutping"":""go3""},{""word"":""sample"",""pos"":""xn"",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""先至"",""pos"":""d"",""jyutping"":""sin1zi3""},{""word"":""揀"",""pos"":""v"",""jyutping"":""gaan2""},{""word"":""噉樣"",""pos"":""r"",""jyutping"":""gam2joeng2""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""},{""word"":""揀"",""pos"":""v"",""jyutping"":""gaan2""},{""word"":""直程"",""pos"":""d"",""jyutping"":""zik6cing4""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""訂"",""pos"":""v"",""jyutping"":""deng6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
jmd-e6f23de440a829e7c6f6	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	2	143	8	XXA	1997-05-05	false	false	7	8	true	你	r	PRON	順序	a	ADJ	直版未用過嘅,如果你有得順序連埋霖把𠻺重好𠻹.	直版嗰啲吖嗎.	我有啊,我有好多啊.	"[{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""}]"	"[{""word"":""直版"",""pos"":""n"",""jyutping"":""zik6ban2""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""如果"",""pos"":""c"",""jyutping"":""jyu4gwo2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""},{""word"":""順序"",""pos"":""a"",""jyutping"":""seon6zeoi6""},{""word"":""連"",""pos"":""v"",""jyutping"":""lin4""},{""word"":""埋"",""pos"":""u"",""jyutping"":""maai4""},{""word"":""霖把"",""pos"":""n"",""jyutping"":""lam1baa2""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""重"",""pos"":""d"",""jyutping"":""zung6""},{""word"":""好"",""pos"":""a"",""jyutping"":""hou2""},{""word"":""𠻹"",""pos"":""y"",""jyutping"":""tim1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
