candidate_id	source_file	source_file_sha256	file_index_zero_based	turn_index_zero_based	token_index_zero_based	participant	matched_surface_span	segmentation_profile	matched_hkcancor_tags	matched_ud_tags	immediate_left_form	immediate_left_hkcancor_pos	immediate_left_ud_pos	immediate_right_form	immediate_right_hkcancor_pos	immediate_right_ud_pos	duplicate_group_inputs_json	text	previous_text	next_text	token_context_json	tokens_json	annotation_status
aa82-d8329d2add9c38e5ce5e	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	206	12	XXB	邊度	single_token_bin_dou	r	PRON	近住	a	ADJ	嗰啲	r	PRON	"{""normalizedSurface"":""邊度""}"	唔知喺近住帕斯定係唔知,我唔記得近住邊度嗰啲係好大隻𡃉𡃓.	係咩?	係囖.	"{""startTokenIndexZeroBased"":6,""endTokenIndexExclusive"":19,""tokens"":[{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""知"",""pos"":""v"",""jyutping"":""zi1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""唔記得"",""pos"":""v"",""jyutping"":""m4gei3dak1""},{""word"":""近住"",""pos"":""a"",""jyutping"":""gan6zyu6""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""嗰啲"",""pos"":""r"",""jyutping"":""go2di1""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""好"",""pos"":""d"",""jyutping"":""hou2""},{""word"":""大"",""pos"":""a"",""jyutping"":""daai6""},{""word"":""隻"",""pos"":""q"",""jyutping"":""zek3""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""}]}"	"[{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""知"",""pos"":""v"",""jyutping"":""zi1""},{""word"":""喺"",""pos"":""p"",""jyutping"":""hai2""},{""word"":""近住"",""pos"":""a"",""jyutping"":""gan6zyu6""},{""word"":""帕斯"",""pos"":""ns"",""jyutping"":""paak3si1""},{""word"":""定係"",""pos"":""c"",""jyutping"":""ding6hai6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""知"",""pos"":""v"",""jyutping"":""zi1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""唔記得"",""pos"":""v"",""jyutping"":""m4gei3dak1""},{""word"":""近住"",""pos"":""a"",""jyutping"":""gan6zyu6""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""嗰啲"",""pos"":""r"",""jyutping"":""go2di1""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""好"",""pos"":""d"",""jyutping"":""hou2""},{""word"":""大"",""pos"":""a"",""jyutping"":""daai6""},{""word"":""隻"",""pos"":""q"",""jyutping"":""zek3""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""𡃓"",""pos"":""y"",""jyutping"":""bo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa82-6e397d170dcd468a6a5b	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	216	5	XXB	邊度	single_token_bin_dou	r	PRON	過	u	PART	?		X	"{""normalizedSurface"":""邊度""}"	噉你重去過邊度?	好恐怖.	重去過邊度?	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":7,""tokens"":[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""重"",""pos"":""d"",""jyutping"":""zung6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""重"",""pos"":""d"",""jyutping"":""zung6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa82-b7716d30973e551499fd	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	217	3	XXA	邊度	single_token_bin_dou	r	PRON	過	u	PART	?		X	"{""normalizedSurface"":""邊度""}"	重去過邊度?	噉你重去過邊度?	冇啊,美國啊嗰啲喇.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":5,""tokens"":[{""word"":""重"",""pos"":""d"",""jyutping"":""zung6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""重"",""pos"":""d"",""jyutping"":""zung6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa82-fbbea3cf82ccdc193700	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	231	0	XXB	邊度	single_token_bin_dou	r	PRON				有	v1	VERB	"{""normalizedSurface"":""邊度""}"	邊度有平嘢買,有抵嘢食.	帶隊嗰啲梗係,帶你去啲重點喇.	咪係囖.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":7,""tokens"":[{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""平"",""pos"":""a"",""jyutping"":""peng4""},{""word"":""嘢"",""pos"":""n"",""jyutping"":""je5""},{""word"":""買"",""pos"":""v"",""jyutping"":""maai5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""}]}"	"[{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""平"",""pos"":""a"",""jyutping"":""peng4""},{""word"":""嘢"",""pos"":""n"",""jyutping"":""je5""},{""word"":""買"",""pos"":""v"",""jyutping"":""maai5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""抵"",""pos"":""a"",""jyutping"":""dai2""},{""word"":""嘢"",""pos"":""n"",""jyutping"":""je5""},{""word"":""食"",""pos"":""v"",""jyutping"":""sik6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa82-b23897111121745bb799	FC-009b_v.cha	c9bfd5c37661f770dd4d42712f8484fdeb720eafc25e363ec3779da6aa48cdf5	3	95	3	XXA	邊度	single_token_bin_dou	r	PRON	佢	r	PRON	會	vu	AUX	"{""normalizedSurface"":""邊度""}"	有,佢邊度會跑吖.	冇老師睇住你哋,即係.	佢咪喺嗰度學校等你返來囖.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":8,""tokens"":[{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""會"",""pos"":""vu"",""jyutping"":""wui5""},{""word"":""跑"",""pos"":""v"",""jyutping"":""paau2""},{""word"":""吖"",""pos"":""y"",""jyutping"":""aa1""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""會"",""pos"":""vu"",""jyutping"":""wui5""},{""word"":""跑"",""pos"":""v"",""jyutping"":""paau2""},{""word"":""吖"",""pos"":""y"",""jyutping"":""aa1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa82-a2a5790f5225be4dd80e	FC-013_v.cha	2cf5054351ef94e796f07577f24d4a0b66f4ca79b26047ae046600d3988d223b	6	0	3	XXA	邊度	single_token_bin_dou	r	PRON	去	v	VERB	旅行	v	VERB	"{""normalizedSurface"":""邊度""}"	諗住去邊度旅行嚹?		幾時吖?	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":7,""tokens"":[{""word"":""諗"",""pos"":""v"",""jyutping"":""nam2""},{""word"":""住"",""pos"":""u"",""jyutping"":""zyu6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""旅行"",""pos"":""v"",""jyutping"":""leoi5hang4""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":""?"",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""諗"",""pos"":""v"",""jyutping"":""nam2""},{""word"":""住"",""pos"":""u"",""jyutping"":""zyu6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""旅行"",""pos"":""v"",""jyutping"":""leoi5hang4""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa82-cfb4d17482f551182108	FC-013_v.cha	2cf5054351ef94e796f07577f24d4a0b66f4ca79b26047ae046600d3988d223b	6	26	1	XXA	邊度	single_token_bin_dou	r	PRON	去	v	VERB	好	a	ADJ	"{""normalizedSurface"":""邊度""}"	去邊度好呢如果係就?	是但囖.	你想?	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":8,""tokens"":[{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""好"",""pos"":""a"",""jyutping"":""hou2""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""如果"",""pos"":""c"",""jyutping"":""jyu4gwo2""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""好"",""pos"":""a"",""jyutping"":""hou2""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""如果"",""pos"":""c"",""jyutping"":""jyu4gwo2""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa82-1e87462a7568171acba9	FC-013_v.cha	2cf5054351ef94e796f07577f24d4a0b66f4ca79b26047ae046600d3988d223b	6	172	8	XXB	邊度	single_token_bin_dou	r	PRON	喺	p	ADP	?		X	"{""normalizedSurface"":""邊度""}"	Up-doubling同acting嘅分別喺邊度?	乜嘢actingup,actingdown噉.	Acting咪淨係做一個位囖.	"{""startTokenIndexZeroBased"":2,""endTokenIndexExclusive"":10,""tokens"":[{""word"":""doubling"",""pos"":""xv"",""jyutping"":null},{""word"":""同"",""pos"":""p"",""jyutping"":""tung4""},{""word"":""acting"",""pos"":""xv"",""jyutping"":null},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""分別"",""pos"":""d"",""jyutping"":""fan1bit6""},{""word"":""喺"",""pos"":""p"",""jyutping"":""hai2""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""Up"",""pos"":""xp"",""jyutping"":null},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""doubling"",""pos"":""xv"",""jyutping"":null},{""word"":""同"",""pos"":""p"",""jyutping"":""tung4""},{""word"":""acting"",""pos"":""xv"",""jyutping"":null},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""分別"",""pos"":""d"",""jyutping"":""fan1bit6""},{""word"":""喺"",""pos"":""p"",""jyutping"":""hai2""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa82-86cbada5be90e87b0fbc	FC-018_v.cha	ce62da97ef3381682529717fc362546c42a4f3a268990ca0afafe1a9f696d010	7	96	1	XXC	邊度	single_token_bin_dou	r	PRON	響	p	ADP	來	v	VERB	"{""normalizedSurface"":""邊度""}"	響邊度來𡃉?	又話乜嘢醫乜嘢病醫乜嘢病,誒,點樣點樣噉嗰啲呢.	桂林醫-誒,誒,誒,中醫醫院囖.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":5,""tokens"":[{""word"":""響"",""pos"":""p"",""jyutping"":""hoeng2""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""來"",""pos"":""v"",""jyutping"":""lai4""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""?"",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""響"",""pos"":""p"",""jyutping"":""hoeng2""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""來"",""pos"":""v"",""jyutping"":""lai4""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa82-9a1fe278bf642f125c46	FC-025_v.cha	de4c852f32310e64c446e91363e0db7332531bc8026287ddd750d7a6388f7131	12	352	1	XXY	邊度	single_token_bin_dou	r	PRON	喺	p	ADP	飲茶	v	VERB	"{""normalizedSurface"":""邊度""}"	喺邊度飲茶啊話時話?	有冇請飲茶噉啊?	應該去啲好高級嘅地方𡃉佢,會唔會啊?	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":6,""tokens"":[{""word"":""喺"",""pos"":""p"",""jyutping"":""hai2""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""飲茶"",""pos"":""v"",""jyutping"":""jam2caa4""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""話時話"",""pos"":""l"",""jyutping"":""waa6si4waa6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""喺"",""pos"":""p"",""jyutping"":""hai2""},{""word"":""邊度"",""pos"":""r"",""jyutping"":""bin1dou6""},{""word"":""飲茶"",""pos"":""v"",""jyutping"":""jam2caa4""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""話時話"",""pos"":""l"",""jyutping"":""waa6si4waa6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
