source_id	citation	uri	verification	locator	profile	verified_claim	limitation
SRC-XIA-2025-CLA-CLASSIFIER-MEASURE	Xia, Hengliang. 2025. Syntax of Classifiers and Measure Words in Three Chinese Languages. Proceedings of the 2025 Annual Conference of the Canadian Linguistic Association.	https://cla-acl.ca/pdfs/actes-2025/Xia-CLA-2025.pdf	VERIFIED_OFFICIAL_FULL_TEXT	pp. 1–9; sections 1–5; examples 6–7 and 11–15; Table 1	Cantonese classifier and measure-word distribution	Distinguishes individual, kind, and individuating classifiers from container, group, partitive, and standard measure words; reports that Cantonese classifiers and measure words differ in preverbal bare, adjective, possessor, and Num-Adj profiles; shows Cantonese CL-N coordination and numeral-insertion behavior; proposes right-branching classifier and left-branching measure structures.	The Cantonese survey had seven valid Hong Kong or Guangzhou responses from fourteen recruits, and several judgements are gradient. The proposed branching analysis is one account; exact item typing and broader population scope need corroboration.
SRC-BOND-SIO-2024-CLASSIFIERS	Bond, Francis, and Joanna Ut-Seong Sio. 2024. A Construction-based Approach to Cantonese Classifiers. Proceedings of the 31st International Conference on Head-Driven Phrase Structure Grammar, 60–75.	https://doi.org/10.21248/hpsg.2024.4	VERIFIED_OFFICIAL_FULL_TEXT	pp. 61–67; Table 1; examples 1 and 3–5; Figure 2	Cantonese classifier NP constructions	Distinguishes D-(X)-C-N, X-C-N, C-N, and N constructions; analyzes classifier phrases with and without an overt numeral separately and assigns no-numeral phrases semantic cardinality one.	The HPSG analysis does not provide an exhaustive classifier lexicon or a binary noun-pair compatibility table. Semantic cardinality one is not a hidden surface numeral.
SRC-CHENG-SYBESMA-2014-NP-STRUCTURE	Cheng, Lisa Lai-Shen, and Rint Sybesma. 2014. The Syntactic Structure of Noun Phrases. In The Handbook of Chinese Linguistics, 248–274.	https://doi.org/10.1002/9781118584552.ch10	VERIFIED_AUTHOR_UPLOADED_FULL_TEXT_AND_PUBLISHER_METADATA	pp. 248–251; examples 1–9	Cantonese NP order, classifier phrases, and noun ellipsis	Documents [Dem (Num) CL N], bare CL-N, and classifier-supported noun ellipsis; argues that Cantonese CL-N does not require a covert numeral; treats classifier syntax and interpretation as variety-sensitive.	The chapter compares theories and does not assign every Cantonese unit word to one category or establish all noun-pair preferences.
SRC-MATTHEWS-YIP-COMPREHENSIVE-CH6	Matthews, Stephen, and Virginia Yip. Cantonese: A Comprehensive Grammar, multimedia Chapter 6, The noun phrase.	https://www.cuhk.edu.hk/lin/cbrc/CantoneseGrammar/multimedia/06.htm	VERIFIED_AUTHORITATIVE_EDUCATIONAL_FULL_TEXT	Sections 6.1.1–6.3.2	Cantonese classifiers, measures, alternatives, and noun phrases	Separately illustrates sortal classifiers, measure and quantity expressions, alternative classifiers, demonstrative-classifier NPs, bare classifier NPs, and possessive or modifier-bearing classifier structures.	Edited examples provide strong occurrence and contrast evidence but not a complete source-ranked compatibility matrix or one mandatory theoretical taxonomy.
SRC-TSE-LI-LEUNG-2007-CLASSIFIER-ACQUISITION	Tse, Shek Kam, Hui Li, and Shing On Leung. 2007. The acquisition of Cantonese classifiers by preschool children in Hong Kong. Journal of Child Language 34(3):495–517.	https://doi.org/10.1017/S0305000906007975	VERIFIED_PEER_REVIEWED_FULL_TEXT_AND_HKU_REPOSITORY_METADATA	Abstract, typology, spontaneous-speech method, and classifier-production results	Cantonese classifier inventory and child use	Finds a productive repertoire of 73 classifier types in spontaneous speech from 492 preschool children; reports broad use of general 個 and the influence of semantic, syntactic, cognitive, and contextual factors.	Child production can reveal acquisition and overextension but cannot by itself define adult preferred pairings or categorical ungrammaticality.
SRC-ERBAUGH-2013-CLASSIFIER-DISCOURSE	Erbaugh, Mary S. 2013. Classifier choices in discourse across the seven main Chinese dialects. In Increased Empiricism: Recent Advances in Chinese Linguistics, 101–126.	https://doi.org/10.1075/scld.2.05erb	VERIFIED_PUBLISHER_METADATA_AND_ABSTRACT	Cross-dialect Pear Stories discourse results	General, sortal, and alternative classifier choices	Reports that general classifiers dominate Cantonese discourse, sortals are comparatively infrequent, and synonymous or alternative sortals constitute a substantial portion of Cantonese sortal use.	Discourse frequency does not establish unrestricted substitution or the acceptability of a particular pair in every construction, register, or interpretation.
SRC-NAGY-LO-2019-CANTONESE-CLASSIFIERS	Nagy, Naomi, and Samuel Lo. 2019. Classifier use in Heritage and Hong Kong Cantonese. Asia-Pacific Language Variation 5(1):84–108.	https://doi.org/10.1075/aplv.17001.nag	VERIFIED_PUBLISHER_METADATA_AND_AUTHOR_INSTITUTIONAL_ABSTRACT	Abstract and spontaneous-speech comparison	Population and number effects on classifier choice	Finds similar strong preferences for general and mass classifiers in Hong Kong and Toronto heritage speech, classifier choice primarily governed by noun number, and increasing specialization of 個 toward singular nouns.	The abstract does not provide item-level sentence judgements. Population patterns cannot be converted directly into a lexical compatibility decision.
SRC-SYBESMA-2017-NOMINAL-CLASSIFIERS	Sybesma, Rint. 2017. Classifiers, Nominal. Encyclopedia of Chinese Language and Linguistics, vol. 1, 620–627.	https://www.researchgate.net/publication/319059228_Classifiers_Nominal	VERIFIED_AUTHOR_UPLOADED_FULL_TEXT_AND_PUBLISHER_METADATA	Section Sortals and measures; Cantonese and Mandarin examples	Sortal versus measure distinction	Defines sortal classifiers as naming an inherent semantic unit and measure expressions as creating a unit for counting or measuring; discusses functional and lexical properties in Cantonese and Mandarin.	The encyclopedia treatment is a broad theoretical overview and does not decide every polyfunctional Cantonese item or parser implementation.
SRC-HER-HSIEH-2010-C-M-SEMANTICS	Her, One-Soon, and Chen-Tien Hsieh. 2010. On the Semantic Distinction between Classifiers and Measure Words in Chinese. Language and Linguistics 11(3):527–551.	https://ah.lib.nccu.edu.tw/item?item_id=69497	VERIFIED_OPEN_ACCESS_METADATA_AND_FULL_TEXT_LINK	Refined semantic diagnostics and discussion of essential versus accidental properties	Cross-Chinese classifier and measure diagnostics	Argues that classifiers and measure words are semantically distinguishable and develops refined tests after rejecting simpler de-insertion and adjective-modification diagnostics as unreliable.	The principal data are not a Cantonese item inventory. The diagnostics inform category design but cannot replace Cantonese construction-specific evidence.
SRC-HER-2012-C-M-MATHEMATICAL	Her, One-Soon. 2012. Distinguishing classifiers and measure words: A mathematical perspective and implications. Lingua 122(14):1668–1691.	https://doi.org/10.1016/j.lingua.2012.08.012	VERIFIED_PUBLISHER_FULL_ABSTRACT_AND_ARTICLE_METADATA	Abstract, highlights, and classifier/measure taxonomy	Semantic values of classifiers and measures	Proposes that both classifiers and measures act as multiplicands, but a classifier has value one while a measure word has a non-one measure value; reviews terminology and structural disagreements.	The formal semantic distinction is cross-Chinese and theory-dependent. It does not license hidden numerals or classify a Cantonese lexeme without construction-specific evidence.
