edge_id	claim_id	claim_text	source_id	relation	verification_state	evidence_scope	limitation	acceptance_effect
PROG01-E001	PROG01-C01	Postverbal 緊 marks progressive aspect relative to a reference time.	SRC-KATAOKA-2018-PROGRESSIVE-GAN	supports	VERIFIED_OFFICIAL_FULL_TEXT	pp. 134-136; examples (2), (8)-(10); modern corpus counts	Terminology and discourse analysis do not establish Canto Span node boundaries.	research_support_only
PROG01-E002	PROG01-C02	Main-clause dynamic V緊O is attested and contrasts with V住.	SRC-FAN-2024-JAU-VP-ASPECT	supports_and_restricts	VERIFIED_OFFICIAL_FULL_TEXT	pp. 7-8; examples (6)-(9)	The article advances a particular dynamic/static and nominalization analysis not adopted wholesale.	research_support_only
PROG01-E003	PROG01-C03	緊 is distinct from 住, 過, 咗, and 吓 in the outer-aspect inventory.	SRC-SIO-BOND-2025	supports_component	VERIFIED_PUBLISHED_FULL_TEXT	Table 2 and section 3.1	The HPSG implementation is explicitly partial and does not establish exhaustive compatibility.	research_support_only
PROG01-E004	PROG01-C04	A closed action-verb list cannot define all V緊 compatibility.	SRC-KATAOKA-2018-PROGRESSIVE-GAN	restricts_runtime_heuristic	VERIFIED_OFFICIAL_FULL_TEXT	examples 嚟緊, 病緊, 買緊樓; corpus examples	Occurrence does not prove unrestricted productivity.	blocks_action_verb_as_language_claim
PROG01-E005	PROG01-C05	有 + V緊 is disputed, rare, and context-sensitive rather than categorically absent.	SRC-FAN-2024-JAU-VP-ASPECT	records_variation_and_boundary	VERIFIED_OFFICIAL_FULL_TEXT	pp. 4-5 notes and example (5); pp. 22-23 example (24b)	One study and its judgments do not settle population-wide acceptability or innovation status.	exclude_from_candidate_pending_research
PROG01-E006	PROG01-C06	The tested future/modal 會 + V緊 context is rejected.	SRC-FAN-2024-JAU-VP-ASPECT	negative_boundary	VERIFIED_OFFICIAL_FULL_TEXT	p. 8 example (9b)	Do not generalize from one contrast to every modal or future progressive context.	visible_negative_boundary_only
PROG01-E007	PROG01-C07	問緊錫條同埋錫線 occurs in direct Cantonese hearing dialogue.	SRC-COI-DRINKING-WATER-2016-0111	natural_attestation	VERIFIED_OFFICIAL_TRANSCRIPT	PDF viewer p. 75; transcript lines 5241-5244	One coordinated-object token in one proceeding; occurrence only.	counts_toward_occurrence_threshold
PROG01-E008	PROG01-C07	我哋而家睇緊呢個 occurs in direct official hearing dialogue.	SRC-IC-WANG-FUK-2026-0423	natural_attestation	VERIFIED_OFFICIAL_TRANSCRIPT	PDF p. 5; transcript lines 136-138	One demonstrative-object token in one proceeding; occurrence only.	counts_toward_occurrence_threshold
PROG01-E009	PROG01-C07	我哋而家就睇緊啲九巴嘅數據 occurs in a live interpreted hearing transcript.	SRC-IRC-BUS-2018-1006	documentary_attestation	VERIFIED_OFFICIAL_TRANSCRIPT	PDF p. 43; transcript lines 1460-1462	The Cantonese line is marked as interpreted speech; it is not evidence about the original speaker or spontaneous non-interpreted production.	supplementary_occurrence_only
PROG01-E010	PROG01-C07	佢喺屋企整緊布甸 occurs in the modern vernacular corpus reported by Kataoka.	SRC-KATAOKA-2018-PROGRESSIVE-GAN	corpus_attestation	VERIFIED_OFFICIAL_FULL_TEXT	p. 137 corpus summary and example	The source corpus is edited radio-drama/book dialogue, not spontaneous conversation.	counts_toward_occurrence_threshold_with_quality_limit
