pattern	prior_status	current_linguistic_status	status_reason	source_reverification	manual_example_review	first_speaker_record	second_speaker_record	code_document_alignment	negative_boundary_record	implementation_test_record	provisional_eligible	supported_productive_eligible	provisional_blockers	productive_blockers	next_action
DegreeStativePredicate	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
OvertHeadDemonstrativeClassifierNP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	source_linked_visible_packet_headless_overt_numeral_di_wh_and_incomplete_boundaries	SEALED_EXTERNAL_PACKET_VERIFIED_UNOPENED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim;obsidian_render;sealed_heldout_evaluation_after_linguistic_gates	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
DiMarkedNP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
DirectionalMotionVP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
ExperientialVP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
IntendedFunctionRelation	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	NOT_RECORDED	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	CP015_58_ROW_AND_CP019_64_ROW_FROZEN_BOUNDARIES	CP019_R2_FROZEN_64_ROW_HEADLESS_REVIEW_PENDING_RENDERED_ACCEPTANCE	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
LexicalGiveRelation	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	NO_CANDIDATE_HITS_RECORDED	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	CP021B_FROZEN_24_ROW_DESIGN_BOUNDARIES	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
ModalVP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
ModifiedNP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
ModifierNP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
NegatedDirectionalMotionVP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
