id	item_type	duplicate_status	terminal_classification	evidence_use	accepted_duplicate_targets	implementation_crosswalk_targets	discrepancy_status	research_route_ids	review_note
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I001	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I002	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R04;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I003	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I004	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I005	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R05;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I006	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I007	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I008	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I009	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R04;D4-R13;D4-R14;D4-R15	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I010	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R06;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I011	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I012	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I013	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R07;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I014	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I015	stage_direction	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_stage_context_attestation_only				D4-R01;D4-R02;D4-R03;D4-R14	Retained as a non-spoken stage-context attestation with event adjacency only; it is not a spoken syntax or productivity claim.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I016	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I017	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I018	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R04;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I019	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R05;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I020	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I021	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R08;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I022	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R08;D4-R13;D4-R14;D4-R15	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I023	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I024	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R09;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
