runtime_label	mismatch_type	runtime_state	current_governance_state	required_runtime_action
DegreeStativePredicate	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
DiMarkedNP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
DirectionalMotionVP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
ExperientialVP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
IntendedFunctionRelation	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
LexicalGiveRelation	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
ModalVP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
ModifiedNP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
ModifierNP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
NegatedDirectionalMotionVP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
NegatedExistentialFragment	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
OvertHeadDemonstrativeClassifierNP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
PassivePermissiveRelation	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
PerfectiveVP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
PostThemeParticipantRelation	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
PostverbalZoPerfectiveVP	STATUS_MISMATCH	supported_productive	provisional_reaudit	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
QuantifiedClassifierNP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
QuantityNP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
ReportedSpeech	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
ResourceUseLaiFunctionRelation	STATUS_MISMATCH	supported_productive	provisional_reaudit	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
TemporalClause	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
TransitiveVP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
