candidate_id	source_file	source_file_sha256	file_index_zero_based	turn_index_zero_based	token_index_zero_based	participant	matched_surface_span	matched_form	matched_hkcancor_pos	matched_ud_pos	utterance_initial_lexical	preceding_lexical_token_count	following_lexical_token_count	immediate_left_form	immediate_left_ud_pos	nominal_start_form	nominal_start_hkcancor_pos	nominal_start_ud_pos	nominal_start_token_index_zero_based	has_later_predicate_candidate	later_predicate_form	later_predicate_ud_pos	later_predicate_token_index_zero_based	text	previous_text	next_text	preceding_material_tokens_json	duplicate_group_inputs_json	tokens_json	annotation_status
aa56-1de382c4dabbe5633f55	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	18	0	XXA	冇	冇	v1	VERB	True	0	2			嘢	n	NOUN	1	True	做	VERB	2	冇嘢做.	淨係去Orlando嗰度玩咋喎.	噉咪食同玩咪啱.	[]	"{""matchedForm"":""冇"",""nominalStartForm"":""嘢"",""nominalStartPos"":""n""}"	"[{""word"":""冇"",""pos"":""v1"",""jyutping"":""mou5""},{""word"":""嘢"",""pos"":""n"",""jyutping"":""je5""},{""word"":""做"",""pos"":""v"",""jyutping"":""zou6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa56-30a1af583d05270d767f	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	20	6	XXA	冇	冇	v1	VERB	False	5	5	裏邊	ADV	乜嘢	r	PRON	7	True	食	VERB	8	係裏邊食囖,裏邊冇乜嘢食𡃉咋喎.	噉咪食同玩咪啱.	係唔係啊?	"[{""word"":""係"",""pos"":""v"",""jyutping"":""hai6"",""udPos"":""VERB""},{""word"":""裏邊"",""pos"":""f"",""jyutping"":""leoi5bin6"",""udPos"":""ADV""},{""word"":""食"",""pos"":""v"",""jyutping"":""sik6"",""udPos"":""VERB""},{""word"":""囖"",""pos"":""y"",""jyutping"":""lo1"",""udPos"":""PART""},{""word"":"","",""pos"":"""",""jyutping"":null,""udPos"":""X""},{""word"":""裏邊"",""pos"":""f"",""jyutping"":""leoi5bin6"",""udPos"":""ADV""}]"	"{""matchedForm"":""冇"",""nominalStartForm"":""乜嘢"",""nominalStartPos"":""r""}"	"[{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""裏邊"",""pos"":""f"",""jyutping"":""leoi5bin6""},{""word"":""食"",""pos"":""v"",""jyutping"":""sik6""},{""word"":""囖"",""pos"":""y"",""jyutping"":""lo1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""裏邊"",""pos"":""f"",""jyutping"":""leoi5bin6""},{""word"":""冇"",""pos"":""v1"",""jyutping"":""mou5""},{""word"":""乜嘢"",""pos"":""r"",""jyutping"":""mat1je5""},{""word"":""食"",""pos"":""v"",""jyutping"":""sik6""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""咋"",""pos"":""y"",""jyutping"":""zaa3""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa56-e35487fa8deb271582ba	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	42	9	XXA	有	有	v1	VERB	False	8	11	裏面	ADV	啲	q	NOUN	10	True	有	VERB	16	借俾你睇喎,睇下裏面有啲乜嘢酒店啊,同埋有啲乜嘢嘢玩嚹.	佢直程可以俾餅帶你呢.	直程可以租,借餅帶俾你返屋企睇喎.	"[{""word"":""借"",""pos"":""v"",""jyutping"":""ze3"",""udPos"":""VERB""},{""word"":""俾"",""pos"":""p"",""jyutping"":""bei2"",""udPos"":""ADP""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5"",""udPos"":""PRON""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2"",""udPos"":""VERB""},{""word"":""喎"",""pos"":""y1"",""jyutping"":""wo3"",""udPos"":""PART""},{""word"":"","",""pos"":"""",""jyutping"":null,""udPos"":""X""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2"",""udPos"":""VERB""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5"",""udPos"":""PART""},{""word"":""裏面"",""pos"":""f"",""jyutping"":""leoi5min6"",""udPos"":""ADV""}]"	"{""matchedForm"":""有"",""nominalStartForm"":""啲"",""nominalStartPos"":""q""}"	"[{""word"":""借"",""pos"":""v"",""jyutping"":""ze3""},{""word"":""俾"",""pos"":""p"",""jyutping"":""bei2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""喎"",""pos"":""y1"",""jyutping"":""wo3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""裏面"",""pos"":""f"",""jyutping"":""leoi5min6""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""啲"",""pos"":""q"",""jyutping"":""di1""},{""word"":""乜嘢"",""pos"":""r"",""jyutping"":""mat1je5""},{""word"":""酒店"",""pos"":""n"",""jyutping"":""zau2dim3""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""同埋"",""pos"":""c"",""jyutping"":""tung4maai4""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""啲"",""pos"":""q"",""jyutping"":""di1""},{""word"":""乜嘢"",""pos"":""r"",""jyutping"":""mat1je5""},{""word"":""嘢"",""pos"":""n"",""jyutping"":""je5""},{""word"":""玩"",""pos"":""v"",""jyutping"":""waan2""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa56-713fa4f9f79420b4c261	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	42	16	XXA	有	有	v1	VERB	False	14	5	同埋	CCONJ	啲	q	NOUN	17	True	玩	VERB	20	借俾你睇喎,睇下裏面有啲乜嘢酒店啊,同埋有啲乜嘢嘢玩嚹.	佢直程可以俾餅帶你呢.	直程可以租,借餅帶俾你返屋企睇喎.	"[{""word"":""借"",""pos"":""v"",""jyutping"":""ze3"",""udPos"":""VERB""},{""word"":""俾"",""pos"":""p"",""jyutping"":""bei2"",""udPos"":""ADP""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5"",""udPos"":""PRON""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2"",""udPos"":""VERB""},{""word"":""喎"",""pos"":""y1"",""jyutping"":""wo3"",""udPos"":""PART""},{""word"":"","",""pos"":"""",""jyutping"":null,""udPos"":""X""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2"",""udPos"":""VERB""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5"",""udPos"":""PART""},{""word"":""裏面"",""pos"":""f"",""jyutping"":""leoi5min6"",""udPos"":""ADV""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5"",""udPos"":""VERB""},{""word"":""啲"",""pos"":""q"",""jyutping"":""di1"",""udPos"":""NOUN""},{""word"":""乜嘢"",""pos"":""r"",""jyutping"":""mat1je5"",""udPos"":""PRON""},{""word"":""酒店"",""pos"":""n"",""jyutping"":""zau2dim3"",""udPos"":""NOUN""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3"",""udPos"":""PART""},{""word"":"","",""pos"":"""",""jyutping"":null,""udPos"":""X""},{""word"":""同埋"",""pos"":""c"",""jyutping"":""tung4maai4"",""udPos"":""CCONJ""}]"	"{""matchedForm"":""有"",""nominalStartForm"":""啲"",""nominalStartPos"":""q""}"	"[{""word"":""借"",""pos"":""v"",""jyutping"":""ze3""},{""word"":""俾"",""pos"":""p"",""jyutping"":""bei2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""喎"",""pos"":""y1"",""jyutping"":""wo3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""裏面"",""pos"":""f"",""jyutping"":""leoi5min6""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""啲"",""pos"":""q"",""jyutping"":""di1""},{""word"":""乜嘢"",""pos"":""r"",""jyutping"":""mat1je5""},{""word"":""酒店"",""pos"":""n"",""jyutping"":""zau2dim3""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""同埋"",""pos"":""c"",""jyutping"":""tung4maai4""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""啲"",""pos"":""q"",""jyutping"":""di1""},{""word"":""乜嘢"",""pos"":""r"",""jyutping"":""mat1je5""},{""word"":""嘢"",""pos"":""n"",""jyutping"":""je5""},{""word"":""玩"",""pos"":""v"",""jyutping"":""waan2""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa56-ed1edf4d9d8e2bf7e60c	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	66	2	XXA	有	有	v1	VERB	False	2	7	都	ADV	人	n	NOUN	3	True	放	VERB	5	嗰邊都有人未放完暑假𡃉咩?	係啊.	唔清楚.	"[{""word"":""嗰邊"",""pos"":""r"",""jyutping"":""go2bin1"",""udPos"":""PRON""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1"",""udPos"":""ADV""}]"	"{""matchedForm"":""有"",""nominalStartForm"":""人"",""nominalStartPos"":""n""}"	"[{""word"":""嗰邊"",""pos"":""r"",""jyutping"":""go2bin1""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""人"",""pos"":""n"",""jyutping"":""jan4""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""放"",""pos"":""Vg"",""jyutping"":""fong3""},{""word"":""完"",""pos"":""u"",""jyutping"":""jyun4""},{""word"":""暑假"",""pos"":""n"",""jyutping"":""syu2gaa3""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""咩"",""pos"":""y"",""jyutping"":""me1""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa56-629144e154f5a9acecd7	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	78	9	XXB	有	有	v1	VERB	False	8	13	嗰度	PRON	乜嘢	r	PRON	10	True	平	ADJ	11	要等我老公,睇下佢嗰度有乜嘢平嘅,即係平嘅package,咪睇下去邊囖.	未定啊.	你想去邊喇噉樣?	"[{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3"",""udPos"":""AUX""},{""word"":""等"",""pos"":""v"",""jyutping"":""dang2"",""udPos"":""VERB""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5"",""udPos"":""PRON""},{""word"":""老公"",""pos"":""n"",""jyutping"":""lou5gung1"",""udPos"":""NOUN""},{""word"":"","",""pos"":"""",""jyutping"":null,""udPos"":""X""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2"",""udPos"":""VERB""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5"",""udPos"":""PART""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5"",""udPos"":""PRON""},{""word"":""嗰度"",""pos"":""r"",""jyutping"":""go2dou6"",""udPos"":""PRON""}]"	"{""matchedForm"":""有"",""nominalStartForm"":""乜嘢"",""nominalStartPos"":""r""}"	"[{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""等"",""pos"":""v"",""jyutping"":""dang2""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""老公"",""pos"":""n"",""jyutping"":""lou5gung1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""嗰度"",""pos"":""r"",""jyutping"":""go2dou6""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""乜嘢"",""pos"":""r"",""jyutping"":""mat1je5""},{""word"":""平"",""pos"":""a"",""jyutping"":""peng4""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""即係"",""pos"":""d"",""jyutping"":""zik1hai6""},{""word"":""平"",""pos"":""a"",""jyutping"":""peng4""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""package"",""pos"":""xn"",""jyutping"":null},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""咪"",""pos"":""d"",""jyutping"":""mai6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""邊"",""pos"":""r"",""jyutping"":""bin1""},{""word"":""囖"",""pos"":""y"",""jyutping"":""lo1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa56-1b79d36fa760fe0b60f5	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	94	2	XXB	有	有	v1	VERB	False	1	9	,	X	人	n	NOUN	3	True	叫	VERB	4	誒,有人叫New_Zealand即係紐,又照譯紐西蘭.	不過新西-紐西蘭係唔係都-紐西蘭定新西蘭唧究竟?	有啲叫做新西蘭.	"[{""word"":""誒"",""pos"":""e"",""jyutping"":""e6"",""udPos"":""INTJ""},{""word"":"","",""pos"":"""",""jyutping"":null,""udPos"":""X""}]"	"{""matchedForm"":""有"",""nominalStartForm"":""人"",""nominalStartPos"":""n""}"	"[{""word"":""誒"",""pos"":""e"",""jyutping"":""e6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""人"",""pos"":""n"",""jyutping"":""jan4""},{""word"":""叫"",""pos"":""v"",""jyutping"":""giu3""},{""word"":""New_Zealand"",""pos"":""xns"",""jyutping"":null},{""word"":""即係"",""pos"":""d"",""jyutping"":""zik1hai6""},{""word"":""紐"",""pos"":""x"",""jyutping"":""nau5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""照"",""pos"":""vd"",""jyutping"":""ziu3""},{""word"":""譯"",""pos"":""v"",""jyutping"":""jik6""},{""word"":""紐西蘭"",""pos"":""ns"",""jyutping"":""nau5sai1laan4""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa56-595760b22663363edc62	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	95	0	XXB	有	有	v1	VERB	True	0	3			啲	q	NOUN	1	True	叫做	VERB	2	有啲叫做新西蘭.	誒,有人叫New_Zealand即係紐,又照譯紐西蘭.	其實都係一樣,一個地方.	[]	"{""matchedForm"":""有"",""nominalStartForm"":""啲"",""nominalStartPos"":""q""}"	"[{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""啲"",""pos"":""q"",""jyutping"":""di1""},{""word"":""叫做"",""pos"":""v"",""jyutping"":""giu3zou6""},{""word"":""新西蘭"",""pos"":""ns"",""jyutping"":""san1sai1laan4""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa56-f6ce9fd00dd78c3cd1b0	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	101	0	XXB	有	有	v1	VERB	True	0	6			海豚	n	NOUN	1	True	有	VERB	3	有海豚定係有鯨魚睇𡃉.	係囖.	有啲觀團,可以出海.	[]	"{""matchedForm"":""有"",""nominalStartForm"":""海豚"",""nominalStartPos"":""n""}"	"[{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""海豚"",""pos"":""n"",""jyutping"":""hoi2tyun4""},{""word"":""定係"",""pos"":""c"",""jyutping"":""ding6hai6""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""鯨魚"",""pos"":""n"",""jyutping"":""king4jyu4""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa56-09d9a98ebf0abb6b4044	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	101	3	XXB	有	有	v1	VERB	False	3	3	定係	CCONJ	鯨魚	n	NOUN	4	True	睇	VERB	5	有海豚定係有鯨魚睇𡃉.	係囖.	有啲觀團,可以出海.	"[{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5"",""udPos"":""VERB""},{""word"":""海豚"",""pos"":""n"",""jyutping"":""hoi2tyun4"",""udPos"":""NOUN""},{""word"":""定係"",""pos"":""c"",""jyutping"":""ding6hai6"",""udPos"":""CCONJ""}]"	"{""matchedForm"":""有"",""nominalStartForm"":""鯨魚"",""nominalStartPos"":""n""}"	"[{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""海豚"",""pos"":""n"",""jyutping"":""hoi2tyun4""},{""word"":""定係"",""pos"":""c"",""jyutping"":""ding6hai6""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""鯨魚"",""pos"":""n"",""jyutping"":""king4jyu4""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
