surface	jyutping	runtime_syntax	runtime_profile	relevant_tags	runtime_note	evidence_status
放鬆	fong3 sung1	verb action_verb	GENERIC_ACTION_TAG	action_verb	relax; W17 lexicon expansion.	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
離題	lei4 tai4	verb topic_management_verb	VERB_NO_GENERAL_VALENCY_TAG		go off topic; W17 COR-002 lexical coverage.	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
存	cyun4	verb existence_storage_verb	VERB_NO_GENERAL_VALENCY_TAG		store/exist; W17 phonics expansion.	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
聯	lyun4	verb connection_verb	VERB_NO_GENERAL_VALENCY_TAG		connect/unite; W17 phonics expansion.	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
戴	daai3	verb transitive_affordance wearing_action	TRANSITIVE_TAG	transitive_affordance	wear / put on	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
寄	gei3	verb transitive_affordance transfer_action	TRANSITIVE_TAG	transitive_affordance	send / mail	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
食	sik6	verb transitive_affordance chain_select_edible	TRANSITIVE_TAG	transitive_affordance	eat	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
切	cit3	verb action_verb transitive_affordance	TRANSITIVE_TAG	transitive_affordance,action_verb	cut; added for the sourced 用嚟 function example and ordinary lexical coverage.	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
畫	waa2	verb action_verb transitive_affordance	TRANSITIVE_TAG	transitive_affordance,action_verb	draw / paint.	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
畫畫	waa2 waa2	verb action_verb	GENERIC_ACTION_TAG	action_verb	draw / do drawing.	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
飲	jam2	verb transitive_affordance chain_select_drinkable	TRANSITIVE_TAG	transitive_affordance	drink	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
睇	tai2	verb transitive_affordance chain_select_perception	TRANSITIVE_TAG	transitive_affordance	look/read/watch	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
聽	teng1	verb	VERB_NO_GENERAL_VALENCY_TAG		listen/hear	RUNTIME_HEURISTIC_NOT_LINGUISTIC_EVIDENCE
