id	ordinal	item_type	event_ordinal	turn	speaker	stage_direction_ordinal	vocabulary_ordinal	source_cantonese	source_jyutping_or_romanization	source_english	source_hash	previous_event_id	next_event_id	previous_turn_id	next_turn_id	deduplication_relation	ingress_classification	runtime_lexical_owners	canonical_exact_owners	supporting_exact_owners	review_flags	review_state
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I001	1	dialog_turn	1	1	阿輝			唔好意思,我要走喇。	/Aa3 Fai1: M4 hou2 ji3 si1, ngo5 jiu3 zau2 laa3./		sha256:f1344c106d01988145ca1b564a5980eab2e419f8a80153af35d7dfe426b66cd3		GLOSSIKA-YUEHK-A1-DLG-004-20251221-I002		GLOSSIKA-YUEHK-A1-DLG-004-20251221-I002	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I002	2	dialog_turn	2	2	阿珊			而家?會議未完喎。	/Aa3 Saan1: Ji4 gaa1? Wui5 ji5 mei6 jyun4 wo3./		sha256:e7b6398304063b6b0f3037baa65b9705b38f16c637677306289ee3cb1d75f01c	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I001	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I003	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I001	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I003	no_project_match	naturalness_review_candidate				naturalness_review_candidate|temporal_fragment_question|negative_completion_mei6|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I003	3	dialog_turn	3	3	阿輝			我知,不過我有嘢做。	/Aa3 Fai1: Ngo5 zi1, bat1 gwo3 ngo5 jau5 je5 zou6./		sha256:41448a9a1bdc09d33f598bfc9a708d73309b909d580c83e7c68ae55de6151b6e	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I002	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I004	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I002	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I004	no_project_match	new_attestation				existential_have_task_expression|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I004	4	dialog_turn	4	4	阿珊			係咩事呀?	/Aa3 Saan1: Hai6 me1 si6 aa3?/		sha256:5de8aaf0a93e465c2b85e6ef39621c08a3a77dce724db5cc129abb39ba0873ad	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I003	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I005	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I003	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I005	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I005	5	dialog_turn	5	5	阿輝			我要接仔女放學。	/Aa3 Fai1: Ngo5 jiu3 zip3 zai2 neoi5 fong3 hok6./		sha256:6da7a9f2e3f40c34bc30cfaf0411b7479537a088b03959e6ef850f89025e4d71	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I004	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I006	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I004	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I006	no_project_match	naturalness_review_candidate				naturalness_review_candidate|pickup_school_serial_or_purpose_chain|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I006	6	dialog_turn	6	6	阿珊			哦,幾點放學呀?	/Aa3 Saan1: O4, gei2 dim2 fong3 hok6 aa3?/		sha256:14d0ee850bb01b6d1bd203995e8746002257ee1151ca335c5e74b4b3351883eb	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I005	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I007	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I005	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I007	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I007	7	dialog_turn	7	7	阿輝			三點半,而家三點喇。	/Aa3 Fai1: Saam1 dim2 bun3, ji4 gaa1 saam1 dim2 laa3./		sha256:c1934dee6703788e39c865bf85d8f6b91348331a2b0d6af67f8258565bb8ac32	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I006	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I008	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I006	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I008	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I008	8	dialog_turn	8	8	阿珊			咁你要快啲走!	/Aa3 Saan1: Gam2 nei5 jiu3 faai3 di1 zau2!/		sha256:4820446ff9fc250ae58526cd2b544ff019a9c9ab61dbed1babff7904b4042d71	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I007	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I009	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I007	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I009	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I009	9	dialog_turn	9	9	阿輝			但係會議仲未完...	/Aa3 Fai1: Daan6 hai6 wui5 ji5 zung6 mei6 jyun4.../		sha256:6762ed6662a8376fb9971834dd6d3bbfa127e2093611036200277552e5b39804	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I008	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I010	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I008	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I010	no_project_match	naturalness_review_candidate				naturalness_review_candidate|zung6_mei6_completion|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I010	10	dialog_turn	10	10	阿珊			冇事㗎,我同老細講。	/Aa3 Saan1: Mou5 si6 gaa3, ngo5 tung4 lou5 sai3 gong2./		sha256:1e2157866b1abc3f45d6a01af8123b34b55a6969cedea4ee9f210ee21294f647	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I009	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I011	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I009	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I011	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reassurance_particle_gaa3|communication_recipient_omission|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
