construction	construction_claim_id	claim_layer	parser_claim	source_id	source_relationship	exact_locator	source_proposition	implementation_effect	forbidden_inference	verification_state	current_disposition
TimeNP	TN-C01	language	Cantonese time words can function adverbially while remaining nominal in lexical category.	SRC-WONG-2002-CANTONESE-ADVERBS	supports_and_reclassifies	PDF pp. 25-26 (printed pp. 18-19)	Wong distinguishes time words from adverbs and notes that time words can occur as subjects, modifiers, objects, and adverbials.	Represent overt time expressions independently from their clause-level adjunct function.	Do not equate adverbial function with a lexical adverb category or insert a hidden adposition.	VERIFIED_OFFICIAL_REPOSITORY_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_CLASSIFIER_REQUIRED
TimeNP	TN-C02	language	Temporal expressions may occur before the predicate and may also frame the clause before the subject.	SRC-YIP-MATTHEWS-2000-BASIC	supports	Unit 11, PDF pp. 65-66 (printed pp. 52-53)	The grammar places temporal expressions before the verb phrase and illustrates sentence-initial temporal framing.	Permit sourced preverbal and clause-initial time-expression positions.	Do not infer that every initial time expression forms a subordinate TemporalClause.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_CLASSIFIER_REQUIRED
TimeNP	TN-C03	language	Deictic calendar expressions show head-specific classifier behavior rather than a freely optional generic classifier.	SRC-TANG-2024-CANTONESE-GRAMMAR-GUIDE	supports_and_restricts	pp. 35-37	Tang gives 上個星期 and 下個月 but 上年 and 下年 without 個.	Encode exact attested forms or head-specific selection rather than one optional-classifier slot.	Do not generalize 個 to every temporal head or treat its absence as arbitrary free variation.	VERIFIED_AUTHOR_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_CLASSIFIER_REQUIRED
TimeNP	TN-C04	representation	The runtime TimeNP template temporal_modifier + optional classifier + time_head overstates classifier optionality across time heads.	PROJECT-CP021B-R12-TEMPORALS	internal_boundary	runtime extraction in source map	The active template uses one optional classifier slot for heterogeneous heads, while external sources show head-specific patterns.	Split lexicalized/deictic profiles or require head-specific compatibility before implementation.	Do not promote the generic optional-classifier template as productive Cantonese grammar.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_CLASSIFIER_REQUIRED
TimeNP	TN-C05	representation	A time NP used as an adjunct is not by that fact a temporal subordinate clause.	SRC-YIP-2024-TEMPORAL-ADVERBIAL-CLAUSES	distinguishes	pp. 687-690; examples (3)-(4)	Yip’s temporal adverbial clauses contain an embedded predication plus an overt temporal introducer and, for 喺-TACs, a time head.	Keep TimeNP, clause-level temporal adjunct, and temporal adverbial clause as separate representation layers.	Do not label a bare date, day, or period expression as a temporal adverbial clause.	VERIFIED_OFFICIAL_PUBLISHER_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_CLASSIFIER_REQUIRED
TimeNP	TN-C06	language	Common deictic day and period expressions are lexical or construction-specific forms, not outputs of one unrestricted modifier rule.	SRC-TANG-2024-CANTONESE-GRAMMAR-GUIDE	supports_exact_forms_only	pp. 35-37	The guide lists conventional day, week, month, and year expressions with differing morphology.	Retain overt lexical forms and mark unverified combinations review-bearing.	Do not infer a complete productive paradigm from a short pedagogical inventory.	VERIFIED_AUTHOR_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_CLASSIFIER_REQUIRED
TimeNP	TN-C07	analysis	Nominal category does not determine subject, object, topic, or adjunct role without the containing construction.	SRC-WONG-2002-CANTONESE-ADVERBS	supports_role_separation	PDF pp. 25-26 (printed pp. 18-19)	The same class of time words can occupy several syntactic functions.	Assign clause role from the larger parse while preserving the time expression itself.	Do not hard-code every TimeNP as an adverb, topic, or when-role solely from lexical membership.	VERIFIED_OFFICIAL_REPOSITORY_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_CLASSIFIER_REQUIRED
QuantifiedTimeNP	QTN-C01	language	Numeral-plus-time-unit expressions are supported, but classifier realization depends on the temporal head.	SRC-TANG-2024-CANTONESE-GRAMMAR-GUIDE	supports_and_restricts	pp. 37-39	Tang contrasts duration forms such as 一個月 with 一年 and other head-specific patterns.	Use head-specific measure profiles for duration expressions.	Do not permit or omit 個 uniformly across all time heads.	VERIFIED_AUTHOR_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_MEASURE_REQUIRED
QuantifiedTimeNP	QTN-C02	language	Distributive time expressions show head-specific 每 patterns: forms such as 每個月 and 每個星期 contrast with 每日 and 每年.	SRC-YIP-MATTHEWS-2000-BASIC	supports_and_restricts	Unit 11, PDF pp. 66-67 (printed pp. 53-54)	The grammar explicitly notes that monosyllabic time units such as 日 and 年 do not take 個 after 每, unlike month/week examples.	Represent distributive time expressions separately with lexical/head-specific classifier selection.	Do not derive every 每-time expression from 每 + optional 個 + arbitrary time head.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_MEASURE_REQUIRED
QuantifiedTimeNP	QTN-C03	representation	Duration quantity and distributive/frequency expressions are distinct subtypes despite sharing quantity-like tokens.	PROJECT-CP021B-R12-TEMPORALS	internal_boundary	runtime extraction and source comparison in source map	The runtime emits one label for numeral durations and 每-based distribution, while the sources describe different forms and functions.	Split duration-measure and distributive-frequency profiles before implementation.	Do not assign one semantic template or one slot sequence to both subtypes.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_MEASURE_REQUIRED
QuantifiedTimeNP	QTN-C04	language	Cantonese conventionally uses 個字 as a five-minute time measure in clock-duration expressions.	SRC-TANG-2024-CANTONESE-GRAMMAR-GUIDE	supports_exact_convention	p. 39	Tang states that one 個字 corresponds to five minutes and illustrates larger multiples.	Preserve the overt 個字 unit and a conventional five-minute interpretation when the time-measure context is licensed.	Do not replace the surface tokens with hidden minute tokens or treat 字 as universally temporal.	VERIFIED_AUTHOR_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_MEASURE_REQUIRED
QuantifiedTimeNP	QTN-C05	representation	The conventional 個字 calculation is semantic interpretation, not authorization to synthesize unspoken minute words.	PROJECT-CP021B-R12-TEMPORALS	internal_boundary	runtime conventional-duration function; source comparison in source map	Runtime computes a minute value for 三個字 while the attested construction remains overtly quantity + 個 + 字.	Store a derived duration value separately from the surface parse.	Do not rewrite 三個字 as 十五分鐘 or suppress a literal character-count reading when context is unresolved.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_MEASURE_REQUIRED
QuantifiedTimeNP	QTN-C06	evidence_gap	The runtime marks every standalone quantified time NP as context-required, but this batch found no source establishing that universal discourse condition.	PROJECT-CP021B-R12-TEMPORALS	gap_record	runtime template notes and source screen	The reviewed sources attest standalone nominal forms and clause uses but do not justify a blanket fragment-status rule.	Keep standalone status provisional and evaluate by context in a future targeted screen.	Do not promote universal context-required metadata from parser convention alone.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_MEASURE_REQUIRED
QuantifiedTimeNP	QTN-C07	evidence_gap	The runtime optional particle following a quantified time expression is not construction-level mapped in this batch.	PROJECT-CP021B-R12-TEMPORALS	gap_record	runtime quantity + classifier? + time_head + particle? template	No inspected temporal source establishes an unrestricted post-TimeNP particle slot.	Quarantine the generic particle extension pending particle-specific evidence.	Do not infer that any clause-final particle belongs inside QuantifiedTimeNP.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_MEASURE_REQUIRED
