claim_id	target_profile	analysis	current_support	gap	later_test	disposition
OVZL-01	Transitive V咗喇 after a unique discourse object	Specific anaphoric null object	Cantonese specific object drop is established in Lee 2018 and Matthews/Yip examples	Exact licensing with each verb and particle combination remains untested	Introduce one unique object, then compare V咗, V咗喇, and overt-object forms	SOURCE_SUPPORTED_GENERAL_MECHANISM
OVZL-02	V咗喇 after an indefinite antecedent	Non-specific existential null object	Lee 2018 gives Cantonese existential object-drop examples	Pilot verbs and perfective/particle effects are unknown	Introduce one/some indefinite objects and ask same-object versus another-object interpretation	SOURCE_SUPPORTED_POSSIBILITY
OVZL-03	V咗喇 after a kind-level antecedent	Generic null object	Lee 2018 gives generic object-drop examples	No evidence that every activity verb allows the reading	Use kind-level questions and matched explicit generic objects	SOURCE_SUPPORTED_POSSIBILITY
OVZL-04	V咗喇 in an intensional or property context	Attributive non-specific null object	Lee 2018 identifies an attributive subtype	Compatibility with perfective event predicates may be limited	Use want/find/choose contexts separately from completed-event predicates	SEPARATE_SUBTYPE_NOT_GENERALIZED
OVZL-05	Objectless 食咗喇 / 寫咗喇-type strings	Conventional activity with no particular object required	Common lexical possibility and interim event-only choices	Requires verb-specific lexical and discourse evidence	Contrast meal/task context, unique object context, and no context	LEXICAL_ACTIVITY_HYPOTHESIS
OVZL-06	Objectless V咗喇	Lexical intransitive or ambitransitive sense	Possible for selected verbs	Cannot be inferred from omission alone and may differ by sense	Use dictionary/source valency plus minimal overt-object and intransitive contrasts	VERB_BY_VERB_DECISION_REQUIRED
OVZL-07	Short answer V咗喇	Answer fragment whose missing material is supplied by the question	General topic-chain and omission mechanisms support this possibility	The same surface may be a complete activity assertion in another context	Compare direct object question, event question, and out-of-the-blue assertion	DISCOURSE_PROFILE_REQUIRED
OVZL-08	V咗喇	Perfective event assertion plus sentence-final current update	Fan/Chan separate 咗 from 啦; Sybesma/Li give a realization-of-state analysis for laa3	Does not determine whether an object is selected or omitted	Factorially compare bare V, V咗, V喇, and V咗喇	SOURCE_SUPPORTED_LAYERING
OVZL-09	V完咗喇 and related strings	Inner completion/result plus outer perfective plus final particle	AB30 sources support inner material before outer 咗; particle remains separate	Verb-specific acceptability and object structure unresolved	Cross V, V完, V咗, V完咗 with overt and omitted objects and optional 喇	SIBLING_PROFILE_NOT_COLLAPSED
OVZL-10	Parser treatment of objectless V咗喇	Insert a specific hidden object automatically	No source supports automatic reconstruction without discourse evidence	Interim interpretations include event-only and both readings	Require overt antecedent links or preserve underspecification	PROHIBITED_CURRENTLY
OVZL-11	AB30 evidence accounting	Count objectless V咗喇 as evidence for overt-object AB30	AB30 explicitly requires an overt independently licensed object	Objectless profiles may be related but are separate	Keep ledgers and judgments separate until a reviewed relation is established	PROHIBITED_EVIDENCE_TRANSFER
OVZL-12	High naturalness of V咗喇	One syntax is proven by acceptability	Interim pilot shows broad acceptability	Interpretations are divided and collection is not frozen	Jointly analyze naturalness, forced interpretation, context, verb class, and correction reasons	ANALYSIS_NOT_IDENTIFIED_BY_RATING
