candidate_id	query_id	profile_kind	tokenization_kind	matched_surface_span	source_file	turn_index_zero_based	participant	utterance_initial	utterance_final	following_predicate_candidate	nearest_left_lexical_word	nearest_left_lexical_ud_pos	nearest_right_lexical_word	nearest_right_lexical_ud_pos	text	previous_text	next_text	expert_class	semantic_subtype	composition_status	polarity_or_clause_profile	decision_confidence	decision_reason
jmd-f1ed9ebb1df6b28aa456	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-001_v2.cha	2	XXB	false	false	true	先	ADV	平	ADJ	平機票要淡季先有得平𡃉喎.	你老公有冇平機票啊?	而家旺-.						
jmd-091371c6b3729d5f052c	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-001_v2.cha	4	XXA	true	false	true			去	VERB	冇得去嗱.	而家旺-.	吓?						
jmd-396ba45226c2535178c8	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-001_v2.cha	128	XXB	false	false	true	先至	ADV	睇	VERB	你要睇啱邊個時間去,先至有得睇𡃉.	即係可能嗰個時期係一群噉出來呢,所以有時間性囖.	唔係你要去就有得睇𡃉嚹.						
jmd-6385ccf63cabf0f24314	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-001_v2.cha	129	XXB	false	false	true	就	ADV	睇	VERB	唔係你要去就有得睇𡃉嚹.	你要睇啱邊個時間去,先至有得睇𡃉.	哦,即係睇下你幾時去,又撞啱有啲團,噉先有得參加囖.						
jmd-4df92e84dedc9b8e25c5	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-001_v2.cha	130	XXA	false	false	true	先	ADV	參加	VERB	哦,即係睇下你幾時去,又撞啱有啲團,噉先有得參加囖.	唔係你要去就有得睇𡃉嚹.	係唔係啊?						
jmd-8003f2abe5bd40de1f24	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-001_v2.cha	158	XXA	false	false	true	度	NUM	睇	VERB	幾時度有得睇唧噉哩啲,知唔知大概?	噠你老公個朵.	我唔知𡃉.						
jmd-82d02d2e694ac3667241	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-005a_v2.cha	109	XXA	false	false	false	你	PRON	你	PRON	佢嗰啲預早訂晒貨嗰啲呢,成年訂晒嗰啲,你冇得,你唔可以見到話個市唔好,我而家唔要嚹噉樣啊.	都賺得好多啊?	因為佢係年初嗰陣時一次過冚唪唥收晒你啲錢,成年你訂晒𡃉嘞,噉就,到時啊升𠻺梗係你着數喇,如果唔升嘅時候呢,你就,你就真係冇乜,冇乜著數𡃉咋你真係.						
jmd-21b76d38ad19eaf9d2f3	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-005a_v2.cha	114	XXB	false	false	true	佢	PRON	揀	VERB	但係,係喇,我就唔訂,就因為佢冇得揀吖嗎,即係之前都,誒,又唔會話俾咗個sample你睇先至揀噉樣,又冇得揀直程,,一定要訂.	如果唔係𠻺真係好似,要來做收藏品噉.	"係啊,冇啊,好多嘢,好多嘢完全-,佢直程話俾你知有啲嘢""你俾錢喇."						
jmd-ffa9c2ac4b64809e0f1f	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-005a_v2.cha	114	XXB	false	false	true	又	ADV	揀	VERB	但係,係喇,我就唔訂,就因為佢冇得揀吖嗎,即係之前都,誒,又唔會話俾咗個sample你睇先至揀噉樣,又冇得揀直程,,一定要訂.	如果唔係𠻺真係好似,要來做收藏品噉.	"係啊,冇啊,好多嘢,好多嘢完全-,佢直程話俾你知有啲嘢""你俾錢喇."						
jmd-e6f23de440a829e7c6f6	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-005b_v2.cha	143	XXA	false	false	true	你	PRON	順序	ADJ	直版未用過嘅,如果你有得順序連埋霖把𠻺重好𠻹.	直版嗰啲吖嗎.	我有啊,我有好多啊.						
jmd-004028dccf785f70d9b9	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-011_v.cha	41	XXB	true	false	true			享用	VERB	冇得享用哩個福利.	逼你哋要俾錢睇醫生.	都有啲同事都會𠸏.						
jmd-a581f40a90aee290c9b9	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-018_v.cha	43	XXM	false	false	true	啊	PART	冇得	AUX	噉算合格𡃉嚹,你即係你要求高啊,冇得-冇得要求𡃉嚹.	噉好差喎,啱啱合格.	食啲乜嘢啊?						
jmd-94b31e36615ce81607f1	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-018_v.cha	43	XXM	false	false	true	冇得	AUX	要求	VERB	噉算合格𡃉嚹,你即係你要求高啊,冇得-冇得要求𡃉嚹.	噉好差喎,啱啱合格.	食啲乜嘢啊?						
jmd-1d7f3033a1bd3a2cf3f3	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-019_v.cha	98	XXM	false	false	true	喇	PART	剪	VERB	係喇,冇得剪𡃉其實.	所以如果剪碎你又唔想,即係噉樣削啲頭髮呢.	係啊.						
jmd-c131987fb43bef23e8ef	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-020_v.cha	103	XXB	false	false	true	快	ADJ	放假	VERB	噉呢就之前都,誒,開頭呢就揾agent揾咗一份嘅,噉呢就但係-噉呢我又-因為佢又-本來又想叫我六月二號就返工,噉呢但係我-即係我又唔想咁快冇得放假噉-噉樣.	喀,喀,喀,喀.	哦.						
jmd-13309b00b0193de3ec7a	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-020_v.cha	153	XXB	true	false	true			計	VERB	冇得計𡃉.	"""噉樣呢."	吓?						
jmd-5c8bb69af902fff4d3f3	HKCANCOR-JAU-MOU-DAK-R1	negative_mou_dak	single_token_mou_dak	冇得	FC-020_v.cha	155	XXA	true	false	true			計	VERB	冇得計返錢㗎?	吓?	係啊.						
jmd-c93ea30d7e2dbf23b908	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-020_v.cha	164	XXB	true	false	true			計	VERB	有得計?	喀,喀,喀,喀.	係,即係計返你個basicsalary,然後再計返幾多錢俾你噉樣𡃉喎.						
jmd-5d765b9cb33dc411c3db	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-020_v.cha	302	XXA	false	false	true	即係	CCONJ	發展	VERB	我想係要即係-即係有得發展,我而家想教書噉樣.	噉又係.	噉樣其實我教書噉可以教-教中學,噉第日可以,譬如我自己想就想譬如教大學或者大專嗰啲噉樣囖.						
jmd-5f1cdc69d79b19147ef2	HKCANCOR-JAU-MOU-DAK-R1	polar_yau_mou_dak	yau_plus_single_token_mou_dak	有冇得	FC-020_v.cha	404	XXA	false	false	true	最近	ADV	interview	VERB	你最近有冇得interview啊其實?	咦你-喀.	最近呀?						
jmd-1ab3bba6002e4f4544ce	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-020_v.cha	513	XXA	false	false	true	再	ADV	in	VERB	佢有冇話俾你聽話幾時再有得in噉樣啊?	係啊,係啊,即係總之係打返去promote,佢都係話好高興囖.	噉佢就話叫我等下.						
jmd-f95fccb4087916e0d876	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-020_v.cha	518	XXB	false	false	true	就	ADV	second	ADJ	"""噉呢佢就話計完晒啲分之後呢,噉如果你係高過人哋呢,佢話噉你就有得secondinterview噉樣囖."	"噉呢佢就話,誒,應-因為哩一兩日-佢話哩一兩日都重有人去interview嘅,噉佢話-噉就-誒,同埋""我哋都要計下分噉樣喎."	佢話,誒,就應該下個禮拜之內會通知𡃉嘞,噉樣囖,係嘞.						
jmd-5523326c043a266c8ddb	HKCANCOR-JAU-MOU-DAK-R1	affirmative_yau_dak	single_token_yau_dak	有得	FC-020_v.cha	529	XXA	false	false	true	應該	AUX	發展	VERB	同埋都好似應該有得發展𡃉係唔係啊其實?	係喇,因為比較-好似都有啲嘢學噉樣喇.	我見到啲人呢做,誒,humanresources嗰啲呢,即係我都覺得幾好𡃉喎,即係有得發展得會.						
