claim_id	runtime_label	lane	claim_layer	primary_claim_type	current_status	current_action	origin_status	source_link_status	external_source_ids	claim_source_edge_ids	edge_count	required_disposition	grammar_promotion_eligible	promotion_blocker	next_research_form
GCLAIM::ANotAQuestion::language	ANotAQuestion	LANE-07	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ANotAQuestion?
GCLAIM::AcceptabilityANotA::language	AcceptabilityANotA	LANE-07	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by AcceptabilityANotA?
GCLAIM::AcceptabilityClause::language	AcceptabilityClause	LANE-07	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by AcceptabilityClause?
GCLAIM::ActionStativeVP::language	ActionStativeVP	LANE-10	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ActionStativeVP?
GCLAIM::AdjectivalPredicateClause::language	AdjectivalPredicateClause	LANE-10	language	cantonese_language_claim	unsupported_generalization	quarantine_dormant_label_and_consider_retirement	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by AdjectivalPredicateClause?
GCLAIM::PassivePermissiveRelation::language	PassivePermissiveRelation	LANE-01	language	cantonese_language_claim	provisional	retain_narrow_transparent_passive_permissive_relation_pending_rendered_and_native_analysis_validation	legacy_source_linked_posthoc	scoped_edges_recorded	SRC-BODOMO-LAM-YU-2003;SRC-CHIN-2011-BEI;SRC-CHOW-2018-INDIRECT-PASSIVE;SRC-HKCANCOR-PYCANTONESE-CP014	EDGE-CP021A-BEI-BODOMO;EDGE-CP021A-BEI-CHIN;EDGE-CP021A-BEI-CHOW;EDGE-CP021A-BEI-CORPUS	4	retain_current_nonproductive_status_pending_source_reconstruction	false	legacy claim was not demonstrably derived from the recorded sources; reconstruct the claim from screened propositions first	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by PassivePermissiveRelation?
GCLAIM::ApproximateQuantity::language	ApproximateQuantity	LANE-10	language	cantonese_language_claim	unsupported_generalization	quarantine_native_rejected_fixture_and_research_before_retention	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ApproximateQuantity?
GCLAIM::AssociativeNP::language	AssociativeNP	LANE-06	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by AssociativeNP?
GCLAIM::BareClassifierNP::language	BareClassifierNP	LANE-06	language	cantonese_language_claim	unsupported_generalization	quarantine_dormant_label_and_consider_retirement	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by BareClassifierNP?
GCLAIM::CausativeResultFrame::language	CausativeResultFrame	LANE-05	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CausativeResultFrame?
GCLAIM::CausativeResultPredicate::language	CausativeResultPredicate	LANE-05	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CausativeResultPredicate?
GCLAIM::ChangeIntoPredicate::language	ChangeIntoPredicate	LANE-05	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ChangeIntoPredicate?
GCLAIM::ClassifierObjectNP::language	ClassifierObjectNP	LANE-06	language	cantonese_language_claim	unsupported_generalization	quarantine_and_research_before_retention	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ClassifierObjectNP?
GCLAIM::ClauseLinkingSequence::representation	ClauseLinkingSequence	LANE-02	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::ClauseRelation::representation	ClauseRelation	LANE-02	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::ClauseRelationMember::representation	ClauseRelationMember	LANE-02	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::CognitionContentFrame::language	CognitionContentFrame	LANE-08	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CognitionContentFrame?
GCLAIM::CognitionDelimitedObjectVP::language	CognitionDelimitedObjectVP	LANE-08	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CognitionDelimitedObjectVP?
GCLAIM::CognitionDelimitedVP::language	CognitionDelimitedVP	LANE-08	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CognitionDelimitedVP?
GCLAIM::CognitionStatementClause::language	CognitionStatementClause	LANE-08	language	cantonese_language_claim	unsupported_generalization	quarantine_and_research_before_retention	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CognitionStatementClause?
GCLAIM::Comment::representation	Comment	LANE-10	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::ComparativeStative::language	ComparativeStative	LANE-10	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ComparativeStative?
GCLAIM::ComplementEllipsisFragment::language	ComplementEllipsisFragment	LANE-04	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ComplementEllipsisFragment?
GCLAIM::CompletionQuestion::language	CompletionQuestion	LANE-05	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CompletionQuestion?
GCLAIM::CompletionThenClause::language	CompletionThenClause	LANE-02	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CompletionThenClause?
GCLAIM::CompletionVP::language	CompletionVP	LANE-05	language	cantonese_language_claim	research_pending	retain_externally_attested_V完咗O_family_quarantine_only_rejected_surface_context_and_continue_analysis_validation	legacy_source_linked_posthoc	scoped_edges_recorded	SRC-CHEUNG-1970;SRC-FAN-CHAN-2022;SRC-SIO-BOND-2025;SRC-SYBESMA-2013	EDGE-CP021A-COMP-CHEUNG;EDGE-CP021A-COMP-FAN;EDGE-CP021A-COMP-SIO;EDGE-CP021A-COMP-SYB	4	retain_current_nonproductive_status_pending_source_reconstruction	false	legacy claim was not demonstrably derived from the recorded sources; reconstruct the claim from screened propositions first	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CompletionVP?
GCLAIM::CompoundDirectionalMotionVP::language	CompoundDirectionalMotionVP	LANE-09	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CompoundDirectionalMotionVP?
GCLAIM::ConditionResult::language	ConditionResult	LANE-02	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ConditionResult?
GCLAIM::ConditionalClause::language	ConditionalClause	LANE-02	language	cantonese_language_claim	unsupported_generalization	quarantine_and_research_before_retention	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ConditionalClause?
GCLAIM::CoordinatedNP::language	CoordinatedNP	LANE-06	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CoordinatedNP?
GCLAIM::CoordinatedSubjectModalPredicateClause::representation	CoordinatedSubjectModalPredicateClause	LANE-07	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
