source_id	citation_or_record	locator	verified_contribution	role_in_issue_443	limitation	status
SRC-WONG-2023-LSA	Wong, Anita M.-Y. 2023. Understanding Development and Disorder in Cantonese Using Language Sample Analysis. Routledge.	Chapter 4, printed p.50 / PDF p.60, Instrumental SVC section	Classifies 呢個用嚟切嘢 as an instrumental SVC and states that the instrument may be omitted or moved to subject position with 用嚟.	Direct support that omission is possible in an instrumental 用嚟 description and that overt resource position is variable.	Does not specify the discourse conditions, prosody, or whether bare 用嚟 VP is a full clause, fragment, or null-topic continuation.	FULL_TEXT_REOPENED_IN_REPOSITORY_CYCLE
SRC-CHEUNG-2018-LAI	Cheung, Hung-nin Samuel. 2018. 緣自何來：早期粵語中「嚟」的來去踪跡. Current Research in Chinese Linguistics 97(1):17–39.	PDF pp.3–4 / article pp.20–21, section 5 and footnote 9	Describes V1 + 嚟 + V2 as purposive and states that 用來／用嚟 has become a disyllabic expression.	Supports treating 用嚟 VP as a conventionalized purpose/function sequence rather than freely reconstructing ordinary motion syntax.	Does not address subjectless fragments, null topics, or antecedent requirements.	FULL_TEXT_REOPENED_IN_REPOSITORY_CYCLE
SRC-MATTHEWS-YIP-2011-TOPIC	Matthews, Stephen, and Virginia Yip. 2011. Cantonese: A Comprehensive Grammar, 2nd ed.; official multimedia chapter 4.	https://www.cuhk.edu.hk/lin/cbrc/CantoneseGrammar/multimedia/04.htm; sections 4.2.1–4.2.6	Provides object topicalization, hanging topics, secondary topicalization, and topic-chain examples with later unexpressed arguments.	Primary Cantonese support for testing null-topic and discourse-chain analyses.	Does not analyze the exact 用嚟 VP surface or identify whether the missing role is subject, topic, or resource.	OFFICIAL_AUTHORITATIVE_WEB_FULL_TEXT_REOPENED
SRC-MATTHEWS-YIP-2011-PRONOUNS	Matthews, Stephen, and Virginia Yip. 2011. Cantonese: A Comprehensive Grammar, 2nd ed.; official multimedia chapter 5.	https://www.cuhk.edu.hk/lin/cbrc/CantoneseGrammar/multimedia/05.htm; section 5.1.2	Treats omitted pronouns as a Cantonese grammatical phenomenon.	Supports context-sensitive argument omission as a live mechanism.	The displayed example is not the exact 用嚟 fragment and does not establish antecedentless licensing.	OFFICIAL_AUTHORITATIVE_WEB_FULL_TEXT_REOPENED
SRC-LEE-2018-OBJECT-DROP	Lee, Patrick Chi-Wai. 2018. A Study of Anaphoric Non-specific Object Drop in Cantonese: Classification and Derivation. Current Research in Chinese Linguistics 97(1):245–257.	Author-uploaded full text, sections 2–3	Distinguishes specific object drop from non-specific existential, generic, and attributive object drop and argues for antecedent-linked NP ellipsis.	Supplies Cantonese evidence that omitted nominal material can have several discourse-linked interpretations.	Targets object drop, not the exact missing element or fragment status of subjectless 用嚟 VP.	OFFICIAL_METADATA_AND_AUTHOR_FULL_TEXT_REOPENED
SRC-HUANG-YANG-2024-TOPIC-DROP	Huang, C.-T. James, and Barry C.-Y. Yang. 2024. Topic drop and pro drop. Language and Linguistics 25(1):1–27.	DOI 10.1075/lali.00147.yan; official open-access article	Distinguishes topic drop from broader pro-drop and argues that Chinese-type null topics show root/CP-edge and locality restrictions, with last-resort qualifications.	Defines diagnostics for a null-topic analysis and warns against treating all missing arguments alike.	General Chinese evidence; an embedded 用嚟 judgment may instead involve pro, argument ellipsis, or another analysis and therefore cannot alone confirm or refute null-topic structure.	OFFICIAL_OPEN_ACCESS_FULL_TEXT_REOPENED
SRC-MERCHANT-2004-FRAGMENTS	Merchant, Jason. 2004. Fragments and Ellipsis. Linguistics and Philosophy 27(6):661–738.	DOI 10.1007/s10988-005-7378-3; author-uploaded full text and publisher metadata	Argues that many short answers and other XP fragments have sentential syntax under movement plus ellipsis, using connectivity and island evidence.	Provides one general analysis against which a question-linked 用嚟 response can be tested.	Cross-linguistic theory, not Cantonese-specific; the predicate-like 用嚟 VP target is not automatically one of the XP fragments analyzed there.	AUTHOR_FULL_TEXT_AND_PUBLISHER_METADATA_REOPENED
SRC-WEI-2016-MANDARIN-FRAGMENTS	Wei, Ting-Chi. 2016. Fragment answers in Mandarin Chinese. International Journal of Chinese Linguistics 3(1):100–131.	DOI 10.1075/ijchl.3.1.04wei; author-uploaded full text, introduction, note 1, and conclusion	Proposes movement plus TP ellipsis for Mandarin wh-answer fragments and a base-generated pro-copula-fragment analysis for yes/no answers and corrections; explicitly excludes verb-only short answers from the paper's analysis.	Shows that question type can correlate with different fragment derivations while supplying a direct negative boundary against automatic transfer to predicate-like 用嚟 VP responses.	Mandarin, not Cantonese; the target is a verbal/predicate-like response of the type explicitly set aside, so the proposed derivations remain diagnostics rather than adopted analyses.	AUTHOR_FULL_TEXT_REOPENED
SRC-XU-MOK-2011-INTONATION	Xu, Bo Robert, and Peggy Pik-Ki Mok. 2011. Final rising and global raising in Cantonese intonation. Proceedings of ICPhS XVII:2173–2176.	Official ICPhS proceedings / author full text; experiments 1–2 and conclusion	Finds that final rising is a strong localized cue for Cantonese questions, while global F0 raising was not reliably supported in the tested materials.	Supports recording boundary position and acoustic cues rather than treating written punctuation as sufficient prosodic evidence.	Studies questions, not fragments or 用嚟; it does not define a fragment contour or prove that prosody distinguishes ellipsis from null-topic structure.	OFFICIAL_PROCEEDINGS_AND_AUTHOR_FULL_TEXT_REOPENED
ISSUE-442-MERGED-PACKET	Merged pre-audit packet for issue #442.	docs/research/ISSUE-442-HUMAN-NP-JUNG-LAI-PREAUDIT-R1/	Separates resource, user, topic, assignment, and omitted-resource analyses for overt human-NP 用嚟 strings.	Provides reusable AB53 family boundaries and source provenance for issue #443.	Focused on overt human-initial strings, not subjectless fragments; no conclusions transfer automatically.	REPOSITORY_PREDECESSOR_ACCEPTED
