review_item	code_location	runtime_behavior	documented_claim	result	required_disposition
Surface order	main.js:3134–3137	Runtime template is action_verb + perfective_aspect + object.	Matches visible V–咗–object order.	MATCH	Keep.
Marker identity	main.js:787; 3136; 4613	The only lexical item currently generating perfective_aspect is 咗.	Documentation names 咗.	MATCH	Keep, but record this as current lexicon behavior rather than a universal grammar claim.
Overt object	main.js:3136–3137; object-slot assignment in generative template engine	The third required slot is object; bare quantity tokens are blocked.	Documentation requires an overt nominal object.	MATCH_WITH_LIMIT	The object slot is parser-defined and may include varied NP representations; it does not prove linguistic valency productivity.
Predicate scope	main.js:3136; action_verb feature assignment paths throughout lexicon/template engine	Any token/node carrying action_verb can enter the template.	Old documentation implied a source-backed productive action-predicate class.	OVERBROAD_RUNTIME_HEURISTIC	Sources attest examples and ordering, not the entire action_verb lexicon cross-product.
Selectional compatibility	main.js:13449–13555	The subtype is built first. A later global review guard marks only known high-confidence semantic mismatches as NeedsContext; unknown profiles remain unverified and can still parse.	Old documentation said the subtype does not license unrestricted verb–object compatibility.	MISMATCH	Replace with: the parser has a partial review guard; compatibility is not exhaustively enforced.
Completion/result semantics	main.js:3141–3149	Runtime metadata sets completion_or_result_licensing=false and says not_completion_or_result_by_itself. No separate CompletionVP/result node is created for the simple template.	Old public claim said the construction itself does not assert completion, endpoint result, or current relevance.	LINGUISTIC_OVERSTATEMENT	Limit this to parser behavior. Sources differ and often describe completion/current relevance.
Past-time interpretation	main.js:3141–3149	Runtime does not create a past-tense node or insert past time; metadata says independent_past_tense_licensing=false.	Documentation says 咗 is not a past-tense suffix.	MATCH_WITH_SEMANTIC_CAUTION	Sources support aspect rather than inflectional tense, but Fan & Chan discuss relative-past/default temporal effects. Do not claim no temporal implication.
Hidden arguments	main.js:3136–3149	Template requires overt predicate, marker, and object; subtype code inserts no subject or object.	Documentation rejects hidden argument insertion.	MATCH	Keep.
Objectless V–咗	main.js:3152–3156	Separate broad PerfectiveVP template handles action_verb + perfective_aspect + optional particle.	Excluded from subtype.	MATCH	Keep executable boundary.
V完咗O	main.js:3159–3165	Separate CompletionVP template handles action_verb + completion_marker + perfective_aspect + object.	Excluded from simple subtype.	MATCH	Keep executable boundary, while naturalness variation remains separately documented.
Motion-goal and placement	main.js:3088–3131 plus placement-specific rules	Dedicated motion-goal and placement paths precede or supersede the simple subtype for known profiles.	Excluded from simple subtype.	MATCH_WITH_COVERAGE_LIMIT	Current exclusions are implemented for named paths, not proven exhaustive over all motion/placement vocabulary.
Source-linked quantified object integration	main.js:3134–3137; current runtime probe PFV-P03	`佢睇咗三個醫生` produces broad `睇咗` plus separate `QuantifiedClassifierNP`; the narrow subtype is absent.	Published positive example was previously treated as covered by the narrow subtype.	IMPLEMENTATION_GAP	Decide whether the subtype should accept a complete quantified NP object, then implement and retest without broadening unrelated object classes.
Source-linked associative object integration	main.js:3134–3137; current runtime probe PFV-P05	`我答咗你嘅問題` produces broad `答咗` plus separate `AssociativeNP`; the narrow subtype is absent.	Published positive example was previously treated as covered by the narrow subtype.	IMPLEMENTATION_GAP	Define which complete nominal constructions can fill the object slot; do not equate parser NP coverage with unrestricted valency.
Lexicon and question integration	main.js:787; 2415–2416; 3134–3156; current runtime probes PFV-P04/P06	`佢寫咗一篇文` lacks `篇/文` coverage; `你買咗呢隻牌子未呀` lacks `牌子` coverage and the final-未 wrapper contains only broad `買咗`, not the narrow subtype.	Source-linked positives were assumed to be implementation examples.	IMPLEMENTATION_AND_LEXICON_GAP	Verify lexical entries and Jyutping separately, then test whether the narrow subtype survives inside the question wrapper.
Current source-linked visible coverage	tools/run-cp025-p1-pfv01-reaudit-visible.js; validation/cp025-p1-pfv01-reaudit-r1/PFV01-VISIBLE-CURRENT.json	Only `我食咗飯` and `我食咗麵` instantiate the narrow subtype in the frozen runtime; four of six controlled positive probes do not.	Earlier acceptance materials implied broader tested lexical and object variation.	MISMATCH	Treat current implementation breadth as 2/6 controlled positives, not as productive coverage.
