collision_target	current_role	observed_overlap	decisive_difference	current_disposition
PotentialResultVP	Action + `得` + overt result/completion material	Directly carries positive result potential.	Result potential requires an overt licensed result; bare or descriptive `V得X` cannot inherit a hidden result.	KEEP_TYPED_POTENTIAL_CARRIER_NARROW_INVENTORY
NegativePotentialComplement	Action + `唔` + overt result material	Carries the negative counterpart of positive `V得R`.	Postverbal `唔` replaces potential `得`; it is not ordinary preverbal negation and contains no hidden `得`.	KEEP_TYPED_NEGATIVE_POTENTIAL_CARRIER
PotentialDirectionalVP	Action/motion + `得` + direction + deixis	Directly carries an attested directional result-potential subtype.	Direction/deixis supplies the result path; descriptive and root-modal uses need other complement types.	KEEP_TYPED_DIRECTIONAL_POTENTIAL_CARRIER_NARROW_INVENTORY
NegativePotentialDirectionalVP	Action/motion + `唔` + direction + deixis	Carries negative directional potential.	Polarity morphology and lexical/path selection distinguish it from positive potential and ordinary directional negation.	KEEP_TYPED_NEGATIVE_DIRECTIONAL_CARRIER
DegreeMannerAdverbial	Degree/manner head + `啲`	May supply degree/manner material related to descriptive predication.	The current node contains no `得` and does not represent `V + 得 + DegreeP` or its scope.	NOT_A_MERGER_TARGET_REUSE_ONLY_AS_TYPED_COMPONENT
VerbComplementVP	Broad postverbal-complement implementation wrapper	Can surface-wrap postverbal descriptive or manner material.	It also spans directional, restorative, result, and caused-motion profiles and therefore erases the `得` construction contrast.	TEMPORARY_SURFACE_CARRIER_SPLIT_REQUIRED
ModalVP	Preverbal modal plus VP	Shares permission, ability, or possibility meanings with some postverbal `V得` profiles.	Word order, overt marker position, negation, and complement selection differ; postverbal `得` must not be rewritten as hidden preverbal modal syntax.	KEEP_SEPARATE_MODAL_PROFILE
AcceptabilityClause / standalone `得`	Short possibility/acceptability response or `都得` frame	Shares the lexical marker and a broad possibility translation.	Response/acceptability scope is not result potential or descriptive linking and may lack an overt host verb.	KEEP_SEPARATE
Restrictive-focus `得`	Postverbal `得` scopes over following cardinal nominal material in Tang's analysis	Can share `V得NP` with a permission reading, including ambiguity with definite cardinal NPs.	Cardinality, definiteness, and scope diagnostics are not captured by potential or descriptive nodes.	QUARANTINE_AS_ADDITIONAL_TYPED_BOUNDARY
Lexical verb `得`	Main verb meaning acquire/get	Shares graph and pronunciation.	It heads an ordinary lexical predicate and is not a postverbal linker, modal, or focus suffix.	KEEP_LEXICAL_VERB_SEPARATE
