surface	research_profile	current_v0.5.208_top_result	collision_or_gap	linguistic_evidence_weight	recommended_action
我畀咗一本書佢。	lexical bei2 Theme-Recipient	LexicalGiveRelation	Current lexical-GIVE node covers this surface family; role assignment remains deliberately bounded.	0	Retain as lexical-GIVE branch; do not generalize to other verbs.
我畀咗佢一本書。	lexical bei2 Recipient-Theme	LexicalGiveRelation	Same node accepts alternative nominal order without resolving roles; source evidence does not establish free alternation.	0	Keep unresolved until matched native and information-structure evidence.
我畀咗嗰本好有用嘅書畀新同事。	lexical bei2 heavy/focused Theme + marker + Recipient	ClauseSpan plus isolated NP; no complete dative relation	Current post-theme relation does not cover the full source profile, exposing a lexical/structural gap.	0	Research double-bei2 profile separately; no hard identity ban or weight threshold.
我送咗一本書畀佢。	transfer-of-possession PDC	isolated QuantifiedClassifierNP only	送 is absent/unsupported and no marked-dative relation is built.	0	Lexicon and predicate-class research required before implementation.
我送咗一本書佢。	non-bei2 markerless Theme-Recipient IDOC	spurious QuantityNP over 一本書佢	Generic NP wrapping obscures the missing triadic analysis.	0	UC-RQ-002 audio/prosody research; no text-only rule.
我送咗佢一本書。	Recipient-Theme boundary for transfer verb	isolated QuantifiedClassifierNP only	No relation, which avoids a false role claim but gives no explicit boundary.	0	Preserve as verb-class contrast in research fixtures only.
我教佢中文。	communication/information Recipient-Theme	no dedicated construction	SpeechTransferClause and DitransitiveSpeechVP do not emit a VRT analysis.	0	Open dedicated communication-VRT research subunit.
我問佢一個問題。	communication/information Recipient-Theme	isolated QuantifiedClassifierNP only	The quantified content NP is recognized without the triadic relation.	0	Determine first-object and content roles before any parser label.
我問一個問題佢。	Theme-Recipient boundary for 問	QuantityNP containing transitive VP	Broad wrapper can create misleading surface coverage.	0	Add explicit negative/boundary research case; no inference from coverage.
我交咗本書畀張三。	transfer PDC	ClauseSpan > PostThemeParticipantRelation	Theory-neutral post-theme relation is present; exact Recipient role remains predicate-dependent.	0	Retain neutral role policy and audit predicate whitelist against sources.
我借咗本書畀佢。	transfer/control-possession PDC	ClauseSpan > PostThemeParticipantRelation	Surface node does not distinguish lend versus borrow/Source readings.	0	Research lexical sense and participant interpretation; do not assign Recipient automatically.
我寄咗個包裹去倫敦。	caused-motion spatial Goal	no complete triadic construction	Spatial Goal contrast is absent from the current transfer family.	0	Keep Place/Goal separate from Recipient and add lexicon only within evidence-backed work.
