priority	pattern	current_linguistic_status	recorded_independent_speaker_count	speakers_needed_for_provisional	additional_speakers_needed_for_supported_productive	review_scope	speaker_requirements	parser_output_hidden	provisional_blocked_by_speaker_requirement	supported_productive_blocked_by_speaker_requirement	first_speaker_work_state	second_speaker_work_state	freeze_authority	freeze_date	freeze_note
1	PostverbalZoPerfectiveVP	provisional_reaudit	1	0	1	same CP025 controlled positive and comparison packet	Speaker A and Speaker B must be native Cantonese speakers, independent of each other; variety and context recorded; no parser output or expected labels shown	true	false	true	COMPLETE_SPEAKER_A	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
2	ResourceUseLaiFunctionRelation	provisional_reaudit	0	1	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true	true	READY_NOT_COMPLETED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
3	OvertHeadDemonstrativeClassifierNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	DegreeStativePredicate	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	DiMarkedNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	DirectionalMotionVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	ExperientialVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	IntendedFunctionRelation	research_pending	0	1	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	LexicalGiveRelation	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	ModalVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	ModifiedNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	ModifierNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	NegatedDirectionalMotionVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
later	NegatedExistentialFragment	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-21	Requirement preserved. No recruitment, new Speaker B packet preparation, scheduling, or follow-up until the user explicitly unfreezes second-speaker work.
