row_id	design_owner	design_disposition	emitted_new_type	branch_or_profile	target_semantic_status	required_gate_code	role_policy	heldout_used	rationale
CP021B-EV-D001	CP021B-PD1-C01	EMIT_REVIEW	LexicalGiveRelation	theme_recipient_baseline	REVIEW_REQUIRED	cp021b_provisional_lexical_give_relation	assign overt theme and recipient-candidate from unique reviewed profile plus independent NP evidence	false	reviewed theme-before-recipient baseline with aspect
CP021B-EV-D002	CP021B-PD1-C01	EMIT_REVIEW	LexicalGiveRelation	theme_recipient_baseline	REVIEW_REQUIRED	cp021b_provisional_lexical_give_relation	assign overt theme and recipient-candidate from unique reviewed profile plus independent NP evidence	false	orthographic counterpart must behave identically
CP021B-EV-D003	CP021B-PD1-C01	EMIT_REVIEW	LexicalGiveRelation	theme_recipient_baseline	REVIEW_REQUIRED	cp021b_provisional_lexical_give_relation	assign overt theme and recipient-candidate from unique reviewed profile plus independent NP evidence	false	nominal recipient remains overt and independently person-like
CP021B-EV-D004	CP021B-PD1-C01	EMIT_REVIEW	LexicalGiveRelation	theme_recipient_baseline	REVIEW_REQUIRED	cp021b_provisional_lexical_give_relation	assign overt theme and recipient-candidate from unique reviewed profile plus independent NP evidence	false	reviewed aspectless baseline
CP021B-EV-D005	CP021B-PD1-C01	EMIT_REVIEW	LexicalGiveRelation	nonbaseline_participant_order_unresolved	REVIEW_REQUIRED	lexical_give_argument_order_unresolved	export only participant-1 and participant-2; no theme recipient goal or beneficiary assignment	false	short recipient-before-theme was rejected by the sole reviewer and remains marked or variable
CP021B-EV-D006	CP021B-PD1-C01	EMIT_REVIEW	LexicalGiveRelation	nonbaseline_participant_order_unresolved	REVIEW_REQUIRED	lexical_give_argument_order_unresolved	export only participant-1 and participant-2; no theme recipient goal or beneficiary assignment	false	heavy recipient-before-theme was accepted but no categorical weight rule is licensed
CP021B-EV-D007	CP021B-PD1-C01-BOUNDARY	REFUSE_BLOCK	NONE	two_person_arguments_unresolved	BLOCKED	lexical_give_two_person_argument_roles_unresolved	preserve both overt pronouns but assign no semantic roles	false	unacceptable as given and supplied repair does not establish role mapping
CP021B-EV-D008	CP021B-PD1-C02	EMIT_REVIEW	PostThemeParticipantRelation	predicate_profile_borrow_lend	REVIEW_REQUIRED	post_theme_participant_role_context_dependent	post-marker person is neutral; preserve Goal candidate and borrow-lend ambiguity in trace only	false	reviewed post-theme 借 profile
CP021B-EV-D009	CP021B-PD1-C02	EMIT_REVIEW	PostThemeParticipantRelation	predicate_profile_transfer	REVIEW_REQUIRED	post_theme_participant_role_context_dependent	post-marker person is neutral; preserve Goal or recipient candidate in trace only	false	reviewed source example with 交
CP021B-EV-D010	CP021B-PD1-C02	EMIT_REVIEW	PostThemeParticipantRelation	predicate_profile_creation	REVIEW_REQUIRED	post_theme_participant_role_context_dependent	post-marker person is neutral; preserve beneficiary or intended-user candidate in trace only	false	reviewed source example with 織 and no entailed transfer
CP021B-EV-D011	CP021B-PD1-C02	EMIT_REVIEW	PostThemeParticipantRelation	predicate_profile_acquisition	REVIEW_REQUIRED	post_theme_participant_role_context_dependent	post-marker person is neutral; preserve beneficiary or intended-recipient candidate in trace only	false	reviewed 買 profile remains context-dependent
CP021B-EV-D012	CP021B-PD1-C02	EMIT_REVIEW	PostThemeParticipantRelation	predicate_profile_final_predicate	REVIEW_REQUIRED	post_theme_participant_role_context_dependent	post-marker person is neutral and final predicate remains overt; no hidden shared argument	false	reviewed 攞 profile requires preservation of final 睇
CP021B-EV-D013	CP021B-PD1-BOUNDARY	REFUSE_REVIEW	NONE	double_marker_heavy_theme	REVIEW_REQUIRED	lexical_give_double_marker_heavy_theme_unfrozen	preserve overt components; assign no new relation or categorical trigger	false	heavy-theme double-marker strategy remains outside frozen implementation
CP021B-EV-D014	CP021B-PD1-BOUNDARY	REFUSE_REVIEW	NONE	double_marker_long_theme	REVIEW_REQUIRED	lexical_give_double_marker_heavy_theme_unfrozen	preserve overt components; assign no new relation or length threshold	false	no syllable or distance threshold is licensed
CP021B-EV-D015	CP021B-PD1-BOUNDARY	REFUSE_REVIEW	NONE	zoeng_restructure	REVIEW_REQUIRED	lexical_give_zoeng_restructure_outside_design	preserve overt components; do not use 將 as proof of a dative node	false	restructured strategy remains outside frozen implementation
