id	ordinal	section	subsection	item_type	register	source_display	source_jyutping	source_english	source_morpheme_gloss	source_hash	relation	source_internal_duplicate_of	project_record_id	project_status	lifecycle_status	canonical_exact_owners	supporting_exact_owners	discrepancy_types	review_state
GLOSSIKA-YUEHK-A1-W17-20260712-I001	1	functional_language	topic_management	sentence	casual	講返正題，你尋日去咗邊度呀？	Gong2 faan1 zing3 tai4, nei5 cam4 jat6 heoi3 zo2 bin1 dou6 aa3?	Getting back to the point, where did you go yesterday?	speak-return main-topic you yesterday go (PERF) where (PART)	sha256:e10fc175e8f6953c2c04abe1f735e2953f45407b4a850f719769c6fbf01f753b	exact_duplicate		COR-W17-001	PASS	PROMOTED_ACCEPTED		docs/research/EVALUATION-PACKET-BLUEPRINTS-CP021B-R37.json|docs/research/PARSER-CONSTRUCTION-CANONICAL-CONSOLIDATION-MATRIX-CP021B-R35.tsv|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|tests/constructions/ClauseRelationGraph.json|tests/constructions/DirectionalMotionVP.json|tests/constructions/LocativeWhQuestion.json|tests/constructions/VerbComplementVP.json|tests/fixtures/regression-snapshots.json		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I002	2	functional_language	topic_management	sentence	casual	唔好離題喇。	M4 hou2 lei4 tai4 laa3.	Don't go off topic.	not-good leave-topic (PERF)	sha256:960da22426dbec47b799025af019c4514f34f51a2b0c2cd3b58d477b7d2c570a	exact_duplicate		COR-W17-002	PASS	PROMOTED_ACCEPTED		docs/research/EVALUATION-PACKET-BLUEPRINTS-CP021B-R37.json|docs/research/PARSER-CONSTRUCTION-CANONICAL-CONSOLIDATION-MATRIX-CP021B-R35.tsv|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|tests/constructions/ProhibitiveImperative.json|tests/fixtures/regression-snapshots.json	morpheme_gloss_discrepancy	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I003	3	functional_language	topic_management	sentence	polite	關於呢個問題，我想講吓。	Gwaan1 jyu1 ni1 go3 man6 tai4, ngo5 soeng2 gong2 haa5.	Regarding this issue, I'd like to say something.	regarding this (CL) problem I want speak briefly	sha256:acd472bfcf192a1e7db8db8a25a423692384facf650fd484e7010e26a5f27669	exact_duplicate		COR-W17-003	PASS	PROMOTED_ACCEPTED		test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/native-speaker-naturalness-evidence-v1.json|test-data/native-speaker-naturalness-evidence-v1.tsv|test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|tests/constructions/ClauseRelationGraph.json|tests/constructions/DelimitedVP.json|tests/constructions/DesiderativeVP.json|tests/constructions/OvertHeadDemonstrativeClassifierNP.json|tests/fixtures/regression-snapshots.json		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I004	4	functional_language	topic_management	sentence	polite	我哋返去頭先嘅話題。	Ngo5 dei6 faan1 heoi3 tau4 sin1 ge3 waa6 tai4.	Let's return to the previous topic.	we return-go just-now 's topic	sha256:5f4d4777851884c8b845c1ac731f9bce936bc37313351fd71825211e3d19f765	exact_duplicate		COR-W17-004	PASS	REVIEW_ONLY		test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I005	5	functional_language	enumerate_and_give_examples	sentence	casual	第一嘛，太貴；第二，太遠。	Dai6 jat1 maa3, taai3 gwai3; dai6 ji6, taai3 jyun5.	First, too expensive; second, too far.	first (PART) too expensive second too far	sha256:44ed8c62ea66284ab157692897bf76f84999da5427835b8fc7a53d8070f8225d	exact_duplicate		COR-W17-005	PASS	REVIEW_ONLY		test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I006	6	functional_language	enumerate_and_give_examples	sentence	casual	好似我噉，我就鍾意跑步。	Hou2 ci5 ngo5 gam2, ngo5 zau6 zung1 ji3 paau2 bou6.	Take me for example, I like running.	like I such I just like run	sha256:93497872f1f5fcf28baae2876c883c1da4a41c27f013ea4ec1adb5bdd490f8d7	exact_duplicate		COR-W17-006	PASS	REVIEW_ONLY		test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I007	7	functional_language	enumerate_and_give_examples	sentence	polite	例如中環同旺角都好出名。	Lai6 jyu4 zung1 waan4 tung4 wong6 gok3 dou1 hou2 ceot1 meng2.	For example, both Central and Mong Kok are very famous.	for-example Central and Mong-Kok all very famous	sha256:34ec2463bd844ba98dbe67164b733f8b4dbbd06f24d2d4ab72f0d8481c2db0fb	exact_duplicate		COR-W17-007	PASS	REVIEW_ONLY		test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I008	8	functional_language	enumerate_and_give_examples	sentence	polite	一方面係時間，另一方面係費用。	Jat1 fong1 min6 hai6 si4 gaan3, ling6 jat1 fong1 min6 hai6 fai3 jung6.	On one hand it's time, on the other hand it's cost.	on-one-hand is time on-the-other is cost	sha256:f0f05ecd005815be76a6dd4c942b7eeee8a0cec2ee10320f89b4e1618aed9ec4	exact_duplicate		COR-W17-008	PASS	REVIEW_ONLY		test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I009	9	vocabulary_and_situations	emotions_and_states	lexical_entry		唔開心	m4 hoi1 sam1	unhappy		sha256:7ea417bea47165965862f391df3bafd17d87788540634d56f8fb3fa838841ded	exact_duplicate		LEX-W17-001	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	docs/research/CP056-P1-NEGATED-LEXICALIZED-STATIVE-RETIREMENT-R1.md|docs/research/CP057-P1-NEGATED-STATIVE-PREDICATE-RECONCILIATION-R1.md|grammar/research_pending/NegatedStativePredicate.md|test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv|test-data/w17-naturalized-alternatives.tsv|tests/constructions/NegatedStativePredicate.json		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I010	10	vocabulary_and_situations	emotions_and_states	lexical_entry		攰	gui6	tired		sha256:7740eb53b4fda8c3c31740bf25dad9b8c8aaa9676c8bfe17d3026adc97a6ea29	exact_duplicate		LEX-W17-002	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	docs/research/EVALUATION-PACKET-BLUEPRINTS-CP021B-R37.json|docs/research/PARSER-CONSTRUCTION-CANONICAL-CONSOLIDATION-MATRIX-CP021B-R35.tsv|grammar/unsupported_generalization/SuggestionQuestion.md|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/native-speaker-naturalness-evidence-v1.json|test-data/native-speaker-naturalness-evidence-v1.tsv|test-data/review-only-readiness.tsv|test-data/w17-corpus-semantic-disposition.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv|tests/constructions/ClauseRelationEdge.json|tests/constructions/ClauseRelationGraph.json|tests/constructions/ClauseRelationMemberSpan.json|tests/constructions/ClauseSpan.json|tests/constructions/DegreeStativePredicate.json|tests/constructions/ProgressiveVP.json|tests/constructions/SuggestionQuestion.json|tests/fixtures/regression-snapshots.json		REQUIRES_EXPERT_CONTEXT_REVIEW
