search_id	construction_family	query_or_screen	candidate_source	outcome	use_or_exclusion_reason
R9-S01	positive possession/existence	Cantonese 有 possession existence locative existential presentational grammar	Yip and Matthews 2000, Unit 6	INCLUDED	Full text directly distinguishes possession, location-based existence, participant introduction, availability, and auxiliary/event uses.
R9-S02	segmentation boundary	Cantonese 有 explicit subject possessive existential marker no overt subject segmentation	Lam, Lau, and Lee 2024 section 4.5.2	INCLUDED	Full text directly distinguishes verbal possessive 有 from existential-marker 有 in its annotation system.
R9-S03	negative possession/existence	Hong Kong Cantonese 冇 existential possessive perfective negation primary research	Lam 2018	INCLUDED	Full text gives separate existential, possessive, and perfective examples and the HKC split-negation table.
R9-S04	suppletion	Cantonese 有 冇 suppletive negative lexical rule	Yip 1988	INCLUDED	Existing full-text source independently documents special suppletive negation.
R9-S05	existential questions	Cantonese 有冇 NP existential question coding primary source	Liang and Mai 2026 supplementary coding scheme	INCLUDED_WITH_LIMIT	Official supplement gives [jau5mou5-NP] and 呢度有冇車車呀; used as attestation/coding evidence, not exhaustive grammar.
R9-S06	event occurrence questions	Cantonese 有冇 VP event experiential polar question	Hara 2023; Yip and Matthews 2000; Fan 2026	INCLUDED_AS_SEPARATE_SUBTYPE	Sources distinguish VP-complement event/experiential or auxiliary uses from NP possession/existence.
R9-S07	availability	Cantonese 有冇 嘢食 書睇 availability existential pivot	Yip and Matthews 2000 Unit 6	INCLUDED	Direct examples support available-item plus action/purpose interpretation.
R9-S08	short answers	Cantonese bare 有 冇 answer domain ellipsis question response	Yip and Matthews 2000 Unit 6	INCLUDED_NARROWLY	Dialogue supports short 有/冇 answers; broader runtime focus/repetition/particle combinations remain internal/provisional.
R9-S09	presentational general	Cantonese 有 NP predicate presentational existential construction	Yip and Matthews 2000; Lam et al. 2024	INCLUDED_GENERAL_FAMILY	Both sources support participant introduction followed by predication.
R9-S10	presentational locative coda	Cantonese 有 NP 喺 location presentational construction academic corpus	academic web and available project-source screen	NO_EXACT_PRIMARY_MAPPING_FOUND	No inspected source directly established the exact runtime NP + 喺-coda order and negative counterpart as one node.
R9-S11	postposed question	Cantonese 有 NP 冇 postposed existential possessive question academic corpus	academic web, grammars, and existing source register	NO_EXACT_PRIMARY_MAPPING_FOUND	Sources consistently retrieved adjacent 有冇 or tag/A-not-A forms; exact 有+NP+冇 construction remains unmapped.
R9-S12	existential wh	Cantonese 有咩 NP existential wh question primary source corpus	Liang and Mai supplement; general wh sources; academic web	GENERAL_COMPONENTS_ONLY	Wh-in-situ and 有+幾多/做乜 examples are attested; exact generic 有咩(+NP) runtime template was not directly mapped.
R9-S13	runtime extraction	ExistentialClause ExistentialQuestion presentational negated fragment main.js	Canto Span accepted runtime	INTERNAL_ONLY	Used only to state current templates, fallbacks, conflations, and source gaps.
