candidate_id	source_file	source_file_sha256	file_index_zero_based	turn_index_zero_based	token_index_zero_based	participant	matched_surface_span	text	previous_text	next_text	tokens_json	annotation_status
ab30-3ca6c1ff3d9c206f3004	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	103	33	XXB	變咗佢	噉佢啊,之前俾人嘈得多話佢-即係誒,誒,印嗰個數量唔夠,噉佢今次印多咗,噉變咗佢嗰個,即係賣嗰個情況都唔係太過受,點講啊?	割禾青嗰啲呢,割埋最後哩,哩一橛收埋就收工噉樣.	唔使話排晒長龍嗰啲噉樣𡃉喇.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""啊"",""pos"":""y1"",""jyutping"":""aa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""之前"",""pos"":""t"",""jyutping"":""zi1cin4""},{""word"":""俾"",""pos"":""p"",""jyutping"":""bei2""},{""word"":""人"",""pos"":""n"",""jyutping"":""jan4""},{""word"":""嘈"",""pos"":""v"",""jyutping"":""cou4""},{""word"":""得"",""pos"":""u"",""jyutping"":""dak1""},{""word"":""多"",""pos"":""a"",""jyutping"":""do1""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""誒"",""pos"":""e"",""jyutping"":""e6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""誒"",""pos"":""e"",""jyutping"":""e6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""印"",""pos"":""v"",""jyutping"":""jan3""},{""word"":""嗰個"",""pos"":""r"",""jyutping"":""go2go3""},{""word"":""數量"",""pos"":""n"",""jyutping"":""sou3loeng6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""夠"",""pos"":""v"",""jyutping"":""gau3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""今次"",""pos"":""t"",""jyutping"":""gam1ci3""},{""word"":""印"",""pos"":""v"",""jyutping"":""jan3""},{""word"":""多"",""pos"":""a"",""jyutping"":""do1""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""變"",""pos"":""v"",""jyutping"":""bin3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""嗰個"",""pos"":""r"",""jyutping"":""go2go3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""賣"",""pos"":""v"",""jyutping"":""maai6""},{""word"":""嗰個"",""pos"":""r"",""jyutping"":""go2go3""},{""word"":""情況"",""pos"":""n"",""jyutping"":""cing4fong3""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""唔係"",""pos"":""v"",""jyutping"":""m4hai6""},{""word"":""太過"",""pos"":""d"",""jyutping"":""taai3gwo3""},{""word"":""受"",""pos"":""v"",""jyutping"":""sau6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""點"",""pos"":""r"",""jyutping"":""dim2""},{""word"":""講"",""pos"":""v"",""jyutping"":""gong2""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-ba3c5054a4fea3a60f5b	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	111	14	XXA	俾咗佢	唔升嘅時候,你𠻺-,你𠻺錢𠻺俾咗佢,貨你𠻺一定要,一定你要要𡃉嘞,喀,噉你咪要咗佢,你就睇下,用得𠻺用,唔用得咪睇下揸住來,睇下點樣樣.	因為佢係年初嗰陣時一次過冚唪唥收晒你啲錢,成年你訂晒𡃉嘞,噉就,到時啊升𠻺梗係你着數喇,如果唔升嘅時候呢,你就,你就真係冇乜,冇乜著數𡃉咋你真係.	即係希望佢有一日或者升得返喇.	"[{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""升"",""pos"":""v"",""jyutping"":""sing1""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""時候"",""pos"":""n"",""jyutping"":""si4hau6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""錢"",""pos"":""n"",""jyutping"":""cin2""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""俾"",""pos"":""v"",""jyutping"":""bei2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""貨"",""pos"":""n"",""jyutping"":""fo3""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""要"",""pos"":""v"",""jyutping"":""jiu3""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""嘞"",""pos"":""y"",""jyutping"":""laak3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""喀"",""pos"":""e"",""jyutping"":""haak6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""咪"",""pos"":""d"",""jyutping"":""mai6""},{""word"":""要"",""pos"":""v"",""jyutping"":""jiu3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":""得"",""pos"":""u"",""jyutping"":""dak1""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":""得"",""pos"":""u"",""jyutping"":""dak1""},{""word"":""咪"",""pos"":""d"",""jyutping"":""mai6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""揸"",""pos"":""v"",""jyutping"":""zaa1""},{""word"":""住"",""pos"":""u"",""jyutping"":""zyu6""},{""word"":""來"",""pos"":""vk"",""jyutping"":""lai4""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""點樣"",""pos"":""r"",""jyutping"":""dim2joeng2""},{""word"":""樣"",""pos"":""n"",""jyutping"":""joeng2""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-f782d1905d03a9b1e58e	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	111	36	XXA	要咗佢	唔升嘅時候,你𠻺-,你𠻺錢𠻺俾咗佢,貨你𠻺一定要,一定你要要𡃉嘞,喀,噉你咪要咗佢,你就睇下,用得𠻺用,唔用得咪睇下揸住來,睇下點樣樣.	因為佢係年初嗰陣時一次過冚唪唥收晒你啲錢,成年你訂晒𡃉嘞,噉就,到時啊升𠻺梗係你着數喇,如果唔升嘅時候呢,你就,你就真係冇乜,冇乜著數𡃉咋你真係.	即係希望佢有一日或者升得返喇.	"[{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""升"",""pos"":""v"",""jyutping"":""sing1""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""時候"",""pos"":""n"",""jyutping"":""si4hau6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""錢"",""pos"":""n"",""jyutping"":""cin2""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""俾"",""pos"":""v"",""jyutping"":""bei2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""貨"",""pos"":""n"",""jyutping"":""fo3""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""要"",""pos"":""v"",""jyutping"":""jiu3""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""嘞"",""pos"":""y"",""jyutping"":""laak3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""喀"",""pos"":""e"",""jyutping"":""haak6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""咪"",""pos"":""d"",""jyutping"":""mai6""},{""word"":""要"",""pos"":""v"",""jyutping"":""jiu3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":""得"",""pos"":""u"",""jyutping"":""dak1""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":""得"",""pos"":""u"",""jyutping"":""dak1""},{""word"":""咪"",""pos"":""d"",""jyutping"":""mai6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""揸"",""pos"":""v"",""jyutping"":""zaa1""},{""word"":""住"",""pos"":""u"",""jyutping"":""zyu6""},{""word"":""來"",""pos"":""vk"",""jyutping"":""lai4""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""點樣"",""pos"":""r"",""jyutping"":""dim2joeng2""},{""word"":""樣"",""pos"":""n"",""jyutping"":""joeng2""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-5c9a55f0c91cab5d84c6	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	2	128	13	XXA	封咗佢	你喺銀行換返來呢,就即刻揾個套封咗佢,收埋佢,噉嗰啲呢就可以保存得到個價值喺度.	點樣呢?	你用得兩用嘅話,即係,轉多兩轉已經掂咗啲人氣手氣之後呢,就已經冇價值𡃉嚹.	"[{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""喺"",""pos"":""v"",""jyutping"":""hai2""},{""word"":""銀行"",""pos"":""n"",""jyutping"":""ngan4hong4""},{""word"":""換"",""pos"":""v"",""jyutping"":""wun6""},{""word"":""返來"",""pos"":""v"",""jyutping"":""faan1lei4""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""即刻"",""pos"":""d"",""jyutping"":""zik1haak1""},{""word"":""揾"",""pos"":""v"",""jyutping"":""wan2""},{""word"":""個"",""pos"":""q"",""jyutping"":""go3""},{""word"":""套"",""pos"":""n"",""jyutping"":""tou3""},{""word"":""封"",""pos"":""v"",""jyutping"":""fung1""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""收埋"",""pos"":""v"",""jyutping"":""sau1maai4""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""嗰啲"",""pos"":""r"",""jyutping"":""go2di1""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""保存"",""pos"":""v"",""jyutping"":""bou2cyun4""},{""word"":""得到"",""pos"":""v"",""jyutping"":""dak1dou2""},{""word"":""個"",""pos"":""q"",""jyutping"":""go3""},{""word"":""價值"",""pos"":""n"",""jyutping"":""gaa3zik6""},{""word"":""喺度"",""pos"":""d"",""jyutping"":""hai2dou6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-bfc6dc2618ab348bf07a	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	2	145	5	XXA	摺咗佢	你千祈唔好摺咗佢諗住易躉啊.	我有啊,我有好多啊.	我有好多啊.	"[{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""千祈"",""pos"":""d"",""jyutping"":""cin1kei4""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""好"",""pos"":""vu"",""jyutping"":""hou2""},{""word"":""摺"",""pos"":""v"",""jyutping"":""zip3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""諗"",""pos"":""v"",""jyutping"":""nam2""},{""word"":""住"",""pos"":""u"",""jyutping"":""zyu6""},{""word"":""易"",""pos"":""a"",""jyutping"":""ji6""},{""word"":""躉"",""pos"":""v"",""jyutping"":""dan2""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-c5c9339e9bb253c223b8	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	2	156	20	XXB	賣咗佢	"係啊,噉所以就我話""哎吔,你俾我嘞,我幫你賣咗佢嘞."	有𡃉,有價錢𡃉而家.	唔只值十蚊𡃉而家,我好似見過,佢唔知高幾多價錢收購𡃉,係高啲𡃉,所有未用過嘅十蚊紙.	"[{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""所以"",""pos"":""c"",""jyutping"":""so2ji5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""\"""",""pos"":"""",""jyutping"":null},{""word"":""哎吔"",""pos"":""e"",""jyutping"":""ai1jaa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""俾"",""pos"":""v"",""jyutping"":""bei2""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""嘞"",""pos"":""y"",""jyutping"":""laak3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""幫"",""pos"":""v"",""jyutping"":""bong1""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""賣"",""pos"":""v"",""jyutping"":""maai6""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""嘞"",""pos"":""y"",""jyutping"":""laak3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-8d44c433e03e02df7a15	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	5	202	10	XXC	飲咗佢	跟住隻龜死咗嚹,噉𠻺飲咗佢.	"我""寧願""屋企人煲咗隻龜."	"""""報警吖."	"[{""word"":""跟住"",""pos"":""c"",""jyutping"":""gan1zyu6""},{""word"":""隻"",""pos"":""q"",""jyutping"":""zek3""},{""word"":""龜"",""pos"":""n"",""jyutping"":""gwai1""},{""word"":""死"",""pos"":""v"",""jyutping"":""sei2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""飲"",""pos"":""v"",""jyutping"":""jam2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-97ddda203f0e90cefa12	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	5	234	5	XXC	㗳咗佢	㗳鬼咗,㗳咗佢個頭啊.	喀.	"""""㗳咗""佢個""頭喎."	"[{""word"":""㗳"",""pos"":""v"",""jyutping"":""dep1""},{""word"":""鬼"",""pos"":""d1"",""jyutping"":""gwai2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""㗳"",""pos"":""v"",""jyutping"":""dep1""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""個"",""pos"":""q"",""jyutping"":""go3""},{""word"":""頭"",""pos"":""n"",""jyutping"":""tau4""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-271b1ad1b00bccba4520	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	9	9	34	XXA	推咗佢	"噉噉最初嗰陣時都話請咗我𡃉嚹,但係我又,""但係我又""一心即係諗住教書吖嗎,噉所以就即係推咗佢噉樣囖."	因為最初嗰陣時呢我都見咗份,誒,誒,translator噉樣嘅.	同埋我又覺得佢好似好辛苦𠺢嗎,因為佢之前佢譯報紙嗰啲嘢呢,噉譬如話十一點鐘之前呢就譯好多嘢,因為佢要趕住俾個客噉樣喇,噉所以呢我就覺得好辛苦囖.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""最初"",""pos"":""t"",""jyutping"":""zeoi3co1""},{""word"":""嗰陣時"",""pos"":""r"",""jyutping"":""go2zan6si4""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""請"",""pos"":""v"",""jyutping"":""ceng2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""𡃉"",""pos"":""y1"",""jyutping"":""gaa3""},{""word"":""嚹"",""pos"":""y1"",""jyutping"":""laa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""但係"",""pos"":""c"",""jyutping"":""daan6hai6""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""\"""",""pos"":"""",""jyutping"":null},{""word"":""但係"",""pos"":""c"",""jyutping"":""daan6hai6""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""\"""",""pos"":"""",""jyutping"":null},{""word"":""一心"",""pos"":""d"",""jyutping"":""jat1sam1""},{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""諗"",""pos"":""v"",""jyutping"":""nam2""},{""word"":""住"",""pos"":""u"",""jyutping"":""zyu6""},{""word"":""教書"",""pos"":""v"",""jyutping"":""gaau3syu1""},{""word"":""吖"",""pos"":""y1"",""jyutping"":""aa1""},{""word"":""嗎"",""pos"":""y1"",""jyutping"":""maa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""所以"",""pos"":""c"",""jyutping"":""so2ji5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""推"",""pos"":""v"",""jyutping"":""teoi1""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""噉樣"",""pos"":""c"",""jyutping"":""gam2joeng2""},{""word"":""囖"",""pos"":""y"",""jyutping"":""lo1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-7f6ddbd06e520011ba81	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	9	13	22	XXA	推咗佢	噉所以就,誒,如果做半年嘅,噉我又費事噉樣囖,所以就推咗佢囖.	嗯.	即係你都想多啲時候揾返教書嗰啲,因為如果你一做咗份工,噉你可能又interview嗰啲又麻煩.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""所以"",""pos"":""c"",""jyutping"":""so2ji5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""誒"",""pos"":""e"",""jyutping"":""e6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""如果"",""pos"":""c"",""jyutping"":""jyu4gwo2""},{""word"":""做"",""pos"":""v"",""jyutping"":""zou6""},{""word"":""半"",""pos"":""m"",""jyutping"":""bun3""},{""word"":""年"",""pos"":""q"",""jyutping"":""nin4""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""費事"",""pos"":""v"",""jyutping"":""fai3si6""},{""word"":""噉樣"",""pos"":""c"",""jyutping"":""gam2joeng2""},{""word"":""囖"",""pos"":""y1"",""jyutping"":""lo1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""所以"",""pos"":""c"",""jyutping"":""so2ji5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""推"",""pos"":""v"",""jyutping"":""teoi1""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""囖"",""pos"":""y"",""jyutping"":""lo1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
