group,condition,description,n,mean,sd,median
G01,A,Instrument/object NP + 用嚟,36,1.7222,1.1616,1.0
G01,B,Location NP + 用嚟,36,1.6111,0.9344,1.0
G01,C,Time/method/document/opportunity NP + 用嚟,36,2.0,1.2421,1.5
G01,D,Human NP + 用嚟,36,3.3333,1.4541,3.0
G02,A,NP 用嚟 VP,36,1.3611,0.6393,1.0
G02,B,NP 可以用嚟 VP,36,1.0,0.0,1.0
G02,C,NP 係用嚟 VP,36,1.4722,0.8779,1.0
G02,D,NP 我用嚟 VP,36,1.1944,0.5767,1.0
G03,A,Generic NP 用嚟 V,36,1.8611,1.2456,1.0
G03,B,NP 用咗嚟 V,36,1.8611,1.2456,1.0
G03,C,NP 用嚟 V咗,36,2.4167,1.4614,2.0
G03,D,Agent V咗 NP 嚟 V,36,1.5278,0.9706,1.0
G04,A,Single purpose VP,36,1.4722,0.9996,1.0
G04,B,Coordinated purpose VPs,36,1.25,0.5,1.0
G04,C,Subjectless 用嚟 fragment,36,1.7778,1.045,1.0
G04,D,用嚟 wh-question,36,1.1667,0.4472,1.0
G05,A,V咗 + overt object,36,1.0,0.0,1.0
G05,B,V完咗 + overt object,36,2.5278,1.7645,2.0
G05,C,Completed comparison sentence,36,1.1111,0.3187,1.0
G05,D,Objectless V咗喇,36,1.2222,0.5909,1.0
