item_id,n,interpretation,count,percent
G01D01,8,阿明係用一樣冇講出嚟嘅工具切方包,4,50.0
G01D01,8,我理解唔到,3,37.5
G01D01,8,兩種理解都有可能,1,12.5
G01D02,8,阿欣係用一樣冇講出嚟嘅工具記低開支,6,75.0
G01D02,8,我理解唔到,1,12.5
G01D02,8,阿欣本人負責記低開支,1,12.5
G01D03,11,阿強本人被安排睇住行李,5,45.45
G01D03,11,阿強係用一樣冇講出嚟嘅嘢睇住行李,4,36.36
G01D03,11,兩種理解都有可能,2,18.18
G01D04,9,小美本人被安排介紹產品,3,33.33
G01D04,9,我理解唔到,3,33.33
G01D04,9,小美係用一樣冇講出嚟嘅材料介紹產品,2,22.22
G01D04,9,兩種理解都有可能,1,11.11
G03A01,9,主要係講呢樣嘢本來或者一般用嚟做乜,4,44.44
G03A01,9,兩種理解都可以,3,33.33
G03A01,9,主要係講今次實際攞咗呢樣嘢去做乜,1,11.11
G03A01,9,要有上文先知道,1,11.11
G03B01,11,主要係講今次實際攞咗呢樣嘢去做乜,6,54.55
G03B01,11,主要係講呢樣嘢本來或者一般用嚟做乜,3,27.27
G03B01,11,兩種理解都可以,1,9.09
G03B01,11,其他,1,9.09
G03C01,8,主要係講今次實際攞咗呢樣嘢去做乜,5,62.5
G03C01,8,主要係講呢樣嘢本來或者一般用嚟做乜,1,12.5
G03C01,8,兩種理解都可以,1,12.5
G03C01,8,我理解唔到,1,12.5
G03D01,8,主要係講今次實際攞咗呢樣嘢去做乜,4,50.0
G03D01,8,主要係講呢樣嘢本來或者一般用嚟做乜,2,25.0
G03D01,8,兩種理解都可以,1,12.5
G03D01,8,要有上文先知道,1,12.5
G03A02,8,主要係講呢樣嘢本來或者一般用嚟做乜,6,75.0
G03A02,8,兩種理解都可以,1,12.5
G03A02,8,其他,1,12.5
G03B02,9,主要係講今次實際攞咗呢樣嘢去做乜,5,55.56
G03B02,9,主要係講呢樣嘢本來或者一般用嚟做乜,3,33.33
G03B02,9,兩種理解都可以,1,11.11
G03C02,11,主要係講今次實際攞咗呢樣嘢去做乜,5,45.45
G03C02,11,兩種理解都可以,2,18.18
G03C02,11,其他,2,18.18
G03C02,11,我理解唔到,1,9.09
G03C02,11,要有上文先知道,1,9.09
G03D02,8,主要係講今次實際攞咗呢樣嘢去做乜,4,50.0
G03D02,8,主要係講呢樣嘢本來或者一般用嚟做乜,3,37.5
G03D02,8,兩種理解都可以,1,12.5
G03A03,8,主要係講今次實際攞咗呢樣嘢去做乜,3,37.5
G03A03,8,主要係講呢樣嘢本來或者一般用嚟做乜,3,37.5
G03A03,8,兩種理解都可以,1,12.5
G03A03,8,要有上文先知道,1,12.5
G03B03,8,主要係講今次實際攞咗呢樣嘢去做乜,5,62.5
G03B03,8,主要係講呢樣嘢本來或者一般用嚟做乜,2,25.0
G03B03,8,要有上文先知道,1,12.5
G03C03,9,主要係講今次實際攞咗呢樣嘢去做乜,5,55.56
G03C03,9,主要係講呢樣嘢本來或者一般用嚟做乜,1,11.11
G03C03,9,兩種理解都可以,1,11.11
G03C03,9,我理解唔到,1,11.11
G03C03,9,要有上文先知道,1,11.11
G03D03,11,主要係講今次實際攞咗呢樣嘢去做乜,6,54.55
G03D03,11,兩種理解都可以,4,36.36
G03D03,11,主要係講呢樣嘢本來或者一般用嚟做乜,1,9.09
G03A04,11,主要係講呢樣嘢本來或者一般用嚟做乜,3,27.27
G03A04,11,要有上文先知道,3,27.27
G03A04,11,主要係講今次實際攞咗呢樣嘢去做乜,2,18.18
G03A04,11,兩種理解都可以,2,18.18
G03A04,11,我理解唔到,1,9.09
G03B04,8,主要係講今次實際攞咗呢樣嘢去做乜,5,62.5
G03B04,8,主要係講呢樣嘢本來或者一般用嚟做乜,1,12.5
G03B04,8,我理解唔到,1,12.5
G03B04,8,要有上文先知道,1,12.5
G03C04,8,主要係講今次實際攞咗呢樣嘢去做乜,3,37.5
G03C04,8,要有上文先知道,2,25.0
G03C04,8,主要係講呢樣嘢本來或者一般用嚟做乜,1,12.5
G03C04,8,兩種理解都可以,1,12.5
G03C04,8,我理解唔到,1,12.5
G03D04,9,主要係講今次實際攞咗呢樣嘢去做乜,6,66.67
G03D04,9,主要係講呢樣嘢本來或者一般用嚟做乜,2,22.22
G03D04,9,要有上文先知道,1,11.11
G04C01,8,「用嚟……」講緊上文提過嗰樣嘢,7,87.5
G04C01,8,兩種理解都有可能,1,12.5
G04C02,11,兩種理解都有可能,5,45.45
G04C02,11,「用嚟……」講緊上文提過嗰樣嘢,3,27.27
G04C02,11,「用嚟……」講緊另一樣冇講出嚟嘅嘢,2,18.18
G04C02,11,要有上文先知道,1,9.09
G04C03,9,「用嚟……」講緊上文提過嗰樣嘢,4,44.44
G04C03,9,要有上文先知道,4,44.44
G04C03,9,兩種理解都有可能,1,11.11
G04C04,8,「用嚟……」講緊上文提過嗰樣嘢,4,50.0
G04C04,8,「用嚟……」講緊另一樣冇講出嚟嘅嘢,2,25.0
G04C04,8,兩種理解都有可能,1,12.5
G04C04,8,要有上文先知道,1,12.5
G05D01,8,我主要理解成個動作已經發生，未必要補返對象,3,37.5
G05D01,8,我會自然咁補返一樣上文講過嘅對象,3,37.5
G05D01,8,兩種理解都有可能,2,25.0
G05D02,8,我會自然咁補返一樣上文講過嘅對象,4,50.0
G05D02,8,兩種理解都有可能,2,25.0
G05D02,8,我主要理解成個動作已經發生，未必要補返對象,2,25.0
G05D03,11,我主要理解成個動作已經發生，未必要補返對象,4,36.36
G05D03,11,我會自然咁補返一樣上文講過嘅對象,3,27.27
G05D03,11,兩種理解都有可能,2,18.18
G05D03,11,要有上文先知道,2,18.18
G05D04,9,我主要理解成個動作已經發生，未必要補返對象,6,66.67
G05D04,9,我會自然咁補返一樣上文講過嘅對象,2,22.22
G05D04,9,兩種理解都有可能,1,11.11
