template_index	construction_type	template_json	output_slots_json	dependency_reasons	migration_risk	required_disposition
3	ANotAQuestion	"[""subject?"",""action_verb!"",""m4_negator!"",""action_verb!"",""object?"",""particle?""]"	"[""question_fragment"",""predicate"",""vp"",""action_vp"",""negator"",""object""]"	CONSUMES_ACTION_VERB_SLOT,CONSUMES_OBJECT_SLOT	MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
4	NegativePotentialComplement	"[""action_verb!"",""m4_negator!"",""result_complement_marker!"",""object?""]"	"[""negative_potential_complement"",""result_potential_complement"",""result_complement"",""vp"",""action_vp"",""predicate"",""negator"",""object""]"	CONSUMES_ACTION_VERB_SLOT,CONSUMES_OBJECT_SLOT	MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
5	ResultComplement	"[""action_verb!"",""result_complement_marker!"",""object?""]"	"[""result_complement"",""result_attainment_complement"",""vp"",""action_vp"",""predicate"",""object""]"	CONSUMES_ACTION_VERB_SLOT,CONSUMES_OBJECT_SLOT	MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
24	ExistentialQuestion	"[""subject?"",""interest_question_frame!"",""vp?"",""particle?""]"	"[""existential_question"",""question_fragment"",""possessive_question"",""predicate"",""object"",""abstract_object""]"		MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
25	ExistentialQuestion	"[""subject?"",""existential_question!"",""abstract_object!"",""vp?"",""particle?""]"	"[""existential_question"",""question_fragment"",""possessive_question"",""predicate"",""object"",""abstract_object""]"		MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
38	SchedulingQuestion	"[""subject?"",""stance_predicate!"",""action_verb!"",""time_question!"",""scheduling_quality!"",""particle?""]"	[]	CONSUMES_ACTION_VERB_SLOT	MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
42	ConditionResult	"[""subject?"",""action_verb!"",""result_marker!"",""stative_predicate!"",""particle?""]"	[]	CONSUMES_ACTION_VERB_SLOT	MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
63	CoordinatedNP	"[""np!"",""coordinator!"",""np!""]"	"[""coordinated_np"",""left_np"",""right_np"",""coordinator"",""np"",""topic"",""object""]"		MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
69	PossessiveTransferClause	"[""subject!"",""possessive_marker!"",""object!"",""modal!"",""transfer_predicate!"",""particle?""]"	[]	CONSUMES_OBJECT_SLOT	MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
72	ProgressiveTransitivePredicate	"[""action_verb!"",""progressive_aspect!"",""object!""]"	[]	CONSUMES_ACTION_VERB_SLOT,CONSUMES_OBJECT_SLOT	MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
73	PurposePredicate	"[""action_verb!"",""object!""]"	[]	CONSUMES_ACTION_VERB_SLOT,CONSUMES_OBJECT_SLOT	MEDIUM	RESEARCH_EXACT_SELECTION_BEFORE_PRODUCTIVE_PROMOTION
