probe_or_target	current_runtime_result	overlap_or_failure	decisive_difference	current_disposition
`我冇得去啊。`	Only `去` is `DirectionalMotionVP`; `我`, `冇`, and `得` remain unwrapped; root coverage PARTIAL.	The lexical motion predicate is recognized, but the subject and preverbal availability/opportunity relation disappear.	`冇得` scopes over the following VP and cannot be reconstructed from a bare motion child.	DEDICATED_RESEARCH_UNIT_REQUIRED_NO_IMPLEMENTATION
`我有得去。`	Only `去` is `DirectionalMotionVP`; `我有得` remains unwrapped; root coverage PARTIAL.	Positive polarity fails in the same way as negative polarity.	A positive enabling-circumstance unit is not represented by existential `有` plus unrelated `得`.	DEDICATED_RESEARCH_UNIT_REQUIRED_NO_IMPLEMENTATION
`你有冇得去？`	Only `去` is `DirectionalMotionVP`; `你`, `有冇`, and `得` remain unwrapped; root coverage PARTIAL.	The runtime recognizes neither the availability unit nor question scope over it.	`有冇得 + VP` must be tested as a related polarity-question profile, not reduced to an ordinary motion question.	QUESTION_PROFILE_QUARANTINED
`呢度有冇得改衫？`	Only `改衫` is `TransitiveVP`; the locative and `有冇得` remain unwrapped; root coverage PARTIAL.	The event predicate is visible but access/availability at a location is lost.	Locative setting and availability question require a relation above the transitive VP.	LOCATIVE_AVAILABILITY_PROFILE_QUARANTINED
`先至有得睇。`	No top construction; all nonpunctuation material remains separate.	Neither the availability unit nor the preceding restriction marker is represented.	`先至` supplies an upstream “only then” dependency and must not be lexicalized inside `有得`.	KEEP_CORE_AND_CONDITION_DEPENDENCY_SEPARATE
`平機票要淡季先有得平㗎喎。`	A broad heuristic `ModalVP` spans `要淡季先有得平`; surrounding nominal material is malformed and coverage PARTIAL.	A generic modal wrapper can absorb the surface without preserving its internal condition and availability structure.	Broad span coverage is not evidence of a correct construction analysis.	REJECT_EXISTING_MODALVP_AS_SUFFICIENT_CARRIER
`冇得享用呢個福利。`	Fragmented output; a partial `TransitiveVP` forms around `用呢個`; other material remains unknown/unwrapped.	Substring recognition creates a misleading VP that does not preserve `享用` or availability.	Object-bearing predicates require lexical integrity plus a higher availability relation.	OBJECT_BEARING_PROFILE_REQUIRES_LEXICON_AND_STRUCTURE_RESEARCH
`冇得揀。` / `有得計？` / `冇得攞？`	No top construction.	Common short predicate profiles are entirely absent.	Short clauses may be compositional, elliptical, or idiomatic and require context-sensitive screening.	KEEP_SHORT_AND_ELLIPTICAL_PROFILES_QUARANTINED
`冇得彈／頂／解／比／揮`	No reliable construction; several lexical heads are unknown.	Surface matches the prefix but meanings may be idiomatic or evaluative rather than event availability.	A generic `冇得 + any graph` rule would overgenerate and misgloss lexicalized expressions.	LEXICALIZED_BOUNDARY_EXCLUDE_FROM_PRODUCTIVE_CORE
ModalVP	Preverbal modal plus VP; exact runtime can heuristically absorb `有得` inside larger spans.	Shares broad possibility or permission meanings.	The checked primary source treats `有-得/冇-得` as units tied to the following event; exact environmental/access semantics and polarity are not preserved by a generic modal slot.	DO_NOT_MERGE_WITH_BROAD_MODALVP
ExistentialClause / NegatedExistentialClause	`有/冇 + NP` possession or existence.	Shares initial `有` or `冇` and possible subjectless clauses.	Target forms contain the `得` unit and a following verbal predicate; existential/possessive structures introduce nominal material.	KEEP_CATEGORY_AND_COMPLEMENT_BOUNDARY
PotentialResultVP / PotentialDirectionalVP / NegativePotentialComplement	Postverbal `V得R` or `V唔R` potential with overt result/directional material.	May translate as can/cannot.	Marker position, polarity morphology, result structure, and event perspective differ from preverbal `有得/冇得 + VP`.	KEEP_CONSTRUCTIONS_STRICTLY_SEPARATE
NegatedVP	Ordinary preverbal negation over a VP.	`冇得 + VP` is negative and preverbal.	`冇得` forms a unit expressing unavailability/impossibility; it is not generic `冇 + VP` and is not interchangeable with `唔 + VP`.	DO_NOT_ABSORB_IN_GENERIC_NEGATION
AcceptabilityClause	Host plus `得/唔得` acceptability or permission judgments.	Shares `得` and modal-like interpretation.	Target construction has overt preverbal `有得/冇得` before a lexical VP; acceptability profiles have different host and polarity structure.	KEEP_SEPARATE
