id	ordinal	section	subsection	item_type	register	source_display	source_jyutping	source_english	source_morpheme_gloss	source_hash	classification	canonical_lexicon_owners	canonical_pronunciation_owners	canonical_parser_owner_candidates	exact_project_match_paths	source_discrepancies_json	review_state
GLOSSIKA-YUEHK-A1-W18-20260719-I001	1	functional_language	request_clarification_and_repetition	sentence	casual	咩話？再講多次。	Me1 waa2? Zoi3 gong2 do1 ci3.	What? Say it again.	what? again speak more time	sha256:1a49fcd363da562e9f81ca18616e24538f386dd0abe373ec6b67497525e945a8	new_attestation			src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/boundaries/fragments.js|src/parser/detectors/boundaries/malformed.js|src/parser/detectors/boundaries/needs-context.js|src/parser/detectors/discourse/formula-responses.js|src/parser/detectors/discourse/priority.js|src/parser/detectors/discourse/protected-formulas.js|src/parser/detectors/questions/a-not-a.js|src/parser/detectors/questions/completion-experiential.js|src/parser/detectors/questions/wh-scalar.js|src/parser/terminal/questions/final-particles.js|src/parser/terminal/questions/question-fallbacks.js		[{"type":"naturalness_or_translation_influence","status":"requires_native_and_corpus_review","note":"Preserve exactly; do not accept formula or register without independent Cantonese evidence."},{"type":"repair_formula_scope","status":"route_to_issue_128","note":"Separate conventional repair initiator 咩話 from productive interrogative analysis and review 多次 versus 一次."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I002	2	functional_language	request_clarification_and_repetition	sentence	casual	你講嘅係邊個？	Nei5 gong2 ge3 hai6 bin1 go3?	Which one are you talking about?	you speak 's is which (CL)	sha256:01fceac4006dcdd83cdf8156436461f4804ea14a470e68032b4c813ca1f306f4	new_attestation			src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/boundaries/fragments.js|src/parser/detectors/boundaries/malformed.js|src/parser/detectors/boundaries/needs-context.js|src/parser/detectors/discourse/formula-responses.js|src/parser/detectors/discourse/priority.js|src/parser/detectors/discourse/protected-formulas.js|src/parser/detectors/questions/a-not-a.js|src/parser/detectors/questions/completion-experiential.js|src/parser/detectors/questions/wh-scalar.js|src/parser/terminal/questions/final-particles.js|src/parser/terminal/questions/question-fallbacks.js		[{"type":"ellipsis_and_nominalization","status":"route_to_issue_128","note":"The omitted material after 嘅 and the identity-question analysis require direct research."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I003	3	functional_language	request_clarification_and_repetition	sentence	polite	唔好意思，可唔可以再講一次？	M4 hou2 ji3 si1, ho2 m4 ho2 ji5 zoi3 gong2 jat1 ci3?	Sorry, could you say that again?	sorry can-not-can again speak one time	sha256:17a86b8e7cb5c6a307abdff6335a5bc82e03bc719c61a9fc82e471a49a1f601e	new_attestation			src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/boundaries/fragments.js|src/parser/detectors/boundaries/malformed.js|src/parser/detectors/boundaries/needs-context.js|src/parser/detectors/discourse/formula-responses.js|src/parser/detectors/discourse/priority.js|src/parser/detectors/discourse/protected-formulas.js|src/parser/detectors/questions/a-not-a.js|src/parser/detectors/questions/completion-experiential.js|src/parser/detectors/questions/wh-scalar.js|src/parser/terminal/questions/final-particles.js|src/parser/terminal/questions/question-fallbacks.js		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I004	4	functional_language	request_clarification_and_repetition	sentence	polite	唔該，你係咩意思呀？	M4 goi1, nei5 hai6 me1 ji3 si1 aa3?	Excuse me, what do you mean?	excuse-me you is what meaning (PART)	sha256:6de7ef7cb21fad72d3bfa89a7d21f38a1ce17a545e4d0540b21864e26dc87ea7	new_attestation			src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/boundaries/fragments.js|src/parser/detectors/boundaries/malformed.js|src/parser/detectors/boundaries/needs-context.js|src/parser/detectors/discourse/formula-responses.js|src/parser/detectors/discourse/priority.js|src/parser/detectors/discourse/protected-formulas.js|src/parser/detectors/questions/a-not-a.js|src/parser/detectors/questions/completion-experiential.js|src/parser/detectors/questions/wh-scalar.js|src/parser/terminal/questions/final-particles.js|src/parser/terminal/questions/question-fallbacks.js		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I005	5	functional_language	interrupt_and_manage_turns	sentence	casual	等陣，等我講完。	Dang2 zan6, dang2 ngo5 gong2 jyun4.	Wait, let me finish.	wait moment wait I speak finish	sha256:973da4b5e19b4428682d9f60815231faff26b5b0d94904a65b6cb9bdd19d1f96	new_attestation			src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/complements/result.js|src/parser/detectors/discourse/formula-responses.js|src/parser/detectors/discourse/priority.js|src/parser/detectors/discourse/protected-formulas.js|src/parser/detectors/imperatives/clauses.js		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I006	6	functional_language	interrupt_and_manage_turns	sentence	casual	我插句嘴。	Ngo5 caap3 geoi3 zeoi2.	Let me interject.	I insert sentence mouth	sha256:573dce1cb014158553651e46ad8bb3754584d269841a9977d352452375a3d16e	new_attestation			src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/complements/result.js|src/parser/detectors/discourse/formula-responses.js|src/parser/detectors/discourse/priority.js|src/parser/detectors/discourse/protected-formulas.js|src/parser/detectors/imperatives/clauses.js		[{"type":"naturalness_or_translation_influence","status":"requires_native_and_corpus_review","note":"Preserve exactly; do not accept formula or register without independent Cantonese evidence."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I007	7	functional_language	interrupt_and_manage_turns	sentence	polite	唔好意思，打斷一下。	M4 hou2 ji3 si1, daa2 dyun6 jat1 haa5.	Sorry to interrupt.	sorry interrupt briefly	sha256:c236cc3c3d29e8ff60b205143d306732cb8b9a143103b6325ec67e60a9d8d62b	new_attestation			src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/complements/result.js|src/parser/detectors/discourse/formula-responses.js|src/parser/detectors/discourse/priority.js|src/parser/detectors/discourse/protected-formulas.js|src/parser/detectors/imperatives/clauses.js		[{"type":"naturalness_or_translation_influence","status":"requires_native_and_corpus_review","note":"Preserve exactly; do not accept formula or register without independent Cantonese evidence."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I008	8	functional_language	interrupt_and_manage_turns	sentence	polite	唔該等我講完先好唔好？	M4 goi1 dang2 ngo5 gong2 jyun4 sin1 hou2 m4 hou2?	Could you please let me finish first?	excuse-me wait I speak finish first good-not-good	sha256:d7249da4f37e7218043b49bfafadbf6a46b51c617941794fad33aa6046b4c1de	new_attestation			src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/complements/result.js|src/parser/detectors/discourse/formula-responses.js|src/parser/detectors/discourse/priority.js|src/parser/detectors/discourse/protected-formulas.js|src/parser/detectors/imperatives/clauses.js		[{"type":"naturalness_or_translation_influence","status":"requires_native_and_corpus_review","note":"Preserve exactly; do not accept formula or register without independent Cantonese evidence."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I009	9	vocabulary_and_situations	common_verbs	lexical_entry		食	sik6	to eat		sha256:6e0e99fff6437e337f3f159ac406df942f94ab054903edb237de1f2fec198d67	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js	src/runtime-resources/pronunciation/jyutping-review-expectations.js			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I010	10	vocabulary_and_situations	common_verbs	lexical_entry		飲	jam2	to drink		sha256:43f57e2f86c2e340239d45dcf4d48735d4b0b04c07bd89fc99eda45b3a232b51	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
