edge_id	cluster	claim_text	source_id	relation	verification_state	evidence_scope	limitation	grammar_acceptance_effect
GXEDGE-R1-001	object_topic_negation	Cantonese permits overt topic-first object/domain expressions.	SRC-YIP-MATTHEWS-2000-BASIC	supports_component	VERIFIED_FULL_TEXT	Unit 22 topic-first and object-topic examples	Does not establish a dedicated negative-topic node.	none
GXEDGE-R1-002	object_topic_negation	冇 participates in event/perfective predicate negation distinct from ordinary 唔.	SRC-LAM-2018-NEGATION-ASPECT	supports_component	VERIFIED_FULL_TEXT	pp. 215-218 split negation	Does not establish every topic or fragment environment.	none
GXEDGE-R1-003	object_topic_negation	The exact three topic-negative surfaces occurred in one native family conversation.	CORPUS-WECHAT-GX-TRAVEL-002	attests_surface	USER_PROVIDED_NATIVE_CORPUS	U020, U021, U025	One conversation; no productivity/frequency/analysis validation.	none
GXEDGE-R1-004	hindsight_regret	早知 introduces a regret/hindsight frame with an overt consequence.	SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	supports_frame	VERIFIED_USER_PROVIDED_FULL_TEXT	printed p. 231 communicative item 懊悔	Pedagogical source; exact 咪仲好 consequent not supplied.	none
GXEDGE-R1-005	hindsight_regret	Exact 早知你坐佢架車咪仲好 occurred naturally.	CORPUS-WECHAT-GX-TRAVEL-002	attests_surface	USER_PROVIDED_NATIVE_CORPUS	U022	Does not settle the role of 咪 or establish productivity.	none
GXEDGE-R1-006	negative_attainment	Exact 冇去到 occurred naturally in a nonattainment context.	CORPUS-WECHAT-GX-TRAVEL-002	attests_surface	USER_PROVIDED_NATIVE_CORPUS	U045	One context; internal analysis not validated.	none
GXEDGE-R1-007	negative_attainment	Official Yue 28 handbook search indexing exposes exact …落大雨冇去到 with translation 沒去成.	DISCOVERY-HKMU-YUE28-2024-HANDBOOK	discovery_lead	DEFER_UNTIL_FULL_CONTRIBUTION_METADATA_RECOVERED	official conference handbook indexed snippet	Author/title/page/full argument not recovered; zero support weight.	none
GXEDGE-R1-008	negative_opportunity	Exact 冇得去 occurred naturally in context.	CORPUS-WECHAT-GX-TRAVEL-002	attests_surface	USER_PROVIDED_NATIVE_CORPUS	U048	No dedicated external description recovered.	none
GXEDGE-R1-009	negative_opportunity	Postverbal 得 evidence must not be imported into preverbal 冇得+VP.	SRC-CHENG-SYBESMA-2004-POSTVERBAL-DAK	restricts_conflation	VERIFIED_AUTHOR_FULL_TEXT_AND_PUBLISHER_METADATA	postverbal ability/result constructions	Different marker position and construction; contrast only.	none
GXEDGE-R1-010	activity_duration	Duration can occur between V-咗 and an overt object.	SRC-YIP-MATTHEWS-2000-BASIC	supports_profile	VERIFIED_FULL_TEXT	Unit 11 duration/frequency expressions	Teaching reference; not an exhaustive theory.	none
GXEDGE-R1-011	activity_duration	左右 can follow a duration expression as an approximator.	SRC-TANG-2024-CANTONESE-GRAMMAR-GUIDE	supports_component	VERIFIED_AUTHOR_FULL_TEXT	pp. 34-39; 三日左右	Learner guide; no unrestricted productivity.	none
GXEDGE-R1-012	activity_duration	Exact 開咗五個鐘頭車左右 occurred naturally.	CORPUS-WECHAT-GX-TRAVEL-002	attests_surface	USER_PROVIDED_NATIVE_CORPUS	U028	Final 車 relation and broader productivity unresolved.	none
GXEDGE-R1-013	objectless_completion	完 contributes completion/endpoint meaning after a verb.	SRC-YIP-MATTHEWS-2000-BASIC	supports_component	VERIFIED_FULL_TEXT	Unit 17 resultative/completion section	Does not independently establish object omission.	none
GXEDGE-R1-014	objectless_completion	Adult Cantonese permits discourse-recoverable object omission under bounded conditions.	SRC-YIP-MATTHEWS-2000-SYNTACTIC-TRANSFER	supports_contextual_omission	VERIFIED_FULL_TEXT_AND_OFFICIAL_PUBLISHER_METADATA	adult examples and null-object discussion	Theory-specific null-topic account; no unrestricted omission.	none
GXEDGE-R1-015	objectless_completion	Exact objectless 食完 occurred in a sequencing context.	CORPUS-WECHAT-GX-TRAVEL-002	attests_surface	USER_PROVIDED_NATIVE_CORPUS	U033	One conversation; missing domain must remain unresolved.	none
GXEDGE-R1-016	completion_conflict_boundary	Objectless 食完 supplies no evidence for V完咗O.	CORPUS-WECHAT-GX-TRAVEL-002	restricts_conflation	USER_PROVIDED_NATIVE_CORPUS	U033 contains no 咗	Absence in one corpus is not general negative evidence; this edge only blocks miscitation of U033.	none
