pattern	status	accepted_fixture_count	runtime_code_reference_count	research_mentions	retirement_priority	required_check	proposed_disposition
AdjectivalPredicateClause	unsupported_generalization	0	0	5	IMMEDIATE_REVIEW	confirm no compatibility, alias, serialized diagnostic, or documentation dependency outside counted runtime references	RETIRE_FROM_ACTIVE_REGISTRY_IF_DEPENDENCY_CHECK_IS_CLEAR
BareClassifierNP	unsupported_generalization	0	0	2	IMMEDIATE_REVIEW	confirm no compatibility, alias, serialized diagnostic, or documentation dependency outside counted runtime references	RETIRE_FROM_ACTIVE_REGISTRY_IF_DEPENDENCY_CHECK_IS_CLEAR
DemonstrativeQuantifiedClassifierNP	unsupported_generalization	0	0	3	IMMEDIATE_REVIEW	confirm no compatibility, alias, serialized diagnostic, or documentation dependency outside counted runtime references	RETIRE_FROM_ACTIVE_REGISTRY_IF_DEPENDENCY_CHECK_IS_CLEAR
DirectionalCausedMotionVP	unsupported_generalization	0	0	2	IMMEDIATE_REVIEW	confirm no compatibility, alias, serialized diagnostic, or documentation dependency outside counted runtime references	RETIRE_FROM_ACTIVE_REGISTRY_IF_DEPENDENCY_CHECK_IS_CLEAR
ModalResponseFragment	unsupported_generalization	0	0	2	IMMEDIATE_REVIEW	confirm no compatibility, alias, serialized diagnostic, or documentation dependency outside counted runtime references	RETIRE_FROM_ACTIVE_REGISTRY_IF_DEPENDENCY_CHECK_IS_CLEAR
NegativeHaveClause	unsupported_generalization	0	0	3	IMMEDIATE_REVIEW	confirm no compatibility, alias, serialized diagnostic, or documentation dependency outside counted runtime references	RETIRE_FROM_ACTIVE_REGISTRY_IF_DEPENDENCY_CHECK_IS_CLEAR
NominalModifierNP	unsupported_generalization	0	0	3	IMMEDIATE_REVIEW	confirm no compatibility, alias, serialized diagnostic, or documentation dependency outside counted runtime references	RETIRE_FROM_ACTIVE_REGISTRY_IF_DEPENDENCY_CHECK_IS_CLEAR
PossessiveNP	unsupported_generalization	0	0	5	IMMEDIATE_REVIEW	confirm no compatibility, alias, serialized diagnostic, or documentation dependency outside counted runtime references	RETIRE_FROM_ACTIVE_REGISTRY_IF_DEPENDENCY_CHECK_IS_CLEAR
PossessiveNominalFragment	unsupported_generalization	0	0	6	IMMEDIATE_REVIEW	confirm no compatibility, alias, serialized diagnostic, or documentation dependency outside counted runtime references	RETIRE_FROM_ACTIVE_REGISTRY_IF_DEPENDENCY_CHECK_IS_CLEAR
ProhibitiveFragment	unsupported_generalization	0	0	3	IMMEDIATE_REVIEW	confirm no compatibility, alias, serialized diagnostic, or documentation dependency outside counted runtime references	RETIRE_FROM_ACTIVE_REGISTRY_IF_DEPENDENCY_CHECK_IS_CLEAR
