id	item_type	source_traditional	source_jyutping	source_english_status	duplicate_status	accepted_duplicate_targets	terminal_classification	evidence_use	research_route_ids	discrepancy_status	implementation_crosswalk_targets	review_note
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I001	dialog_turn	喂,下個禮拜就冬至喇!	/Aa3 Ming4: Wai3, haa6 go3 lai5 baai3 zau6 dung1 zi3 laa3!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I002	dialog_turn	係呀!你屋企會唔會食湯圓呀?	/Siu2 Hung4: Hai6 aa3! Nei5 uk1 kei2 wui5 m4 wui5 sik6 tong1 jyun4 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I003	dialog_turn	會呀!你呢?	/Aa3 Ming4: Wui5 aa3! Nei5 ne1?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R14;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I004	dialog_turn	我哋每年都整㗎。	/Siu2 Hung4: Ngo5 dei6 mui5 nin4 dou1 zing2 gaa3./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R03;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I005	dialog_turn	自己整定買㗎?	/Aa3 Ming4: Zi6 gei2 zing2 ding6 maai5 gaa3?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R04;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I006	dialog_turn	自己整呀!好玩好多!	/Siu2 Hung4: Zi6 gei2 zing2 aa3! Hou2 waan2 hou2 do1!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I007	dialog_turn	我未試過整喎。	/Aa3 Ming4: Ngo5 mei6 si3 gwo3 zing2 wo3./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R05;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I008	dialog_turn	唔難㗎!我教你!	/Siu2 Hung4: M4 naan4 gaa3! Ngo5 gaau3 nei5!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I009	dialog_turn	真㗎?咁好呀!	/Aa3 Ming4: Zan1 gaa3? Gam3 hou2 aa3!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I010	dialog_turn	要買糯米粉,仲有糖。	/Siu2 Hung4: Jiu3 maai5 no6 mai5 fan2, zung6 jau5 tong4./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I011	dialog_turn	係咪用水溝?	/Aa3 Ming4: Hai6 mai6 jung6 seoi2 kau1?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R06;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I012	dialog_turn	係呀,要暖水。	/Siu2 Hung4: Hai6 aa3, jiu3 nyun5 seoi2./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I013	dialog_turn	點解要暖水呀?	/Aa3 Ming4: Dim2 gaai2 jiu3 nyun5 seoi2 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I014	dialog_turn	暖水搓得好啲。	/Siu2 Hung4: Nyun5 seoi2 co1 dak1 hou2 di1./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R07;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I015	dialog_turn	哦,明白喇!	/Aa3 Ming4: O4, ming4 baak6 laa3!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I016	dialog_turn	搓到好似耳仔咁軟就得喇。	/Siu2 Hung4: Co1 dou3 hou2 ci5 ji5 zai2 gam3 jyun5 zau6 dak1 laa3./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R07;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I017	dialog_turn	耳仔咁軟?好得意!	/Aa3 Ming4: Ji5 zai2 gam3 jyun5? Hou2 dak1 ji3!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I018	dialog_turn	哈哈,係呀!然後搓成粒粒。	/Siu2 Hung4: Haa1 haa1, hai6 aa3! Jin4 hau6 co1 sing4 nap1 nap1./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R08;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I019	dialog_turn	要整幾大粒呀?	/Aa3 Ming4: Jiu3 zing2 gei2 daai6 nap1 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I020	dialog_turn	好似波子咁大就得。	/Siu2 Hung4: Hou2 ci5 bo1 zi2 gam3 daai6 zau6 dak1./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R07;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I021	dialog_turn	包唔包餡㗎?	/Aa3 Ming4: Baau1 m4 baau1 haam6 gaa3?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R09;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
