candidate_id	source_file	source_file_sha256	file_index_zero_based	turn_index_zero_based	token_index_zero_based	participant	matched_surface_span	text	previous_text	next_text	tokens_json	annotation_status
ab30-2798115370ed38ad1d7f	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	72	1	XXB	變咗你	變咗你可以睇嘢,睇煙花嗰啲呢就唔使咁迫.	但係都唔係好迫人囖.	係囖,係囖.	"[{""word"":""變"",""pos"":""v"",""jyutping"":""bin3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""嘢"",""pos"":""n"",""jyutping"":""je5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""煙花"",""pos"":""n"",""jyutping"":""jin1faa1""},{""word"":""嗰啲"",""pos"":""r"",""jyutping"":""go2di1""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""唔使"",""pos"":""vu"",""jyutping"":""m4sai2""},{""word"":""咁"",""pos"":""d"",""jyutping"":""gam3""},{""word"":""迫"",""pos"":""a"",""jyutping"":""bik1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-e72bac870a15a58fc47a	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	91	2	XXB	變咗你	噉變咗你係嘞,唔使坐咁耐機喇,一次過坐晒咯.	唔係即係嗰頭,同埋嗰-嗰邊.	唔使分開兩次.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""變"",""pos"":""v"",""jyutping"":""bin3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""嘞"",""pos"":""y"",""jyutping"":""laak3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""唔使"",""pos"":""vu"",""jyutping"":""m4sai2""},{""word"":""坐"",""pos"":""v"",""jyutping"":""co5""},{""word"":""咁"",""pos"":""d"",""jyutping"":""gam3""},{""word"":""耐"",""pos"":""a"",""jyutping"":""noi6""},{""word"":""機"",""pos"":""Ng"",""jyutping"":""gei1""},{""word"":""喇"",""pos"":""x"",""jyutping"":""laa1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""一次過"",""pos"":""d"",""jyutping"":""jat1ci3gwo3""},{""word"":""坐"",""pos"":""v"",""jyutping"":""co5""},{""word"":""晒"",""pos"":""u"",""jyutping"":""saai3""},{""word"":""咯"",""pos"":""y"",""jyutping"":""lok3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-3ca6c1ff3d9c206f3004	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	103	33	XXB	變咗佢	噉佢啊,之前俾人嘈得多話佢-即係誒,誒,印嗰個數量唔夠,噉佢今次印多咗,噉變咗佢嗰個,即係賣嗰個情況都唔係太過受,點講啊?	割禾青嗰啲呢,割埋最後哩,哩一橛收埋就收工噉樣.	唔使話排晒長龍嗰啲噉樣𡃉喇.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""啊"",""pos"":""y1"",""jyutping"":""aa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""之前"",""pos"":""t"",""jyutping"":""zi1cin4""},{""word"":""俾"",""pos"":""p"",""jyutping"":""bei2""},{""word"":""人"",""pos"":""n"",""jyutping"":""jan4""},{""word"":""嘈"",""pos"":""v"",""jyutping"":""cou4""},{""word"":""得"",""pos"":""u"",""jyutping"":""dak1""},{""word"":""多"",""pos"":""a"",""jyutping"":""do1""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""誒"",""pos"":""e"",""jyutping"":""e6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""誒"",""pos"":""e"",""jyutping"":""e6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""印"",""pos"":""v"",""jyutping"":""jan3""},{""word"":""嗰個"",""pos"":""r"",""jyutping"":""go2go3""},{""word"":""數量"",""pos"":""n"",""jyutping"":""sou3loeng6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""夠"",""pos"":""v"",""jyutping"":""gau3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""今次"",""pos"":""t"",""jyutping"":""gam1ci3""},{""word"":""印"",""pos"":""v"",""jyutping"":""jan3""},{""word"":""多"",""pos"":""a"",""jyutping"":""do1""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""變"",""pos"":""v"",""jyutping"":""bin3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""嗰個"",""pos"":""r"",""jyutping"":""go2go3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""賣"",""pos"":""v"",""jyutping"":""maai6""},{""word"":""嗰個"",""pos"":""r"",""jyutping"":""go2go3""},{""word"":""情況"",""pos"":""n"",""jyutping"":""cing4fong3""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""唔係"",""pos"":""v"",""jyutping"":""m4hai6""},{""word"":""太過"",""pos"":""d"",""jyutping"":""taai3gwo3""},{""word"":""受"",""pos"":""v"",""jyutping"":""sau6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""點"",""pos"":""r"",""jyutping"":""dim2""},{""word"":""講"",""pos"":""v"",""jyutping"":""gong2""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-ba3c5054a4fea3a60f5b	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	111	14	XXA	俾咗佢	唔升嘅時候,你𠻺-,你𠻺錢𠻺俾咗佢,貨你𠻺一定要,一定你要要𡃉嘞,喀,噉你咪要咗佢,你就睇下,用得𠻺用,唔用得咪睇下揸住來,睇下點樣樣.	因為佢係年初嗰陣時一次過冚唪唥收晒你啲錢,成年你訂晒𡃉嘞,噉就,到時啊升𠻺梗係你着數喇,如果唔升嘅時候呢,你就,你就真係冇乜,冇乜著數𡃉咋你真係.	即係希望佢有一日或者升得返喇.	"[{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""升"",""pos"":""v"",""jyutping"":""sing1""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""時候"",""pos"":""n"",""jyutping"":""si4hau6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""錢"",""pos"":""n"",""jyutping"":""cin2""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""俾"",""pos"":""v"",""jyutping"":""bei2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""貨"",""pos"":""n"",""jyutping"":""fo3""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""要"",""pos"":""v"",""jyutping"":""jiu3""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""嘞"",""pos"":""y"",""jyutping"":""laak3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""喀"",""pos"":""e"",""jyutping"":""haak6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""咪"",""pos"":""d"",""jyutping"":""mai6""},{""word"":""要"",""pos"":""v"",""jyutping"":""jiu3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":""得"",""pos"":""u"",""jyutping"":""dak1""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":""得"",""pos"":""u"",""jyutping"":""dak1""},{""word"":""咪"",""pos"":""d"",""jyutping"":""mai6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""揸"",""pos"":""v"",""jyutping"":""zaa1""},{""word"":""住"",""pos"":""u"",""jyutping"":""zyu6""},{""word"":""來"",""pos"":""vk"",""jyutping"":""lai4""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""點樣"",""pos"":""r"",""jyutping"":""dim2joeng2""},{""word"":""樣"",""pos"":""n"",""jyutping"":""joeng2""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-f782d1905d03a9b1e58e	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	111	36	XXA	要咗佢	唔升嘅時候,你𠻺-,你𠻺錢𠻺俾咗佢,貨你𠻺一定要,一定你要要𡃉嘞,喀,噉你咪要咗佢,你就睇下,用得𠻺用,唔用得咪睇下揸住來,睇下點樣樣.	因為佢係年初嗰陣時一次過冚唪唥收晒你啲錢,成年你訂晒𡃉嘞,噉就,到時啊升𠻺梗係你着數喇,如果唔升嘅時候呢,你就,你就真係冇乜,冇乜著數𡃉咋你真係.	即係希望佢有一日或者升得返喇.	"[{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""升"",""pos"":""v"",""jyutping"":""sing1""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""時候"",""pos"":""n"",""jyutping"":""si4hau6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""錢"",""pos"":""n"",""jyutping"":""cin2""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""俾"",""pos"":""v"",""jyutping"":""bei2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""貨"",""pos"":""n"",""jyutping"":""fo3""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""要"",""pos"":""v"",""jyutping"":""jiu3""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""嘞"",""pos"":""y"",""jyutping"":""laak3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""喀"",""pos"":""e"",""jyutping"":""haak6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""咪"",""pos"":""d"",""jyutping"":""mai6""},{""word"":""要"",""pos"":""v"",""jyutping"":""jiu3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":""得"",""pos"":""u"",""jyutping"":""dak1""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""用"",""pos"":""v"",""jyutping"":""jung6""},{""word"":""得"",""pos"":""u"",""jyutping"":""dak1""},{""word"":""咪"",""pos"":""d"",""jyutping"":""mai6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""揸"",""pos"":""v"",""jyutping"":""zaa1""},{""word"":""住"",""pos"":""u"",""jyutping"":""zyu6""},{""word"":""來"",""pos"":""vk"",""jyutping"":""lai4""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""點樣"",""pos"":""r"",""jyutping"":""dim2joeng2""},{""word"":""樣"",""pos"":""n"",""jyutping"":""joeng2""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-fad81b6a8aa49e72e14d	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	120	2	XXA	變咗你	即係變咗你,除咗訂嗰-佢嗰個,誒,可能啲人鍾意乜嘢呢?	噉你如果你要個特別郵chop呢,你又要去再訂過嘞.	香港一號chop噉囖.	"[{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""變"",""pos"":""v"",""jyutping"":""bin3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""除咗"",""pos"":""p"",""jyutping"":""ceoi4zo2""},{""word"":""訂"",""pos"":""v"",""jyutping"":""deng6""},{""word"":""嗰"",""pos"":""r"",""jyutping"":""go2""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""嗰個"",""pos"":""r"",""jyutping"":""go2go3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""誒"",""pos"":""e"",""jyutping"":""e6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""可能"",""pos"":""v"",""jyutping"":""ho2nang4""},{""word"":""啲"",""pos"":""q"",""jyutping"":""di1""},{""word"":""人"",""pos"":""n"",""jyutping"":""jan4""},{""word"":""鍾意"",""pos"":""v"",""jyutping"":""zung1ji3""},{""word"":""乜嘢"",""pos"":""r"",""jyutping"":""mat1je5""},{""word"":""呢"",""pos"":""y"",""jyutping"":""ne1""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-b925c5437d825f7c5eca	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	2	49	1	XXA	變咗我	變咗我而家有啲郵票呢.	譬如有啲佢有四款,我又唔鍾意嗰款呢,我就唔要嗰款嘅.	就係唔齊嘅.	"[{""word"":""變"",""pos"":""v"",""jyutping"":""bin3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""而家"",""pos"":""t"",""jyutping"":""ji4gaa1""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""啲"",""pos"":""q"",""jyutping"":""di1""},{""word"":""郵票"",""pos"":""n"",""jyutping"":""jau4piu3""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-c9d20ec05f8fb46eb0b0	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	2	59	29	XXA	買咗嗰	其實賣嗰陣時任人買嘅,嗰陣時我𠻺只係,真係純粹鍾意囖,哎,有一張已經好開心,就買咗嗰張返去收埋咗.	係啊,成條噉𡃉.	咦,我都係噉𡃉,我小學已經有儲𡃉嚹,但係嗰陣時,小學嗰啲又玩玩下嗰啲呢.	"[{""word"":""其實"",""pos"":""d"",""jyutping"":""kei4sat6""},{""word"":""賣"",""pos"":""v"",""jyutping"":""maai6""},{""word"":""嗰陣時"",""pos"":""r"",""jyutping"":""go2zan6si4""},{""word"":""任"",""pos"":""v"",""jyutping"":""jam6""},{""word"":""人"",""pos"":""n"",""jyutping"":""jan4""},{""word"":""買"",""pos"":""v"",""jyutping"":""maai5""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""嗰陣時"",""pos"":""r"",""jyutping"":""go2zan6si4""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""只係"",""pos"":""d"",""jyutping"":""zi2hai6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""真係"",""pos"":""d"",""jyutping"":""zan1hai6""},{""word"":""純粹"",""pos"":""d"",""jyutping"":""seon4seoi5""},{""word"":""鍾意"",""pos"":""v"",""jyutping"":""zung1ji3""},{""word"":""囖"",""pos"":""y"",""jyutping"":""lo1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""哎"",""pos"":""e"",""jyutping"":""aai5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""一"",""pos"":""m"",""jyutping"":""jat1""},{""word"":""張"",""pos"":""q"",""jyutping"":""zoeng1""},{""word"":""已經"",""pos"":""d"",""jyutping"":""ji5ging1""},{""word"":""好"",""pos"":""d"",""jyutping"":""hou2""},{""word"":""開心"",""pos"":""a"",""jyutping"":""hoi1sam1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""買"",""pos"":""v"",""jyutping"":""maai5""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""嗰"",""pos"":""r"",""jyutping"":""go2""},{""word"":""張"",""pos"":""q"",""jyutping"":""zoeng1""},{""word"":""返去"",""pos"":""v"",""jyutping"":""faan1heoi3""},{""word"":""收埋"",""pos"":""v"",""jyutping"":""sau1maai4""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-031535c6be444f33c44b	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	2	80	10	XXA	變咗你	冇嗰個賣返出去嘅價值囖,變咗你真係永遠就自己揸住來睇𡃉咋.	而且佢哋話呢,儲成版就有保值嘅作用囖,喀,不過你唔好整花,整摺,有任何損毀嚹,如果唔係就冚唪唥冇,即係價-,冇,點啊?	喀,啊如果你真係冇花冇損毀呢就有一日冇飯食嘅時候啊,你真係窮到,唉,死嚹.	"[{""word"":""冇"",""pos"":""v"",""jyutping"":""mou5""},{""word"":""嗰個"",""pos"":""r"",""jyutping"":""go2go3""},{""word"":""賣"",""pos"":""v"",""jyutping"":""maai6""},{""word"":""返"",""pos"":""u"",""jyutping"":""faan1""},{""word"":""出去"",""pos"":""v"",""jyutping"":""ceot1heoi3""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""價值"",""pos"":""n"",""jyutping"":""gaa3zik6""},{""word"":""囖"",""pos"":""y"",""jyutping"":""lo1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""變"",""pos"":""v"",""jyutping"":""bin3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""真係"",""pos"":""d"",""jyutping"":""zan1hai6""},{""word"":""永遠"",""pos"":""d"",""jyutping"":""wing5jyun5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""自己"",""pos"":""r"",""jyutping"":""zi6gei2""},{""word"":""揸"",""pos"":""v"",""jyutping"":""zaa1""},{""word"":""住"",""pos"":""u"",""jyutping"":""zyu6""},{""word"":""來"",""pos"":""vk"",""jyutping"":""lai4""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""咋"",""pos"":""y"",""jyutping"":""zaa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-5c9a55f0c91cab5d84c6	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	2	128	13	XXA	封咗佢	你喺銀行換返來呢,就即刻揾個套封咗佢,收埋佢,噉嗰啲呢就可以保存得到個價值喺度.	點樣呢?	你用得兩用嘅話,即係,轉多兩轉已經掂咗啲人氣手氣之後呢,就已經冇價值𡃉嚹.	"[{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""喺"",""pos"":""v"",""jyutping"":""hai2""},{""word"":""銀行"",""pos"":""n"",""jyutping"":""ngan4hong4""},{""word"":""換"",""pos"":""v"",""jyutping"":""wun6""},{""word"":""返來"",""pos"":""v"",""jyutping"":""faan1lei4""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""即刻"",""pos"":""d"",""jyutping"":""zik1haak1""},{""word"":""揾"",""pos"":""v"",""jyutping"":""wan2""},{""word"":""個"",""pos"":""q"",""jyutping"":""go3""},{""word"":""套"",""pos"":""n"",""jyutping"":""tou3""},{""word"":""封"",""pos"":""v"",""jyutping"":""fung1""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""收埋"",""pos"":""v"",""jyutping"":""sau1maai4""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""嗰啲"",""pos"":""r"",""jyutping"":""go2di1""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""保存"",""pos"":""v"",""jyutping"":""bou2cyun4""},{""word"":""得到"",""pos"":""v"",""jyutping"":""dak1dou2""},{""word"":""個"",""pos"":""q"",""jyutping"":""go3""},{""word"":""價值"",""pos"":""n"",""jyutping"":""gaa3zik6""},{""word"":""喺度"",""pos"":""d"",""jyutping"":""hai2dou6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
