claim_id	source_id	source_type	claim	verification_status	exact_support	limitations	parser_implication
UC026-S01	LAM-2014-BARE-COMPARATIVE	peer_reviewed_conference_paper	Cantonese has a bare comparative with a gradable predicate followed by optional standard and (jat1) di1	verified	Section 7 examples (30)-(31): Mary gou1 (Peter) (jat1) di1; standard optional	Single-author formal analysis; lexical productivity and discourse distribution not experimentally tested	Create a research subtype distinct from gwo3 comparison
UC026-S02	LAM-2014-BARE-COMPARATIVE	peer_reviewed_conference_paper	(jat1) di1 is analyzed as a differential measure phrase rather than the comparative functional marker	verified_as_source_analysis	Section 7 states di1 represents the measure phrase/how much taller and must follow an overt standard	Theory-specific analysis requires independent replication	Preserve overt differential and do not equate di1 with gwo3
UC026-S03	LAM-2014-BARE-COMPARATIVE	peer_reviewed_conference_paper	An overt standard precedes di1; standard after di1 is rejected in the source judgment	verified	Example (31) marks Mary gou1 di1 Peter as unacceptable	Judgment scope and speaker sample are not reported	Treat standard order as a strong boundary question, not a universal executable rule yet
UC026-S04	LAM-2014-BARE-COMPARATIVE	peer_reviewed_conference_paper	The gwo3 comparative requires an overt standard under the source analysis, unlike the bare di1 comparative	verified_as_source_analysis	Contrast of examples (30)-(32)	Other analyses or discourse ellipsis may differ	Keep UC-RQ-026 separate from UC-RQ-005 gwo3 comparative
UC026-S05	LAM-LAU-LEE-2024-SEGMENTATION	peer_reviewed_conference_paper	Adjectival di1 is treated as a bound comparative suffix	verified	Paper examples 靚-啲 pretty+er and Table 1 遲-啲 late-Comp later	Segmentation study does not establish full syntactic scope	Distinguish suffixal di1 from nominal di1
UC026-S06	LAM-LAU-LEE-2024-SEGMENTATION	peer_reviewed_conference_paper	An A-di1 form can function adverbially	verified	Section 4.6 states 遲-啲 later can also act as an adverbial	One example does not establish all temporal or manner subclasses	Do not force every A-di1 into adjectival predication
UC026-S07	LAM-LAU-LEE-2024-SEGMENTATION	peer_reviewed_conference_paper	The segmentation scheme was applied to 150,000 HKCanCor characters with high agreement	verified	Method and reported mean pairwise agreement 97.5%	Agreement concerns segmentation, not naturalness or construction productivity	Use as morphological/corpus-resource support only
UC026-S08	WORDSHK-DI1	contemporary_dictionary	Suffixal di1 can mean a little bit, a bit, or a bit more and occurs after adjectives in comparisons	verified_dictionary_entry	Entry examples 細啲, 靚啲, 好啲喇, 講慢啲, 拉過啲張枱	Dictionary senses combine syntactic environments and are not a controlled grammar study	Use examples to motivate contextual subtypes, not unrestricted matching
UC026-S09	ZHENG-ZHANG-GAO-2021	pedagogical_coursebook	Post-predicate di1 occurs in property and postverbal action contexts	verified_project_source_record	Project source matrix records 貴係貴啲 and 行快啲	Pedagogical source does not establish full productivity	Preserve property versus action order and context
UC026-S10	CHOW-2007	pedagogical_coursebook	講慢啲 is attested in a polite directive	verified_project_source_record	Project source matrix records 唔該講慢啲	One teaching example cannot establish universal V+A+di1 syntax	Retain exact postverbal adjustment profile only
UC026-S11	WONG-2023	academic_monograph	快啲 can precede a directional VP in a directive	verified_project_source_record	Project source matrix records 快啲行上去啦	Does not prove free alternation with 行快啲	Represent preposed scope separately
UC026-S12	MATTHEWS-YIP-ONLINE-GRAMMAR	reference_grammar	Cantonese adjective comparison contains multiple distinct strategies	verified	Chapter 9 separately lists change-of-state, equative, negative/interrogative, excessive, and superlative profiles	Page does not directly map the complete post-predicate di1 family	Keep UC-RQ-026 bounded within broader comparison ontology
UC026-S13	PROJECT-RUNTIME-V05208	internal_runtime_audit	Runtime has broad DegreeMannerAdverbial and pre/postverbal wrappers for X+di1	verified_implementation_only	Probes 高啲, 快啲嚟, 講慢啲, 行快啲	Internal behavior is not linguistic evidence and contains scope errors	Re-audit current branch before implementation
